actor_id,name,language,preferred,datasource_id
ECCC:GHGRP:10001,Division Alma,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10003,"Foothills Pipeline, Alberta",und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10004,Kingston CoGen,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10006,Redwater Fertilizer Operations,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10007,Alberta Envirofuels,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10008,Alliance Pipeline Ltd. - AB Pipeline System,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10009,Alberta-Pacific Forest Industries Inc.,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10010,Rio Tinto Alcan Inc.,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10011,Algoma Steel Inc,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10012,Aluminerie Alouette inc.,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10013,Aluminerie de Baie-Comeau,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10014,Aluminerie de Bécancour inc.,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10015,ATCO Pipelines - Transmission System,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10016,Atikokan Generating Station,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10018,Battle River Generating Station,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10020,Bayside Power,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10021,Usine de Bedford,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10022,Belledune Generating Station,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10024,Boundary Dam Power Station,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10025,Resolute Forest Products - Thunder Bay Operations,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10026,Brady Road Resource Management Facility,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10027,Brampton Assembly Plant,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10028,Brandon Generating Station,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10029,Brazeau Gas Plant,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10030,Brazeau River Gas Plant,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10031,Brighton Beach Power,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10032,Brock West Landfill,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10033,Brookfield Cement Plant,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10036,Burnaby Refinery,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10038,"TransCanada Pipeline, Saskatchewan",und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10039,Cabot Canada Limited,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10040,Calgary Energy Centre,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10041,Island Generation,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10042,Calstock Power Plant,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10043,Northern Lime Limited,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10045,Cancarb Ltd.,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10046,"TransCanada Pipeline, Alberta System",und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10047,Cardinal Power,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10048,Cariboo Pulp and Paper Company,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10049,Caribou North Comp Stn 11-08,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10050,Dundas Operations,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10051,Beachville Operation,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10052,Carol Project,und,False,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10053,Carseland Nitrogen Operations,und,False,ECCC:GHGRP_facilities:2022-04-14
