actor_id,area,datasource_id
US-AL,135765,OEF:WD:subnational-area:20221106
BR-SP,248209,OEF:WD:subnational-area:20221106
CA-QC,1542056,OEF:WD:subnational-area:20221106
GB-ENG,130278,OEF:WD:subnational-area:20221106
GB-SCT,78782,OEF:WD:subnational-area:20221106
BE-WAL,16844,OEF:WD:subnational-area:20221106
BE-VLG,13522,OEF:WD:subnational-area:20221106
BE-BRU,161,OEF:WD:subnational-area:20221106
GB-WLS,20779,OEF:WD:subnational-area:20221106
GB-NIR,14130,OEF:WD:subnational-area:20221106
DE-BE,891,OEF:WD:subnational-area:20221106
GB-LND,1572,OEF:WD:subnational-area:20221106
FR-75C,105,OEF:WD:subnational-area:20221106
US-CA,423970,OEF:WD:subnational-area:20221106
GB-ORK,989,OEF:WD:subnational-area:20221106
TH-38,4305,OEF:WD:subnational-area:20221106
SI-136,107,OEF:WD:subnational-area:20221106
SI-172,46,OEF:WD:subnational-area:20221106
SI-069,73,OEF:WD:subnational-area:20221106
MT-10,0,OEF:WD:subnational-area:20221106
SI-135,80,OEF:WD:subnational-area:20221106
SI-024,28,OEF:WD:subnational-area:20221106
SI-042,36,OEF:WD:subnational-area:20221106
IR-14,122608,OEF:WD:subnational-area:20221106
IR-07,122608,OEF:WD:subnational-area:20221106
SI-169,12,OEF:WD:subnational-area:20221106
SI-162,32,OEF:WD:subnational-area:20221106
SI-021,118,OEF:WD:subnational-area:20221106
SI-027,153,OEF:WD:subnational-area:20221106
SI-101,94,OEF:WD:subnational-area:20221106
BG-07,2023,OEF:WD:subnational-area:20221106
SI-039,227,OEF:WD:subnational-area:20221106
SI-179,50,OEF:WD:subnational-area:20221106
SI-188,12,OEF:WD:subnational-area:20221106
SI-168,30,OEF:WD:subnational-area:20221106
SI-160,54,OEF:WD:subnational-area:20221106
SI-210,34,OEF:WD:subnational-area:20221106
SI-154,18,OEF:WD:subnational-area:20221106
SI-020,95,OEF:WD:subnational-area:20221106
SI-177,59,OEF:WD:subnational-area:20221106
SI-051,90,OEF:WD:subnational-area:20221106
SI-077,61,OEF:WD:subnational-area:20221106
SI-044,146,OEF:WD:subnational-area:20221106
SI-202,33,OEF:WD:subnational-area:20221106
SI-174,41,OEF:WD:subnational-area:20221106
SI-093,104,OEF:WD:subnational-area:20221106
SI-170,48,OEF:WD:subnational-area:20221106
SI-119,96,OEF:WD:subnational-area:20221106
SI-204,26,OEF:WD:subnational-area:20221106
SI-115,34,OEF:WD:subnational-area:20221106
SI-205,38,OEF:WD:subnational-area:20221106
