emissions_id,actor_id,year,total_emissions,datasource_id
UNFCCC-annex1-GHG:AT:1990,AT,1990,78423220,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1991,AT,1991,82095386,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1992,AT,1992,75464121,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1993,AT,1993,75806345,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1994,AT,1994,76039471,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1995,AT,1995,79283430,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1996,AT,1996,82482782,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1997,AT,1997,82134093,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1998,AT,1998,81452380,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1999,AT,1999,79922244,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2000,AT,2000,80085027,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2001,AT,2001,83989239,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2002,AT,2002,85747073,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2003,AT,2003,91209619,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2004,AT,2004,90856235,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2005,AT,2005,92029496,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2006,AT,2006,89606979,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2007,AT,2007,86841361,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2008,AT,2008,86259020,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2009,AT,2009,79584522,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2010,AT,2010,84150225,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2011,AT,2011,82007459,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2012,AT,2012,79309940,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2013,AT,2013,79772018,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2014,AT,2014,76235151,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2015,AT,2015,78486743,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2016,AT,2016,79468296,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2017,AT,2017,81792155,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2018,AT,2018,78558026,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2019,AT,2019,79740738,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1990,AU,1990,425624307,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1991,AU,1991,425686444,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1992,AU,1992,429473084,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1993,AU,1993,430381730,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1994,AU,1994,430848497,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1995,AU,1995,439269877,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1996,AU,1996,445847225,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1997,AU,1997,457864510,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1998,AU,1998,472145831,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1999,AU,1999,478136874,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2000,AU,2000,489528649,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2001,AU,2001,497352025,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2002,AU,2002,501000842,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2003,AU,2003,501128976,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2004,AU,2004,518408437,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2005,AU,2005,524811845,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2006,AU,2006,529240641,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2007,AU,2007,535807551,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2008,AU,2008,538590714,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2009,AU,2009,541475792,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2010,AU,2010,536893737,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2011,AU,2011,538663877,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2012,AU,2012,541899740,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2013,AU,2013,532267334,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2014,AU,2014,526711779,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2015,AU,2015,534936016,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2016,AU,2016,543976812,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2017,AU,2017,550874867,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2018,AU,2018,552484024,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2019,AU,2019,546200224,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:1990,BE,1990,145686757,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:1991,BE,1991,148406620,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:1992,BE,1992,148007194,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:1993,BE,1993,146865836,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:1994,BE,1994,151469475,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:1995,BE,1995,153593383,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:1996,BE,1996,157305327,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:1997,BE,1997,148839892,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:1998,BE,1998,154012682,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:1999,BE,1999,147781815,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2000,BE,2000,148879161,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2001,BE,2001,147320470,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2002,BE,2002,147403727,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2003,BE,2003,147701436,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2004,BE,2004,148537134,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2005,BE,2005,145549733,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2006,BE,2006,142712580,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2007,BE,2007,139072470,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2008,BE,2008,138989568,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2009,BE,2009,126354108,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2010,BE,2010,133645766,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2011,BE,2011,123133690,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2012,BE,2012,120361604,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2013,BE,2013,120458319,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2014,BE,2014,114768436,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2015,BE,2015,118955466,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2016,BE,2016,117417880,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2017,BE,2017,117097878,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2018,BE,2018,117594039,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BE:2019,BE,2019,116448184,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:1990,BG,1990,98356813,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:1991,BG,1991,80200031,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:1992,BG,1992,74601949,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:1993,BG,1993,74018325,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:1994,BG,1994,70137935,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:1995,BG,1995,71677019,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:1996,BG,1996,72110035,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:1997,BG,1997,68918227,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:1998,BG,1998,64862578,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:1999,BG,1999,57845809,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:2000,BG,2000,56965765,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:2001,BG,2001,59940029,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:2002,BG,2002,57346445,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:2003,BG,2003,62198197,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:2004,BG,2004,61426281,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:2005,BG,2005,62067185,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:2006,BG,2006,62777428,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:BG:2007,BG,2007,66754518,UNFCCC:GHG_ANNEX1:2019-11-08
