actor_id,lat,lng,datasource_id
CO BOG,47110,-740721,CDPCitiesTargets:2021
GB MNC,534576,-21578,CDPCitiesTargets:2021
NG ABV,90765,73986,CDPCitiesTargets:2021
ES MJV,377990,-10050,CDPCitiesTargets:2021
ES BCN,413823,21775,CDPCitiesTargets:2021
HK HKG,222881,1141400,CDPCitiesTargets:2021
IT PSR,424639,142135,CDPCitiesTargets:2021
NO TRD,634305,103950,CDPCitiesTargets:2021
IT NAP,408420,142514,CDPCitiesTargets:2021
IT NAP,408420,142514,CDPCitiesTargets:2021
GB BOH,507192,-18808,CDPCitiesTargets:2021
TR JKS,384596,271152,CDPCitiesTargets:2021
AU WOL,-344278,1508930,CDPCitiesTargets:2021
KR SEL,375665,1269780,CDPCitiesTargets:2021
AU ADL,-349285,1386010,CDPCitiesTargets:2021
TR SFH,381951,268344,CDPCitiesTargets:2021
SE VXO,568777,148091,CDPCitiesTargets:2021
ME TGD,424304,192594,CDPCitiesTargets:2021
CR SJO,-840796,99326,CDPCitiesTargets:2021
DK FRE,559747,124058,CDPCitiesTargets:2021
IT BZO,464997,113566,CDPCitiesTargets:2021
FR NCE,437102,72620,CDPCitiesTargets:2021
HN TGU,141051,-872044,CDPCitiesTargets:2021
DK HVV,556425,124754,CDPCitiesTargets:2021
TW KHH,226297,1203440,CDPCitiesTargets:2021
RO ALI,460823,235690,CDPCitiesTargets:2021
MZ MNC,-145656,406854,CDPCitiesTargets:2021
ES VIT,428400,-26700,CDPCitiesTargets:2021
BR CWB,-254311,-492647,CDPCitiesTargets:2021
DE HEI,493988,86724,CDPCitiesTargets:2021
BR CPS,-227440,-469372,CDPCitiesTargets:2021
TW TPE,250375,1215640,CDPCitiesTargets:2021
IT FLR,437696,112558,CDPCitiesTargets:2021
IT FLR,437696,112558,CDPCitiesTargets:2021
HK HKG,222881,1141400,CDPCitiesTargets:2021
TW TXG,241619,1206470,CDPCitiesTargets:2021
TZ DAR,-67924,392083,CDPCitiesTargets:2021
