actor_id,identifier,namespace,datasource_id
AD-02,AD-02,ISO-3166-2,ISO 3166-2:2020
AD-03,AD-03,ISO-3166-2,ISO 3166-2:2020
AD-04,AD-04,ISO-3166-2,ISO 3166-2:2020
AD-05,AD-05,ISO-3166-2,ISO 3166-2:2020
AD-06,AD-06,ISO-3166-2,ISO 3166-2:2020
AD-07,AD-07,ISO-3166-2,ISO 3166-2:2020
AD-08,AD-08,ISO-3166-2,ISO 3166-2:2020
AE-AJ,AE-AJ,ISO-3166-2,ISO 3166-2:2020
AE-AZ,AE-AZ,ISO-3166-2,ISO 3166-2:2020
AE-DU,AE-DU,ISO-3166-2,ISO 3166-2:2020
AE-FU,AE-FU,ISO-3166-2,ISO 3166-2:2020
AE-RK,AE-RK,ISO-3166-2,ISO 3166-2:2020
AE-SH,AE-SH,ISO-3166-2,ISO 3166-2:2020
AE-UQ,AE-UQ,ISO-3166-2,ISO 3166-2:2020
AF-BAL,AF-BAL,ISO-3166-2,ISO 3166-2:2020
AF-BAM,AF-BAM,ISO-3166-2,ISO 3166-2:2020
AF-BDG,AF-BDG,ISO-3166-2,ISO 3166-2:2020
AF-BDS,AF-BDS,ISO-3166-2,ISO 3166-2:2020
AF-BGL,AF-BGL,ISO-3166-2,ISO 3166-2:2020
AF-DAY,AF-DAY,ISO-3166-2,ISO 3166-2:2020
AF-FRA,AF-FRA,ISO-3166-2,ISO 3166-2:2020
AF-FYB,AF-FYB,ISO-3166-2,ISO 3166-2:2020
AF-GHA,AF-GHA,ISO-3166-2,ISO 3166-2:2020
AF-GHO,AF-GHO,ISO-3166-2,ISO 3166-2:2020
AF-HEL,AF-HEL,ISO-3166-2,ISO 3166-2:2020
AF-HER,AF-HER,ISO-3166-2,ISO 3166-2:2020
AF-JOW,AF-JOW,ISO-3166-2,ISO 3166-2:2020
AF-KAB,AF-KAB,ISO-3166-2,ISO 3166-2:2020
AF-KAN,AF-KAN,ISO-3166-2,ISO 3166-2:2020
AF-KAP,AF-KAP,ISO-3166-2,ISO 3166-2:2020
AF-KDZ,AF-KDZ,ISO-3166-2,ISO 3166-2:2020
AF-KHO,AF-KHO,ISO-3166-2,ISO 3166-2:2020
AF-KNR,AF-KNR,ISO-3166-2,ISO 3166-2:2020
AF-LAG,AF-LAG,ISO-3166-2,ISO 3166-2:2020
AF-LOG,AF-LOG,ISO-3166-2,ISO 3166-2:2020
AF-NAN,AF-NAN,ISO-3166-2,ISO 3166-2:2020
AF-NIM,AF-NIM,ISO-3166-2,ISO 3166-2:2020
AF-NUR,AF-NUR,ISO-3166-2,ISO 3166-2:2020
AF-PAN,AF-PAN,ISO-3166-2,ISO 3166-2:2020
AF-PAR,AF-PAR,ISO-3166-2,ISO 3166-2:2020
AF-PIA,AF-PIA,ISO-3166-2,ISO 3166-2:2020
AF-PKA,AF-PKA,ISO-3166-2,ISO 3166-2:2020
AF-SAM,AF-SAM,ISO-3166-2,ISO 3166-2:2020
AF-SAR,AF-SAR,ISO-3166-2,ISO 3166-2:2020
AF-TAK,AF-TAK,ISO-3166-2,ISO 3166-2:2020
AF-URU,AF-URU,ISO-3166-2,ISO 3166-2:2020
AF-WAR,AF-WAR,ISO-3166-2,ISO 3166-2:2020
AF-ZAB,AF-ZAB,ISO-3166-2,ISO 3166-2:2020
AG-10,AG-10,ISO-3166-2,ISO 3166-2:2020
