emissions_id,actor_id,year,total_emissions,datasource_id
BP_review_june2022:AE:1990,AE,1990,99094002,BP:statistical_review_june2022
BP_review_june2022:AE:1991,AE,1991,117914011,BP:statistical_review_june2022
BP_review_june2022:AE:1992,AE,1992,115711998,BP:statistical_review_june2022
BP_review_june2022:AE:1993,AE,1993,119159798,BP:statistical_review_june2022
BP_review_june2022:AE:1994,AE,1994,129871184,BP:statistical_review_june2022
BP_review_june2022:AE:1995,AE,1995,134752235,BP:statistical_review_june2022
BP_review_june2022:AE:1996,AE,1996,138055166,BP:statistical_review_june2022
BP_review_june2022:AE:1997,AE,1997,144771314,BP:statistical_review_june2022
BP_review_june2022:AE:1998,AE,1998,147757928,BP:statistical_review_june2022
BP_review_june2022:AE:1999,AE,1999,147109074,BP:statistical_review_june2022
BP_review_june2022:AE:2000,AE,2000,146733248,BP:statistical_review_june2022
BP_review_june2022:AE:2001,AE,2001,147706534,BP:statistical_review_june2022
BP_review_june2022:AE:2002,AE,2002,154768807,BP:statistical_review_june2022
BP_review_june2022:AE:2003,AE,2003,166692658,BP:statistical_review_june2022
BP_review_june2022:AE:2004,AE,2004,178286964,BP:statistical_review_june2022
BP_review_june2022:AE:2005,AE,2005,185851262,BP:statistical_review_june2022
BP_review_june2022:AE:2006,AE,2006,196914693,BP:statistical_review_june2022
BP_review_june2022:AE:2007,AE,2007,214655782,BP:statistical_review_june2022
BP_review_june2022:AE:2008,AE,2008,242973068,BP:statistical_review_june2022
BP_review_june2022:AE:2009,AE,2009,233915734,BP:statistical_review_june2022
BP_review_june2022:AE:2010,AE,2010,243898663,BP:statistical_review_june2022
BP_review_june2022:AE:2011,AE,2011,251780251,BP:statistical_review_june2022
BP_review_june2022:AE:2012,AE,2012,263513166,BP:statistical_review_june2022
BP_review_june2022:AE:2013,AE,2013,280673367,BP:statistical_review_june2022
BP_review_june2022:AE:2014,AE,2014,277055526,BP:statistical_review_june2022
BP_review_june2022:AE:2015,AE,2015,301279835,BP:statistical_review_june2022
BP_review_june2022:AE:2016,AE,2016,311164116,BP:statistical_review_june2022
BP_review_june2022:AE:2017,AE,2017,311996141,BP:statistical_review_june2022
BP_review_june2022:AE:2018,AE,2018,306096129,BP:statistical_review_june2022
BP_review_june2022:AE:2019,AE,2019,305150775,BP:statistical_review_june2022
BP_review_june2022:AE:2020,AE,2020,280603412,BP:statistical_review_june2022
BP_review_june2022:AE:2021,AE,2021,293235903,BP:statistical_review_june2022
BP_review_june2022:AR:1990,AR,1990,123904223,BP:statistical_review_june2022
BP_review_june2022:AR:1991,AR,1991,126269255,BP:statistical_review_june2022
BP_review_june2022:AR:1992,AR,1992,133578112,BP:statistical_review_june2022
BP_review_june2022:AR:1993,AR,1993,132890430,BP:statistical_review_june2022
BP_review_june2022:AR:1994,AR,1994,139854574,BP:statistical_review_june2022
BP_review_june2022:AR:1995,AR,1995,146121390,BP:statistical_review_june2022
BP_review_june2022:AR:1996,AR,1996,154444536,BP:statistical_review_june2022
BP_review_june2022:AR:1997,AR,1997,154438093,BP:statistical_review_june2022
BP_review_june2022:AR:1998,AR,1998,160840647,BP:statistical_review_june2022
BP_review_june2022:AR:1999,AR,1999,165270274,BP:statistical_review_june2022
BP_review_june2022:AR:2000,AR,2000,159583941,BP:statistical_review_june2022
BP_review_june2022:AR:2001,AR,2001,149693939,BP:statistical_review_june2022
BP_review_june2022:AR:2002,AR,2002,144606175,BP:statistical_review_june2022
BP_review_june2022:AR:2003,AR,2003,156077873,BP:statistical_review_june2022
BP_review_june2022:AR:2004,AR,2004,168026574,BP:statistical_review_june2022
BP_review_june2022:AR:2005,AR,2005,175189462,BP:statistical_review_june2022
BP_review_june2022:AR:2006,AR,2006,181710271,BP:statistical_review_june2022
BP_review_june2022:AR:2007,AR,2007,194646754,BP:statistical_review_june2022
BP_review_june2022:AR:2008,AR,2008,196536710,BP:statistical_review_june2022
BP_review_june2022:AR:2009,AR,2009,186867334,BP:statistical_review_june2022
BP_review_june2022:AR:2010,AR,2010,195703615,BP:statistical_review_june2022
BP_review_june2022:AR:2011,AR,2011,201511670,BP:statistical_review_june2022
BP_review_june2022:AR:2012,AR,2012,210681170,BP:statistical_review_june2022
BP_review_june2022:AR:2013,AR,2013,216439850,BP:statistical_review_june2022
BP_review_june2022:AR:2014,AR,2014,216399148,BP:statistical_review_june2022
BP_review_june2022:AR:2015,AR,2015,220083425,BP:statistical_review_june2022
BP_review_june2022:AR:2016,AR,2016,218264528,BP:statistical_review_june2022
BP_review_june2022:AR:2017,AR,2017,216620210,BP:statistical_review_june2022
BP_review_june2022:AR:2018,AR,2018,215535423,BP:statistical_review_june2022
BP_review_june2022:AR:2019,AR,2019,207042067,BP:statistical_review_june2022
BP_review_june2022:AR:2020,AR,2020,193764127,BP:statistical_review_june2022
BP_review_june2022:AR:2021,AR,2021,212753340,BP:statistical_review_june2022
BP_review_june2022:AT:1990,AT,1990,60176710,BP:statistical_review_june2022
BP_review_june2022:AT:1991,AT,1991,65036642,BP:statistical_review_june2022
BP_review_june2022:AT:1992,AT,1992,59829903,BP:statistical_review_june2022
BP_review_june2022:AT:1993,AT,1993,60240432,BP:statistical_review_june2022
BP_review_june2022:AT:1994,AT,1994,60823138,BP:statistical_review_june2022
BP_review_june2022:AT:1995,AT,1995,62925558,BP:statistical_review_june2022
BP_review_june2022:AT:1996,AT,1996,64747083,BP:statistical_review_june2022
BP_review_june2022:AT:1997,AT,1997,65443064,BP:statistical_review_june2022
BP_review_june2022:AT:1998,AT,1998,65548094,BP:statistical_review_june2022
BP_review_june2022:AT:1999,AT,1999,64814078,BP:statistical_review_june2022
BP_review_june2022:AT:2000,AT,2000,65465743,BP:statistical_review_june2022
BP_review_june2022:AT:2001,AT,2001,70101500,BP:statistical_review_june2022
BP_review_june2022:AT:2002,AT,2002,71235125,BP:statistical_review_june2022
BP_review_june2022:AT:2003,AT,2003,76983819,BP:statistical_review_june2022
BP_review_june2022:AT:2004,AT,2004,75707488,BP:statistical_review_june2022
BP_review_june2022:AT:2005,AT,2005,76714326,BP:statistical_review_june2022
BP_review_june2022:AT:2006,AT,2006,74812988,BP:statistical_review_june2022
BP_review_june2022:AT:2007,AT,2007,71308689,BP:statistical_review_june2022
BP_review_june2022:AT:2008,AT,2008,72086382,BP:statistical_review_june2022
BP_review_june2022:AT:2009,AT,2009,65547761,BP:statistical_review_june2022
BP_review_june2022:AT:2010,AT,2010,69624545,BP:statistical_review_june2022
BP_review_june2022:AT:2011,AT,2011,66518260,BP:statistical_review_june2022
BP_review_june2022:AT:2012,AT,2012,64053114,BP:statistical_review_june2022
BP_review_june2022:AT:2013,AT,2013,64668858,BP:statistical_review_june2022
BP_review_june2022:AT:2014,AT,2014,60415744,BP:statistical_review_june2022
BP_review_june2022:AT:2015,AT,2015,62534389,BP:statistical_review_june2022
BP_review_june2022:AT:2016,AT,2016,63511554,BP:statistical_review_june2022
BP_review_june2022:AT:2017,AT,2017,66291446,BP:statistical_review_june2022
BP_review_june2022:AT:2018,AT,2018,64023484,BP:statistical_review_june2022
BP_review_june2022:AT:2019,AT,2019,65535335,BP:statistical_review_june2022
BP_review_june2022:AT:2020,AT,2020,57916847,BP:statistical_review_june2022
BP_review_june2022:AT:2021,AT,2021,60278133,BP:statistical_review_june2022
BP_review_june2022:AU:1990,AU,1990,299324483,BP:statistical_review_june2022
BP_review_june2022:AU:1991,AU,1991,300298637,BP:statistical_review_june2022
BP_review_june2022:AU:1992,AU,1992,304716408,BP:statistical_review_june2022
BP_review_june2022:AU:1993,AU,1993,309820625,BP:statistical_review_june2022
BP_review_june2022:AU:1994,AU,1994,320287826,BP:statistical_review_june2022
BP_review_june2022:AU:1995,AU,1995,336131425,BP:statistical_review_june2022
BP_review_june2022:AU:1996,AU,1996,346857458,BP:statistical_review_june2022
BP_review_june2022:AU:1997,AU,1997,358282032,BP:statistical_review_june2022
BP_review_june2022:AU:1998,AU,1998,370059732,BP:statistical_review_june2022
BP_review_june2022:AU:1999,AU,1999,385723886,BP:statistical_review_june2022
BP_review_june2022:AU:2000,AU,2000,390339210,BP:statistical_review_june2022
BP_review_june2022:AU:2001,AU,2001,394576674,BP:statistical_review_june2022
BP_review_june2022:AU:2002,AU,2002,401700575,BP:statistical_review_june2022
BP_review_june2022:AU:2003,AU,2003,408220467,BP:statistical_review_june2022
BP_review_june2022:AU:2004,AU,2004,421701110,BP:statistical_review_june2022
BP_review_june2022:AU:2005,AU,2005,423653763,BP:statistical_review_june2022
BP_review_june2022:AU:2006,AU,2006,440028382,BP:statistical_review_june2022
BP_review_june2022:AU:2007,AU,2007,450701766,BP:statistical_review_june2022
BP_review_june2022:AU:2008,AU,2008,461457348,BP:statistical_review_june2022
BP_review_june2022:AU:2009,AU,2009,453783513,BP:statistical_review_june2022
BP_review_june2022:AU:2010,AU,2010,450986331,BP:statistical_review_june2022
BP_review_june2022:AU:2011,AU,2011,453700685,BP:statistical_review_june2022
BP_review_june2022:AU:2012,AU,2012,446474681,BP:statistical_review_june2022
BP_review_june2022:AU:2013,AU,2013,447653793,BP:statistical_review_june2022
BP_review_june2022:AU:2014,AU,2014,455286782,BP:statistical_review_june2022
BP_review_june2022:AU:2015,AU,2015,466252179,BP:statistical_review_june2022
BP_review_june2022:AU:2016,AU,2016,463738540,BP:statistical_review_june2022
BP_review_june2022:AU:2017,AU,2017,463490547,BP:statistical_review_june2022
BP_review_june2022:AU:2018,AU,2018,461525170,BP:statistical_review_june2022
BP_review_june2022:AU:2019,AU,2019,471324829,BP:statistical_review_june2022
BP_review_june2022:AU:2020,AU,2020,441732990,BP:statistical_review_june2022
BP_review_june2022:AU:2021,AU,2021,433435131,BP:statistical_review_june2022
BP_review_june2022:AZ:1990,AZ,1990,94037207,BP:statistical_review_june2022
BP_review_june2022:AZ:1991,AZ,1991,89014050,BP:statistical_review_june2022
BP_review_june2022:AZ:1992,AZ,1992,77725645,BP:statistical_review_june2022
BP_review_june2022:AZ:1993,AZ,1993,65922742,BP:statistical_review_june2022
BP_review_june2022:AZ:1994,AZ,1994,55733699,BP:statistical_review_june2022
BP_review_june2022:AZ:1995,AZ,1995,52778733,BP:statistical_review_june2022
BP_review_june2022:AZ:1996,AZ,1996,45866146,BP:statistical_review_june2022
BP_review_june2022:AZ:1997,AZ,1997,44348166,BP:statistical_review_june2022
BP_review_june2022:AZ:1998,AZ,1998,44569306,BP:statistical_review_june2022
BP_review_june2022:AZ:1999,AZ,1999,44304565,BP:statistical_review_june2022
BP_review_june2022:AZ:2000,AZ,2000,45125330,BP:statistical_review_june2022
BP_review_june2022:AZ:2001,AZ,2001,43349887,BP:statistical_review_june2022
BP_review_june2022:AZ:2002,AZ,2002,43057272,BP:statistical_review_june2022
BP_review_june2022:AZ:2003,AZ,2003,38309286,BP:statistical_review_june2022
BP_review_june2022:AZ:2004,AZ,2004,41403273,BP:statistical_review_june2022
BP_review_june2022:AZ:2005,AZ,2005,46221186,BP:statistical_review_june2022
BP_review_june2022:AZ:2006,AZ,2006,44366345,BP:statistical_review_june2022
BP_review_june2022:AZ:2007,AZ,2007,43518050,BP:statistical_review_june2022
BP_review_june2022:AZ:2008,AZ,2008,44314044,BP:statistical_review_june2022
BP_review_june2022:AZ:2009,AZ,2009,39166073,BP:statistical_review_june2022
BP_review_june2022:AZ:2010,AZ,2010,37629648,BP:statistical_review_june2022
BP_review_june2022:AZ:2011,AZ,2011,40028226,BP:statistical_review_june2022
BP_review_june2022:AZ:2012,AZ,2012,40322588,BP:statistical_review_june2022
BP_review_june2022:AZ:2013,AZ,2013,40858529,BP:statistical_review_june2022
BP_review_june2022:AZ:2014,AZ,2014,41275963,BP:statistical_review_june2022
BP_review_june2022:AZ:2015,AZ,2015,43303891,BP:statistical_review_june2022
BP_review_june2022:AZ:2016,AZ,2016,42594220,BP:statistical_review_june2022
BP_review_june2022:AZ:2017,AZ,2017,41189036,BP:statistical_review_june2022
