target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,datasource_id
CDP_full_states_regions_2022:AU-SA:2030,AU-SA,Absolute emission reduction,2005,2030,50,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:AU-SA:2050,AU-SA,Fixed-level target,2050,2050,0,tCO2e,CDP_full_states_regions:2022
CDP_full_states_regions_2022:BR-DF:2030,BR-DF,Absolute emission reduction,2013,2030,37,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:BR-PE:2050,BR-PE,Absolute emission reduction,2015,2050,100,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:CA-BC:2025,CA-BC,Absolute emission reduction,2007,2025,16,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:CA-BC:2030,CA-BC,Absolute emission reduction,2007,2030,40,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:CA-BC:2040,CA-BC,Absolute emission reduction,2007,2040,60,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:CA-BC:2050,CA-BC,Absolute emission reduction,2007,2050,80,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:CA-PE:2030,CA-PE,Absolute emission reduction,2005,2030,40,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:CA-QC:2030,CA-QC,Absolute emission reduction,1990,2030,35,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:CA-QC:2030,CA-QC,Absolute emission reduction,1990,2030,35,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:CA-QC:2050,CA-QC,Absolute emission reduction,2001,2050,75,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:CA-QC:2050,CA-QC,Absolute emission reduction,2001,2050,75,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:CO-ANT:2050,CO-ANT,Absolute emission reduction,2012,2050,0,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:ES-AN:2030,ES-AN,Absolute emission reduction,2005,2030,39,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:ES-CB:2030,ES-CB,Fixed-level target,2030,2030,5150244,tCO2e,CDP_full_states_regions:2022
CDP_full_states_regions_2022:ES-PV:2030,ES-PV,Absolute emission reduction,2005,2030,40,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:ES-PV:2050,ES-PV,Absolute emission reduction,2005,2050,100,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:ES-S:2030,ES-S,Fixed-level target,2030,2030,5150244,tCO2e,CDP_full_states_regions:2022
CDP_full_states_regions_2022:GB-SCT:2030,GB-SCT,Absolute emission reduction,1990,2030,75,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:GB-SCT:2040,GB-SCT,Absolute emission reduction,1990,2040,90,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:GB-SCT:2045,GB-SCT,Fixed-level target,2045,2045,0,tCO2e,CDP_full_states_regions:2022
CDP_full_states_regions_2022:GB-WLS:2050,GB-WLS,Absolute emission reduction,1990,2050,100,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:ID-KU:2030,ID-KU,Absolute emission reduction,2010,2030,30,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:IT-21:2030,IT-21,Absolute emission reduction,1990,2030,40,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:IT-25:2020,IT-25,Absolute emission reduction,2005,2020,20,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:MX-JAL:2050,MX-JAL,Absolute emission reduction,2019,2050,100,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:MX-MEX:2050,MX-MEX,Absolute emission reduction,2010,2050,50,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:MX-NLE:2027,MX-NLE,Absolute emission reduction,2019,2027,30,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:MX-ROO:2050,MX-ROO,Absolute emission reduction,2015,2050,29,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:MX-YUC:2030,MX-YUC,Absolute emission reduction,2005,2030,40,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:PT-20:2030,PT-20,Absolute emission reduction,2014,2030,38,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:PT-30:2030,PT-30,Absolute emission reduction,2005,2030,55,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:PT-30:2050,PT-30,Absolute emission reduction,2005,2050,85,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:US-CT:2020,US-CT,Absolute emission reduction,1990,2020,10,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:US-CT:2030,US-CT,Absolute emission reduction,2001,2030,45,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:US-CT:2030,US-CT,Absolute emission reduction,2019,2030,32,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:US-CT:2050,US-CT,Absolute emission reduction,2001,2050,80,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:US-NY:2050,US-NY,Absolute emission reduction,1990,2050,85,percent,CDP_full_states_regions:2022
CDP_full_states_regions_2022:US-VA:2045,US-VA,Fixed-level target,2045,2045,0,tCO2e,CDP_full_states_regions:2022
