emissions_id,actor_id,year,total_emissions,datasource_id
CEADS:CN:1997,CN,1997,2923855560,CEADS:guan_etal_2021:china
CEADS:CN:1998,CN,1998,2886345645,CEADS:guan_etal_2021:china
CEADS:CN:1999,CN,1999,2878639872,CEADS:guan_etal_2021:china
CEADS:CN:2000,CN,2000,3003426724,CEADS:guan_etal_2021:china
CEADS:CN:2001,CN,2001,3250146167,CEADS:guan_etal_2021:china
CEADS:CN:2002,CN,2002,3472133953,CEADS:guan_etal_2021:china
CEADS:CN:2003,CN,2003,4084320774,CEADS:guan_etal_2021:china
CEADS:CN:2004,CN,2004,4695809704,CEADS:guan_etal_2021:china
CEADS:CN:2005,CN,2005,5398279906,CEADS:guan_etal_2021:china
CEADS:CN:2006,CN,2006,6008710384,CEADS:guan_etal_2021:china
CEADS:CN:2007,CN,2007,6546296648,CEADS:guan_etal_2021:china
CEADS:CN:2008,CN,2008,6761019282,CEADS:guan_etal_2021:china
CEADS:CN:2009,CN,2009,7333675089,CEADS:guan_etal_2021:china
CEADS:CN:2010,CN,2010,7904547464,CEADS:guan_etal_2021:china
CEADS:CN:2011,CN,2011,8741562054,CEADS:guan_etal_2021:china
CEADS:CN:2012,CN,2012,9080548389,CEADS:guan_etal_2021:china
CEADS:CN:2013,CN,2013,9534235131,CEADS:guan_etal_2021:china
CEADS:CN:2014,CN,2014,9451281630,CEADS:guan_etal_2021:china
CEADS:CN:2015,CN,2015,9253502801,CEADS:guan_etal_2021:china
CEADS:CN:2016,CN,2016,9256251068,CEADS:guan_etal_2021:china
CEADS:CN:2017,CN,2017,9408170796,CEADS:guan_etal_2021:china
CEADS:CN:2018,CN,2018,9621119877,CEADS:guan_etal_2021:china
CEADS:CN:2019,CN,2019,9794756396,CEADS:guan_etal_2021:china
