emissions_id,actor_id,year,total_emissions,datasource_id
CEADS:CN AAT:2010,CN AAT,2010,4361174,CEADS:shan_etal_2022:china_cities
CEADS:CN AAT:2011,CN AAT,2011,5902425,CEADS:shan_etal_2022:china_cities
CEADS:CN AAT:2012,CN AAT,2012,5788973,CEADS:shan_etal_2022:china_cities
CEADS:CN AAT:2013,CN AAT,2013,6816174,CEADS:shan_etal_2022:china_cities
CEADS:CN AAT:2014,CN AAT,2014,6285406,CEADS:shan_etal_2022:china_cities
CEADS:CN AAT:2015,CN AAT,2015,6617504,CEADS:shan_etal_2022:china_cities
CEADS:CN AKA:2009,CN AKA,2009,4532366,CEADS:shan_etal_2022:china_cities
CEADS:CN AKA:2010,CN AKA,2010,5655353,CEADS:shan_etal_2022:china_cities
CEADS:CN AKA:2011,CN AKA,2011,5011514,CEADS:shan_etal_2022:china_cities
CEADS:CN AKA:2012,CN AKA,2012,5348094,CEADS:shan_etal_2022:china_cities
CEADS:CN AKA:2013,CN AKA,2013,5035934,CEADS:shan_etal_2022:china_cities
CEADS:CN AKA:2014,CN AKA,2014,4815123,CEADS:shan_etal_2022:china_cities
CEADS:CN AKA:2015,CN AKA,2015,4603765,CEADS:shan_etal_2022:china_cities
CEADS:CN AKA:2016,CN AKA,2016,4869802,CEADS:shan_etal_2022:china_cities
CEADS:CN AKA:2018,CN AKA,2018,5901506,CEADS:shan_etal_2022:china_cities
CEADS:CN AKA:2019,CN AKA,2019,5578357,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2007,CN AKU,2007,12525162,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2008,CN AKU,2008,26432021,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2009,CN AKU,2009,9472182,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2010,CN AKU,2010,9798798,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2011,CN AKU,2011,14786037,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2012,CN AKU,2012,22883684,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2013,CN AKU,2013,28253977,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2014,CN AKU,2014,38308296,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2016,CN AKU,2016,20194131,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2017,CN AKU,2017,20592375,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2018,CN AKU,2018,19756796,CEADS:shan_etal_2022:china_cities
CEADS:CN AKU:2019,CN AKU,2019,20746533,CEADS:shan_etal_2022:china_cities
CEADS:CN ANS:2015,CN ANS,2015,15457652,CEADS:shan_etal_2022:china_cities
CEADS:CN ANS:2017,CN ANS,2017,16521395,CEADS:shan_etal_2022:china_cities
CEADS:CN ANS:2019,CN ANS,2019,14366363,CEADS:shan_etal_2022:china_cities
CEADS:CN AQG:2000,CN AQG,2000,4964461,CEADS:shan_etal_2022:china_cities
