emissions_id,actor_id,year,total_emissions,datasource_id
DDL-EUCoM:AT BRZ:2013.0,AT BRZ,2013,137075,DDL:EUCoM-compilation:2022
DDL-EUCoM:AT JDN:2015.0,AT JDN,2015,60455,DDL:EUCoM-compilation:2022
DDL-EUCoM:AT LXE:2014.0,AT LXE,2014,19647,DDL:EUCoM-compilation:2022
DDL-EUCoM:AT WEZ:2019.0,AT WEZ,2019,101534,DDL:EUCoM-compilation:2022
DDL-EUCoM:BA BHC:2020.0,BA BHC,2020,85616,DDL:EUCoM-compilation:2022
DDL-EUCoM:BA BJA:2020.0,BA BJA,2020,218566,DDL:EUCoM-compilation:2022
DDL-EUCoM:BA BNX:2015.0,BA BNX,2015,688894,DDL:EUCoM-compilation:2022
DDL-EUCoM:BA C6G:2006.0,BA C6G,2006,179418,DDL:EUCoM-compilation:2022
DDL-EUCoM:BA DBJ:2020.0,BA DBJ,2020,189316,DDL:EUCoM-compilation:2022
DDL-EUCoM:BA LKV:2020.0,BA LKV,2020,154017,DDL:EUCoM-compilation:2022
DDL-EUCoM:BA SMT:2020.0,BA SMT,2020,43635,DDL:EUCoM-compilation:2022
DDL-EUCoM:BA TBJ:2015.0,BA TBJ,2015,126670,DDL:EUCoM-compilation:2022
DDL-EUCoM:BA TZL:2020.0,BA TZL,2020,246010,DDL:EUCoM-compilation:2022
DDL-EUCoM:BA ZNK:2020.0,BA ZNK,2020,78410,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE AAB:2017.0,BE AAB,2017,402247,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE AES:2018.0,BE AES,2018,152028,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE AKN:2014.0,BE AKN,2014,76492,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ANS:2012.0,BE ANS,2012,185549,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ASS:2014.0,BE ASS,2014,18303,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ATE:2012.0,BE ATE,2012,25230,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ATH:2006.0,BE ATH,2006,158601,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ATO:2014.0,BE ATO,2014,62320,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE AUL:2014.0,BE AUL,2014,36638,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE AYW:2014.0,BE AYW,2014,62347,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BCO:2006.0,BE BCO,2006,204077,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BEE:2017.0,BE BEE,2017,111990,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BGY:2018.0,BE BGY,2018,40388,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BKE:2017.0,BE BKE,2017,42427,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BKO:2018.0,BE BKO,2018,39060,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BLC:2014.0,BE BLC,2014,43953,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BLZ:2014.0,BE BLZ,2014,143313,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BMB:2018.0,BE BMB,2018,54536,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BOG:2014.0,BE BOG,2014,40327,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BRD:2017.0,BE BRD,2017,19965,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BRE:2014.0,BE BRE,2014,91868,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BRS:2014.0,BE BRS,2014,31226,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BSS:2013.0,BE BSS,2013,104164,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BTM:2018.0,BE BTM,2018,81651,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE BUM:2018.0,BE BUM,2018,32027,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE CCS:2012.0,BE CCS,2012,175924,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE CFA:2013.0,BE CFA,2013,76787,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE CFO:2014.0,BE CFO,2014,111538,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE DBK:2017.0,BE DBK,2017,292301,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE DIS:2014.0,BE DIS,2014,67886,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE DPE:2018.0,BE DPE,2018,34961,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE DPK:2014.0,BE DPK,2014,76908,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE DSO:2014.0,BE DSO,2014,45913,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE DVI:2014.0,BE DVI,2014,6752,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ECH:2017.0,BE ECH,2017,435411,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ECS:2014.0,BE ECS,2014,48554,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE FES:2013.0,BE FES,2013,66453,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE FMA:2012.0,BE FMA,2012,122298,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE FME:2014.0,BE FME,2014,21448,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE FRE:2014.0,BE FRE,2014,31034,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE FRO:2017.0,BE FRO,2017,66287,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE GBE:2017.0,BE GBE,2017,28425,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE GED:2012.0,BE GED,2012,32109,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE GEE:2014.0,BE GEE,2014,34575,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE GHI:2013.0,BE GHI,2013,197679,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE GLO:2014.0,BE GLO,2014,25487,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE GNK:2014.0,BE GNK,2014,367130,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE GOK:2018.0,BE GOK,2018,44962,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE GPI:2014.0,BE GPI,2014,83396,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE GRB:2017.0,BE GRB,2017,120055,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE GSM:2014.0,BE GSM,2014,32596,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HAC:2017.0,BE HAC,2017,54191,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HAH:2014.0,BE HAH,2014,34351,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HAW:2014.0,BE HAW,2014,62295,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HDG:2016.0,BE HDG,2016,44523,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HEB:2017.0,BE HEB,2017,74512,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HEK:2014.0,BE HEK,2014,27114,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HEN:2018.0,BE HEN,2018,41226,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HET:2017.0,BE HET,2017,74512,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HFB:2017.0,BE HFB,2017,232905,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HGD:2018.0,BE HGD,2018,31080,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HHE:2014.0,BE HHE,2014,134333,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HKA:2014.0,BE HKA,2014,45010,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HLA:2014.0,BE HLA,2014,57475,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HLL:2017.0,BE HLL,2017,232905,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HNO:2014.0,BE HNO,2014,50251,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HNU:2014.0,BE HNU,2014,70740,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HOI:2017.0,BE HOI,2017,42993,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HON:2013.0,BE HON,2013,21398,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HSE:2014.0,BE HSE,2014,28526,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HSS:2015.0,BE HSS,2015,370491,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HUY:2014.0,BE HUY,2014,105746,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE HZO:2014.0,BE HZO,2014,155231,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE JHY:2014.0,BE JHY,2014,39570,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE KMH:2017.0,BE KMH,2017,52350,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE KRA:2017.0,BE KRA,2017,33888,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE KRO:2014.0,BE KRO,2014,29978,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE KTM:2014.0,BE KTM,2014,22221,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LAD:2018.0,BE LAD,2018,49410,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LAN:2014.0,BE LAN,2014,129929,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LBK:2018.0,BE LBK,2018,54485,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LCE:2014.0,BE LCE,2014,16525,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LDK:2017.0,BE LDK,2017,40248,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LEU:2015.0,BE LEU,2015,603137,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LIK:2018.0,BE LIK,2018,49647,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LIN:2018.0,BE LIN,2018,33036,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LLO:1990.0,BE LLO,1990,233770,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LML:2014.0,BE LML,2014,111989,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LNX:2014.0,BE LNX,2014,20956,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LNZ:2018.0,BE LNZ,2018,81168,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LOH:2018.0,BE LOH,2018,102223,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LRZ:2014.0,BE LRZ,2014,14942,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE LUM:2014.0,BE LUM,2014,81995,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE MAC:2017.0,BE MAC,2017,103367,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE MBW:2014.0,BE MBW,2014,58740,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE MCN:2017.0,BE MCN,2017,103367,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE MEC:2017.0,BE MEC,2017,52332,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE MGU:2014.0,BE MGU,2014,37056,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE MHA:2014.0,BE MHA,2014,62295,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE MIS:2018.0,BE MIS,2018,91718,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE MMN:2014.0,BE MMN,2014,185546,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE MSK:2014.0,BE MSK,2014,95070,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE MTA:2006.0,BE MTA,2006,9453,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE NIV:2014.0,BE NIV,2014,212598,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE NNV:2018.0,BE NNV,2018,174783,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE NPE:2012.0,BE NPE,2012,93000,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE NRP:2014.0,BE NRP,2014,46996,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE NSO:2006.0,BE NSO,2006,29079,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE OBL:2017.0,BE OBL,2017,70228,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE OHE:2018.0,BE OHE,2018,42069,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE OIJ:2018.0,BE OIJ,2018,44871,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE OJA:2014.0,BE OJA,2014,38993,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE OPG:2014.0,BE OPG,2014,42488,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE OVE:2014.0,BE OVE,2014,35597,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE OVR:2015.0,BE OVR,2015,94588,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE PBI:2014.0,BE PBI,2014,32361,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE PCL:2014.0,BE PCL,2014,117201,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE PEE:2014.0,BE PEE,2014,76990,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE PEP:2014.0,BE PEP,2014,37644,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE PIN:2018.0,BE PIN,2018,26664,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE QRO:2013.0,BE QRO,2013,108554,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE QVA:2013.0,BE QVA,2013,25226,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE RBA:2018.0,BE RBA,2018,82246,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE RIN:2014.0,BE RIN,2014,165006,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE RIS:2014.0,BE RIS,2014,77549,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE SAV:2012.0,BE SAV,2012,204187,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE SHU:2007.0,BE SHU,2007,36719,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE SLT:2014.0,BE SLT,2014,45217,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE SMO:2014.0,BE SMO,2014,68558,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE SNK:2015.0,BE SNK,2015,330782,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE SNO:2013.0,BE SNO,2013,113255,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE SOI:2014.0,BE SOI,2014,145297,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE SPT:2018.0,BE SPT,2018,142750,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE SPU:2017.0,BE SPU,2017,83173,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE STR:2014.0,BE STR,2014,198069,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE SYR:2014.0,BE SYR,2014,33815,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE TEN:2017.0,BE TEN,2017,78248,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE TER:2018.0,BE TER,2018,62321,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE TES:2014.0,BE TES,2014,72149,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE THU:2013.0,BE THU,2013,68412,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE TIE:2018.0,BE TIE,2018,174044,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE TMO:2018.0,BE TMO,2018,49463,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE TON:2014.0,BE TON,2014,123654,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE TVL:2018.0,BE TVL,2018,18309,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE TWI:2018.0,BE TWI,2018,60324,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE VER:2014.0,BE VER,2014,215401,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE VIL:2018.0,BE VIL,2018,215972,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE WAN:2014.0,BE WAN,2014,77755,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE WEL:2014.0,BE WEL,2014,38648,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE WIM:2014.0,BE WIM,2014,31870,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE WKD:2014.0,BE WKD,2014,48863,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ZAV:2018.0,BE ZAV,2018,146459,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ZHV:2014.0,BE ZHV,2014,146429,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ZOU:2018.0,BE ZOU,2018,49378,DDL:EUCoM-compilation:2022
DDL-EUCoM:BE ZTL:2014.0,BE ZTL,2014,35355,DDL:EUCoM-compilation:2022
DDL-EUCoM:BG AND:2016.0,BG AND,2016,59043,DDL:EUCoM-compilation:2022
DDL-EUCoM:BG DOD:2016.0,BG DOD,2016,90645,DDL:EUCoM-compilation:2022
DDL-EUCoM:BG GAV:2018.0,BG GAV,2018,174995,DDL:EUCoM-compilation:2022
DDL-EUCoM:BG KBR:2011.0,BG KBR,2011,216508,DDL:EUCoM-compilation:2022
DDL-EUCoM:BG PEG:2011.0,BG PEG,2011,146948,DDL:EUCoM-compilation:2022
DDL-EUCoM:BG SOF:2015.0,BG SOF,2015,5176641,DDL:EUCoM-compilation:2022
DDL-EUCoM:BY NHK:2016.0,BY NHK,2016,129465,DDL:EUCoM-compilation:2022
DDL-EUCoM:CH LAU:2018.0,CH LAU,2018,477363,DDL:EUCoM-compilation:2022
DDL-EUCoM:CH MNT:2015.0,CH MNT,2015,145895,DDL:EUCoM-compilation:2022
