target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,URL,datasource_id
DDL-EUCoM:EUCoM_pledge:AT BRZ,AT BRZ,Absolute emission reduction,2008,2020,21,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=14214,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:AT JDN,AT JDN,Absolute emission reduction,1990,2020,28,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=14680,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BA BHC,BA BHC,Absolute emission reduction,2010,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=13732,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BA BJA,BA BJA,Absolute emission reduction,2004,2020,31,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=13657,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BA BNX,BA BNX,Absolute emission reduction,1990,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=12016,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BA C6G,BA C6G,Absolute emission reduction,2005,2020,27,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18026,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BA DBJ,BA DBJ,Absolute emission reduction,2013,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19184,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BA LKV,BA LKV,Absolute emission reduction,2010,2030,40,percent,,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BA SMT,BA SMT,Absolute emission reduction,2011,2030,40,percent,,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BA TBJ,BA TBJ,Absolute emission reduction,2001,2020,22,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=13712,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BA TZL,BA TZL,Absolute emission reduction,2002,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=12816,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BA ZNK,BA ZNK,Absolute emission reduction,2009,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15261,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE AAB,BE AAB,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=17944,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE AES,BE AES,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18539,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE AKN,BE AKN,Absolute emission reduction,2011,2020,21,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15224,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE ANS,BE ANS,Absolute emission reduction,2006,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18719,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE ASS,BE ASS,Absolute emission reduction,2011,2020,21,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15225,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE ATE,BE ATE,Absolute emission reduction,1990,2020,26,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15184,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE ATO,BE ATO,Absolute emission reduction,2006,2030,40,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=20237,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE AUL,BE AUL,Absolute emission reduction,2006,2030,40,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19425,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE AYW,BE AYW,Absolute emission reduction,2006,2030,52,percent,,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BEE,BE BEE,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18543,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BGY,BE BGY,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18986,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BKE,BE BKE,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18567,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BKO,BE BKO,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18564,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BLC,BE BLC,Absolute emission reduction,2006,2030,43,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=25476,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BLZ,BE BLZ,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15227,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BMB,BE BMB,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18568,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BOG,BE BOG,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15229,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BRD,BE BRD,Absolute emission reduction,2006,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18055,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BRE,BE BRE,Absolute emission reduction,2011,2020,21,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15230,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BRS,BE BRS,Absolute emission reduction,2006,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=16784,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BSS,BE BSS,Absolute emission reduction,2006,2030,52,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19833,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BTM,BE BTM,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18565,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE BUM,BE BUM,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18569,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE CCS,BE CCS,Absolute emission reduction,2006,2030,44,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19990,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE CFA,BE CFA,Absolute emission reduction,2006,2030,40,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19994,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE CFO,BE CFO,Absolute emission reduction,2006,2030,41,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19698,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE DBK,BE DBK,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18571,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE DIS,BE DIS,Absolute emission reduction,2006,2030,40,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19991,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE DPE,BE DPE,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18759,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE DPK,BE DPK,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15231,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE DSO,BE DSO,Absolute emission reduction,2011,2020,35,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15232,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE DVI,BE DVI,Absolute emission reduction,2006,2020,28,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19285,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE ECH,BE ECH,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15530,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE ECS,BE ECS,Absolute emission reduction,2006,2030,63,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=20272,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE FES,BE FES,Absolute emission reduction,2006,2030,70,percent,,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE FMA,BE FMA,Absolute emission reduction,2006,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19372,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE FME,BE FME,Absolute emission reduction,2006,2030,40,percent,,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE FRE,BE FRE,Absolute emission reduction,2006,2030,48,percent,,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE FRO,BE FRO,Absolute emission reduction,2006,2030,44,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19938,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE GBE,BE GBE,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18573,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE GED,BE GED,Absolute emission reduction,2006,2030,40,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19517,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE GEE,BE GEE,Absolute emission reduction,2006,2030,44,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19823,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE GHI,BE GHI,Absolute emission reduction,2006,2030,40,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=19847,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE GLO,BE GLO,Absolute emission reduction,2011,2020,21,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15233,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE GNK,BE GNK,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=11586,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE GOK,BE GOK,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18615,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE GPI,BE GPI,Absolute emission reduction,2006,2030,43,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=20250,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE GRB,BE GRB,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18575,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE HAC,BE HAC,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18576,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE HAH,BE HAH,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15237,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE HAW,BE HAW,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=15236,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE HDG,BE HDG,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18582,DDL:EUCoM-compilation:2022
DDL-EUCoM:EUCoM_pledge:BE HEB,BE HEB,Absolute emission reduction,2011,2020,20,percent,https://www.covenantofmayors.eu/about/covenant-community/signatories/action-plan.html?scity_id=18578,DDL:EUCoM-compilation:2022
