actor_id,type,name,is_part_of,datasource_id
2138007ZSQ7B17SKOX77,organization,"Rio Tinto Alcan Inc., 1188 Sherbrooke Ouest, Montréal, H3A3G",CA-QC,GLEIF_golden_copy
2138008I2EJR8CKJSY80,organization,York University,GB-YOR,GLEIF_golden_copy
213800SOEJGBSFCBNZ80,organization,Shell Canada Energy,CA-AB,GLEIF_golden_copy
25490034ODG52NAX6D39,organization,Torxen Energy Ltd.,CA-AB,GLEIF_golden_copy
254900ALVJUAGHGF3855,organization,Markham District Energy Inc.,CA-ON,GLEIF_golden_copy
254900CX4FIIDFHO6182,organization,"Tqm Pipeline And Company, Limited Partnership",US-NV,GLEIF_golden_copy
254900EMECKROAZTQ810,organization,Regional Municipality Of Niagara,CA-ON,GLEIF_golden_copy
254900JZUEOQ33K2AI53,organization,Baffinland Iron Mines,CA-ON,GLEIF_golden_copy
254900SJU6CW31RVHW15,organization,Osisko Mining Inc,CA-ON,GLEIF_golden_copy
254900YQC5GNVL13O314,organization,Chemtrade Logistics Inc.,CA-ON,GLEIF_golden_copy
4B4HI3CGXMBDC0G6BM51,organization,Air Canada,CA-QC,GLEIF_golden_copy
529900L1EHUYOIRVR143,organization,Styrolution Canada Ltd.,CA-ON,GLEIF_golden_copy
529900S7UO4VPNLSFT33,organization,"Certainteed Gypsum Canada, Inc.",CA-ON,GLEIF_golden_copy
529900U45A1JKZFABZ35,organization,Transalta Renewables Inc.,CA-AB,GLEIF_golden_copy
529900VJOU2CH2WZ6949,organization,Bonterra Energy Corp.,CA-AB,GLEIF_golden_copy
529900X2VMAQT2PE0V24,organization,Rio Tinto,AU-VIC,GLEIF_golden_copy
5493000QHU254ST8A805,organization,Kirkland Lake Gold Ltd,CA-ON,GLEIF_golden_copy
5493001OC4Z0L3R1PP87,organization,Cascades Canada Ulc.,CA-AB,GLEIF_golden_copy
5493001PEB90YGTDC638,organization,Petronas Energy Canada Ltd.,CA-AB,GLEIF_golden_copy
5493001Y2YY733C7D136,organization,Northern Pulp Nova Scotia Corporation,CA-NS,GLEIF_golden_copy
54930033WS7FV15TNZ44,organization,Kuntz Electroplating Inc.,CA-ON,GLEIF_golden_copy
549300423UKB9GA8NE20,organization,Irving Paper Limited,CA-NB,GLEIF_golden_copy
5493004KY4KDUR6YZG97,organization,Polar Star Canadian Oil And Gas Inc.,CA-AB,GLEIF_golden_copy
5493005C3MRGJI6ZZF14,organization,Bunge Canada,CA-SK,GLEIF_golden_copy
5493005WD1ZK6WBVR988,organization,West Fraser Timber Co.,CA-BC,GLEIF_golden_copy
54930071Y8KNRMS4OP09,organization,Highland Valley Copper,CA-BC,GLEIF_golden_copy
54930088NKV63UAHIM71,organization,North West Redwater Partnership,CA-AB,GLEIF_golden_copy
5493008S9E54YU0UYJ34,organization,Honda Canada Inc.,CA-ON,GLEIF_golden_copy
5493009IDGFQJTJXVA51,organization,Aquatera Utilities Inc,CA-AB,GLEIF_golden_copy
549300A651QASD55GW77,organization,University Of Calgary,CA-AB,GLEIF_golden_copy
549300ACXH0JD2VM9I03,organization,University Of Waterloo,CA-ON,GLEIF_golden_copy
549300C45JTS75N6ZY04,organization,Surge Energy Inc.,CA-AB,GLEIF_golden_copy
549300CW1BIQY352BD50,organization,Skookumchuck Pulp Inc.,CA-BC,GLEIF_golden_copy
549300DITPHH8W8CK636,organization,Obsidian Energy Ltd.,CA-AB,GLEIF_golden_copy
549300DLRO5Q625BI570,organization,Connacher Oil And Gas Limited,CA-AB,GLEIF_golden_copy
549300DU2IZ6JEBUFQ07,organization,Celanese Canada Ulc.,CA-AB,GLEIF_golden_copy
