actor_id,identifier,namespace,datasource_id
2138007ZSQ7B17SKOX77,2138007ZSQ7B17SKOX77,LEI,GLEIF_golden_copy
2138008I2EJR8CKJSY80,2138008I2EJR8CKJSY80,LEI,GLEIF_golden_copy
213800SOEJGBSFCBNZ80,213800SOEJGBSFCBNZ80,LEI,GLEIF_golden_copy
25490034ODG52NAX6D39,25490034ODG52NAX6D39,LEI,GLEIF_golden_copy
254900ALVJUAGHGF3855,254900ALVJUAGHGF3855,LEI,GLEIF_golden_copy
254900CX4FIIDFHO6182,254900CX4FIIDFHO6182,LEI,GLEIF_golden_copy
254900EMECKROAZTQ810,254900EMECKROAZTQ810,LEI,GLEIF_golden_copy
254900JZUEOQ33K2AI53,254900JZUEOQ33K2AI53,LEI,GLEIF_golden_copy
254900SJU6CW31RVHW15,254900SJU6CW31RVHW15,LEI,GLEIF_golden_copy
254900YQC5GNVL13O314,254900YQC5GNVL13O314,LEI,GLEIF_golden_copy
4B4HI3CGXMBDC0G6BM51,4B4HI3CGXMBDC0G6BM51,LEI,GLEIF_golden_copy
529900L1EHUYOIRVR143,529900L1EHUYOIRVR143,LEI,GLEIF_golden_copy
529900S7UO4VPNLSFT33,529900S7UO4VPNLSFT33,LEI,GLEIF_golden_copy
529900U45A1JKZFABZ35,529900U45A1JKZFABZ35,LEI,GLEIF_golden_copy
529900VJOU2CH2WZ6949,529900VJOU2CH2WZ6949,LEI,GLEIF_golden_copy
529900X2VMAQT2PE0V24,529900X2VMAQT2PE0V24,LEI,GLEIF_golden_copy
5493000QHU254ST8A805,5493000QHU254ST8A805,LEI,GLEIF_golden_copy
5493001OC4Z0L3R1PP87,5493001OC4Z0L3R1PP87,LEI,GLEIF_golden_copy
5493001PEB90YGTDC638,5493001PEB90YGTDC638,LEI,GLEIF_golden_copy
5493001Y2YY733C7D136,5493001Y2YY733C7D136,LEI,GLEIF_golden_copy
54930033WS7FV15TNZ44,54930033WS7FV15TNZ44,LEI,GLEIF_golden_copy
549300423UKB9GA8NE20,549300423UKB9GA8NE20,LEI,GLEIF_golden_copy
5493004KY4KDUR6YZG97,5493004KY4KDUR6YZG97,LEI,GLEIF_golden_copy
5493005C3MRGJI6ZZF14,5493005C3MRGJI6ZZF14,LEI,GLEIF_golden_copy
5493005WD1ZK6WBVR988,5493005WD1ZK6WBVR988,LEI,GLEIF_golden_copy
54930071Y8KNRMS4OP09,54930071Y8KNRMS4OP09,LEI,GLEIF_golden_copy
54930088NKV63UAHIM71,54930088NKV63UAHIM71,LEI,GLEIF_golden_copy
5493008S9E54YU0UYJ34,5493008S9E54YU0UYJ34,LEI,GLEIF_golden_copy
5493009IDGFQJTJXVA51,5493009IDGFQJTJXVA51,LEI,GLEIF_golden_copy
549300A651QASD55GW77,549300A651QASD55GW77,LEI,GLEIF_golden_copy
549300ACXH0JD2VM9I03,549300ACXH0JD2VM9I03,LEI,GLEIF_golden_copy
549300C45JTS75N6ZY04,549300C45JTS75N6ZY04,LEI,GLEIF_golden_copy
549300CW1BIQY352BD50,549300CW1BIQY352BD50,LEI,GLEIF_golden_copy
549300DITPHH8W8CK636,549300DITPHH8W8CK636,LEI,GLEIF_golden_copy
549300DLRO5Q625BI570,549300DLRO5Q625BI570,LEI,GLEIF_golden_copy
549300DU2IZ6JEBUFQ07,549300DU2IZ6JEBUFQ07,LEI,GLEIF_golden_copy
549300EQPJ10YHPWH780,549300EQPJ10YHPWH780,LEI,GLEIF_golden_copy
549300EVSDWRVHUSS869,549300EVSDWRVHUSS869,LEI,GLEIF_golden_copy
549300F4XPHJ7NOSP309,549300F4XPHJ7NOSP309,LEI,GLEIF_golden_copy
549300F8Y20RYGNGV346,549300F8Y20RYGNGV346,LEI,GLEIF_golden_copy
549300FWQYIGXQKTLF33,549300FWQYIGXQKTLF33,LEI,GLEIF_golden_copy
549300HG8P317IA7F175,549300HG8P317IA7F175,LEI,GLEIF_golden_copy
549300HQTP3HFLQCDJ30,549300HQTP3HFLQCDJ30,LEI,GLEIF_golden_copy
549300I02OVQ8SO8XJ85,549300I02OVQ8SO8XJ85,LEI,GLEIF_golden_copy
549300I04PB7X2824122,549300I04PB7X2824122,LEI,GLEIF_golden_copy
549300I5MSH5164V0R76,549300I5MSH5164V0R76,LEI,GLEIF_golden_copy
549300IKIHK4XHBQA912,549300IKIHK4XHBQA912,LEI,GLEIF_golden_copy
549300IT8CIDW8V5KX72,549300IT8CIDW8V5KX72,LEI,GLEIF_golden_copy
549300JKT5KTWQGH8W42,549300JKT5KTWQGH8W42,LEI,GLEIF_golden_copy
549300JNRT97HYDOBV53,549300JNRT97HYDOBV53,LEI,GLEIF_golden_copy
549300JSO4G6XV6Y5V84,549300JSO4G6XV6Y5V84,LEI,GLEIF_golden_copy
549300JT133LZOPVH889,549300JT133LZOPVH889,LEI,GLEIF_golden_copy
549300K9GD47N5IXZQ65,549300K9GD47N5IXZQ65,LEI,GLEIF_golden_copy
549300KNDXOG0N6VEF20,549300KNDXOG0N6VEF20,LEI,GLEIF_golden_copy
549300LCTK71JIKE1S67,549300LCTK71JIKE1S67,LEI,GLEIF_golden_copy
549300LLBYDSPBFN3474,549300LLBYDSPBFN3474,LEI,GLEIF_golden_copy
549300MB66VESRD56790,549300MB66VESRD56790,LEI,GLEIF_golden_copy
549300MMV2S26X2LA541,549300MMV2S26X2LA541,LEI,GLEIF_golden_copy
549300MOKCG3MQ3MZ073,549300MOKCG3MQ3MZ073,LEI,GLEIF_golden_copy
549300NHZY0OLJH01Q32,549300NHZY0OLJH01Q32,LEI,GLEIF_golden_copy
549300NLM9AOMVGVLF70,549300NLM9AOMVGVLF70,LEI,GLEIF_golden_copy
549300O6R1R7LCBS4490,549300O6R1R7LCBS4490,LEI,GLEIF_golden_copy
549300OOKI1J60ZS8Z73,549300OOKI1J60ZS8Z73,LEI,GLEIF_golden_copy
549300OWG39NVI2E5198,549300OWG39NVI2E5198,LEI,GLEIF_golden_copy
549300PGU4F3PE780370,549300PGU4F3PE780370,LEI,GLEIF_golden_copy
549300PSRJIRNHRMZ259,549300PSRJIRNHRMZ259,LEI,GLEIF_golden_copy
549300Q0VR82VBFVR156,549300Q0VR82VBFVR156,LEI,GLEIF_golden_copy
549300QOJASE55RBUG72,549300QOJASE55RBUG72,LEI,GLEIF_golden_copy
549300QVRPF55YS4I188,549300QVRPF55YS4I188,LEI,GLEIF_golden_copy
549300R1D8EZJODZXH23,549300R1D8EZJODZXH23,LEI,GLEIF_golden_copy
549300SG6UC67FD5T253,549300SG6UC67FD5T253,LEI,GLEIF_golden_copy
549300SMZTVZQPL8DY97,549300SMZTVZQPL8DY97,LEI,GLEIF_golden_copy
549300SULPFDEWWFVD15,549300SULPFDEWWFVD15,LEI,GLEIF_golden_copy
549300T15RIMIKZC5Q38,549300T15RIMIKZC5Q38,LEI,GLEIF_golden_copy
549300TE72QZCLE47467,549300TE72QZCLE47467,LEI,GLEIF_golden_copy
549300THM2FZJ4FYXF38,549300THM2FZJ4FYXF38,LEI,GLEIF_golden_copy
549300UZWTSBHM6BJE80,549300UZWTSBHM6BJE80,LEI,GLEIF_golden_copy
549300V5XHJM4FKUZL63,549300V5XHJM4FKUZL63,LEI,GLEIF_golden_copy
549300VT0U272UDFWD22,549300VT0U272UDFWD22,LEI,GLEIF_golden_copy
549300W70ZOQDVLCHY06,549300W70ZOQDVLCHY06,LEI,GLEIF_golden_copy
549300WBITZYYTOLW358,549300WBITZYYTOLW358,LEI,GLEIF_golden_copy
549300WER23TDUKKMC85,549300WER23TDUKKMC85,LEI,GLEIF_golden_copy
549300XEP00B177J5J47,549300XEP00B177J5J47,LEI,GLEIF_golden_copy
549300XFUNZD6T00GB78,549300XFUNZD6T00GB78,LEI,GLEIF_golden_copy
549300XJK3PWW7NDRD70,549300XJK3PWW7NDRD70,LEI,GLEIF_golden_copy
549300XT75E6ZKK2RE88,549300XT75E6ZKK2RE88,LEI,GLEIF_golden_copy
549300Y06T7WDFMGWP26,549300Y06T7WDFMGWP26,LEI,GLEIF_golden_copy
549300YFA038FZ2SEQ60,549300YFA038FZ2SEQ60,LEI,GLEIF_golden_copy
549300ZIB4JGT9EQZ445,549300ZIB4JGT9EQZ445,LEI,GLEIF_golden_copy
824LMFJDH41EY779Q875,824LMFJDH41EY779Q875,LEI,GLEIF_golden_copy
FDX8H7EVT2UU4KZST276,FDX8H7EVT2UU4KZST276,LEI,GLEIF_golden_copy
MJATGU4J97KOUNZJNS73,MJATGU4J97KOUNZJNS73,LEI,GLEIF_golden_copy
N4BHALMXL3GMZKCUON55,N4BHALMXL3GMZKCUON55,LEI,GLEIF_golden_copy
RCJ8N5WH4YK7SVJ4BO12,RCJ8N5WH4YK7SVJ4BO12,LEI,GLEIF_golden_copy
VFIHQZIFDSYYZFB4MS14,VFIHQZIFDSYYZFB4MS14,LEI,GLEIF_golden_copy
YDHER8SKF7V7YW8KZB55,YDHER8SKF7V7YW8KZB55,LEI,GLEIF_golden_copy
ZRPT83FLC26QOUQ8DT58,ZRPT83FLC26QOUQ8DT58,LEI,GLEIF_golden_copy
