actor_id,identifier,datasource_id,namespace
ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10897:ZRPT83FLC26QOUQ8DT58,ECCC_G10897:ZRPT83FLC26QOUQ8DT58,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11174:5493005C3MRGJI6ZZF14,ECCC_G11174:5493005C3MRGJI6ZZF14,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10125:635400MHHHT7LMKMQL03,ECCC_G10125:635400MHHHT7LMKMQL03,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10419:549300ETZ2H2VN8K1243,ECCC_G10419:549300ETZ2H2VN8K1243,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11236:549300ETZ2H2VN8K1243,ECCC_G11236:549300ETZ2H2VN8K1243,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10006:549300ETZ2H2VN8K1243,ECCC_G10006:549300ETZ2H2VN8K1243,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10032:54930037NB6NXS8EKP78,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10161:54930037NB6NXS8EKP78,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11808:54930037NB6NXS8EKP78,ECCC_G11808:54930037NB6NXS8EKP78,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11809:54930037NB6NXS8EKP78,ECCC_G11809:54930037NB6NXS8EKP78,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12336:54930037NB6NXS8EKP78,ECCC_G12336:54930037NB6NXS8EKP78,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12309:54930037NB6NXS8EKP78,ECCC_G12309:54930037NB6NXS8EKP78,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10112:5299000S9E1C0NBZXD39,ECCC_G10112:5299000S9E1C0NBZXD39,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10111:549300GT6BLC9T74PS32,ECCC_G10111:549300GT6BLC9T74PS32,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10170:5299000S9E1C0NBZXD39,ECCC_G10170:5299000S9E1C0NBZXD39,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11558:5493009UL1CFLQ2GMZ46,ECCC_G11558:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11968:5493009UL1CFLQ2GMZ46,ECCC_G11968:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10171:5299000S9E1C0NBZXD39,ECCC_G10171:5299000S9E1C0NBZXD39,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10173:5299000S9E1C0NBZXD39,ECCC_G10173:5299000S9E1C0NBZXD39,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10157:XYSIJOU3HNVROZWNA008,ECCC_G10157:XYSIJOU3HNVROZWNA008,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10172:5299000S9E1C0NBZXD39,ECCC_G10172:5299000S9E1C0NBZXD39,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10114:549300SKZOPRJXN2F307,ECCC_G10114:549300SKZOPRJXN2F307,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10043:549300V0FRLSRFEZFU13,ECCC_G10043:549300V0FRLSRFEZFU13,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11165:N4BHALMXL3GMZKCUON55,ECCC_G11165:N4BHALMXL3GMZKCUON55,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10050:549300V0FRLSRFEZFU13,ECCC_G10050:549300V0FRLSRFEZFU13,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10051:549300V0FRLSRFEZFU13,ECCC_G10051:549300V0FRLSRFEZFU13,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10044:549300ZB40TJUE9X2R65,ECCC_G10044:549300ZB40TJUE9X2R65,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10068:549300Z9RSLCM1W45F39,ECCC_G10068:549300Z9RSLCM1W45F39,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11187:549300Z9RSLCM1W45F39,ECCC_G11187:549300Z9RSLCM1W45F39,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10047:549300VQ7HOMKDCK3V73,ECCC_G10047:549300VQ7HOMKDCK3V73,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11081:549300FWQYIGXQKTLF33,ECCC_G11081:549300FWQYIGXQKTLF33,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10057:549300FWQYIGXQKTLF33,ECCC_G10057:549300FWQYIGXQKTLF33,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10057:2549003MR3W2EFW61T28,ECCC_G10057:2549003MR3W2EFW61T28,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10644:549300LB21L42P0HSR70,ECCC_G10644:549300LB21L42P0HSR70,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10059:54930056WZE8OYLZ0321,ECCC_G10059:54930056WZE8OYLZ0321,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12290:54930056WZE8OYLZ0321,ECCC_G12290:54930056WZE8OYLZ0321,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11209:6THEVG93PYJH84S4D167,ECCC_G11209:6THEVG93PYJH84S4D167,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10063:6THEVG93PYJH84S4D167,ECCC_G10063:6THEVG93PYJH84S4D167,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10065:549300F4XPHJ7NOSP309,ECCC_G10065:549300F4XPHJ7NOSP309,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10744:549300T15RIMIKZC5Q38,ECCC_G10744:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
