year,total_emissions,actor_id,emissions_id,datasource_id
2020,656103,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10121:549300ETZ2H2VN8K12432020,ECCC_GHGRP:2022-04-14
2019,645082,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10121:549300ETZ2H2VN8K12432019,ECCC_GHGRP:2022-04-14
2018,576286,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10121:549300ETZ2H2VN8K12432018,ECCC_GHGRP:2022-04-14
2017,615166,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10121:549300ETZ2H2VN8K12432017,ECCC_GHGRP:2022-04-14
2016,593417,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10121:549300ETZ2H2VN8K12432016,ECCC_GHGRP:2022-04-14
2015,625742,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10121:549300ETZ2H2VN8K12432015,ECCC_GHGRP:2022-04-14
2014,585743,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10121:549300ETZ2H2VN8K12432014,ECCC_GHGRP:2022-04-14
2013,606428,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10121:549300ETZ2H2VN8K12432013,ECCC_GHGRP:2022-04-14
2012,579671,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10121:549300ETZ2H2VN8K12432012,ECCC_GHGRP:2022-04-14
2011,596356,ECCC_G10121:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10121:549300ETZ2H2VN8K12432011,ECCC_GHGRP:2022-04-14
2020,949688,ECCC_G10897:ZRPT83FLC26QOUQ8DT58,ECCC_GHGRP:ECCC_G10897:ZRPT83FLC26QOUQ8DT582020,ECCC_GHGRP:2022-04-14
2019,1101739,ECCC_G10897:ZRPT83FLC26QOUQ8DT58,ECCC_GHGRP:ECCC_G10897:ZRPT83FLC26QOUQ8DT582019,ECCC_GHGRP:2022-04-14
