actor_id,type,name,is_part_of,datasource_id
213800DXAY5TCEPA3S29,organization,"Rothsay, A Division Of Darling International Canada Inc.",GB-BDF,GLEIF_golden_copy
2549007B0SLVLUP0UH16,organization,Pieridae Alberta Production Ltd.,CA-AB,GLEIF_golden_copy
2549007TZ2BNTBR5E019,organization,Richmond Plywood Corporation Limited,CA-BC,GLEIF_golden_copy
2549008Y9VL7P2U8OR31,organization,Minerai De Fer Québec Inc.,CA-QC,GLEIF_golden_copy
2549009EF8SNW0NM1D69,organization,Altasteel Inc.,CA-BC,GLEIF_golden_copy
254900ALVJUAGHGF3855,organization,Markham District Energy Inc.,CA-ON,GLEIF_golden_copy
254900HI3APU3ZVVJ925,organization,Regional Municipality Of Durham,CA-ON,GLEIF_golden_copy
254900IRDIJ02P4ZCI05,organization,Iko Industries Ltd.,CA-AB,GLEIF_golden_copy
254900OG0ZSAC42XS380,organization,2333281 Ontario Ltd,CA-ON,GLEIF_golden_copy
254900ONJ1OWBRJROP98,organization,City Of Moose Jaw,CA-SK,GLEIF_golden_copy
254900Q63DTCVHIU0H11,organization,The Calgary Airport Authority,CA-AB,GLEIF_golden_copy
254900SRJAXOE45AIQ69,organization,Hacienda North Farms Inc.,CA-ON,GLEIF_golden_copy
254900WSJMA2P4XUR797,organization,Impala Canada Ltd.,CA-ON,GLEIF_golden_copy
38BB4H4JFWMQTNI3W911,organization,Murphy Oil Company Ltd,CA-AB,GLEIF_golden_copy
529900G32H6145TBDT30,organization,Kirkland Lake Gold Inc,CA-ON,GLEIF_golden_copy
529900S7UO4VPNLSFT33,organization,Certainteed Gypsum Canada Inc,CA-ON,GLEIF_golden_copy
529900U45A1JKZFABZ35,organization,Transalta Renewables Inc.,CA-AB,GLEIF_golden_copy
54930002OWIJO351J404,organization,New Star Energy Ltd.,CA-AB,GLEIF_golden_copy
5493000BBN3EF2L0XW29,organization,Birchcliff Energy Ltd.,CA-AB,GLEIF_golden_copy
54930017KTY7LFN77D56,organization,General Motors Of Canada Limited,CA-ON,GLEIF_golden_copy
5493001Y2YY733C7D136,organization,Northern Pulp Nova Scotia Corporation,CA-NS,GLEIF_golden_copy
5493002J5Z300QBQAP74,organization,Halton Healthcare Services Corporation,CA-ON,GLEIF_golden_copy
5493002WXPTG5ZC1T326,organization,Meg Energy Corp.,CA-AB,GLEIF_golden_copy
54930030MPVYJ0MTAS08,organization,Bridgestone  Canada Inc.,CA-QC,GLEIF_golden_copy
549300423UKB9GA8NE20,organization,Irving Paper Limited,CA-NB,GLEIF_golden_copy
5493004YGJYYQC3S2C75,organization,Japan Canada Oil Sands Limited,CA-AB,GLEIF_golden_copy
54930056WZE8OYLZ0321,organization,Cavendish Farms Corporation,CA-NB,GLEIF_golden_copy
5493005UAF5R2W4DL323,organization,Great Lakes Copper Ltd.,CA-NS,GLEIF_golden_copy
5493006JAK1RTSGITS06,organization,Sunrite Greenhouses Ltd.,CA-ON,GLEIF_golden_copy
5493006N1RXVPKY5WX32,organization,University Of Guelph,CA-ON,GLEIF_golden_copy
5493006RXIB5GVHWJS53,organization,Algoma Steel Inc.,CA-BC,GLEIF_golden_copy
5493006UUHUKRKECPK41,organization,Gdf Suez Energy Canada Inc.,CA-ON,GLEIF_golden_copy
54930071Y8KNRMS4OP09,organization,Highland Valley Copper,CA-BC,GLEIF_golden_copy
54930075OW2NQHOEIK12,organization,Tata Steel Minerals Canada,CA,GLEIF_golden_copy
