actor_id,name,language,preferred,datasource_id
213800DXAY5TCEPA3S29,"Rothsay, A Division Of Darling International Canada Inc.",en,1,GLEIF_golden_copy
2549007B0SLVLUP0UH16,Pieridae Alberta Production Ltd.,en,1,GLEIF_golden_copy
2549007TZ2BNTBR5E019,Richmond Plywood Corporation Limited,en,1,GLEIF_golden_copy
2549008Y9VL7P2U8OR31,Minerai De Fer Québec Inc.,en,1,GLEIF_golden_copy
2549009EF8SNW0NM1D69,Altasteel Inc.,en,1,GLEIF_golden_copy
254900ALVJUAGHGF3855,Markham District Energy Inc.,en,1,GLEIF_golden_copy
254900HI3APU3ZVVJ925,Regional Municipality Of Durham,en,1,GLEIF_golden_copy
254900IRDIJ02P4ZCI05,Iko Industries Ltd.,en,1,GLEIF_golden_copy
254900OG0ZSAC42XS380,2333281 Ontario Ltd,en,1,GLEIF_golden_copy
254900ONJ1OWBRJROP98,City Of Moose Jaw,en,1,GLEIF_golden_copy
254900Q63DTCVHIU0H11,The Calgary Airport Authority,en,1,GLEIF_golden_copy
254900SRJAXOE45AIQ69,Hacienda North Farms Inc.,en,1,GLEIF_golden_copy
254900WSJMA2P4XUR797,Impala Canada Ltd.,en,1,GLEIF_golden_copy
38BB4H4JFWMQTNI3W911,Murphy Oil Company Ltd,en,1,GLEIF_golden_copy
529900G32H6145TBDT30,Kirkland Lake Gold Inc,en,1,GLEIF_golden_copy
529900S7UO4VPNLSFT33,Certainteed Gypsum Canada Inc,en,1,GLEIF_golden_copy
529900U45A1JKZFABZ35,Transalta Renewables Inc.,en,1,GLEIF_golden_copy
54930002OWIJO351J404,New Star Energy Ltd.,en,1,GLEIF_golden_copy
5493000BBN3EF2L0XW29,Birchcliff Energy Ltd.,en,1,GLEIF_golden_copy
54930017KTY7LFN77D56,General Motors Of Canada Limited,en,1,GLEIF_golden_copy
5493001Y2YY733C7D136,Northern Pulp Nova Scotia Corporation,en,1,GLEIF_golden_copy
5493002J5Z300QBQAP74,Halton Healthcare Services Corporation,en,1,GLEIF_golden_copy
5493002WXPTG5ZC1T326,Meg Energy Corp.,en,1,GLEIF_golden_copy
54930030MPVYJ0MTAS08,Bridgestone  Canada Inc.,en,1,GLEIF_golden_copy
549300423UKB9GA8NE20,Irving Paper Limited,en,1,GLEIF_golden_copy
5493004YGJYYQC3S2C75,Japan Canada Oil Sands Limited,en,1,GLEIF_golden_copy
54930056WZE8OYLZ0321,Cavendish Farms Corporation,en,1,GLEIF_golden_copy
5493005UAF5R2W4DL323,Great Lakes Copper Ltd.,en,1,GLEIF_golden_copy
5493006JAK1RTSGITS06,Sunrite Greenhouses Ltd.,en,1,GLEIF_golden_copy
5493006N1RXVPKY5WX32,University Of Guelph,en,1,GLEIF_golden_copy
5493006RXIB5GVHWJS53,Algoma Steel Inc.,en,1,GLEIF_golden_copy
5493006UUHUKRKECPK41,Gdf Suez Energy Canada Inc.,en,1,GLEIF_golden_copy
54930071Y8KNRMS4OP09,Highland Valley Copper,en,1,GLEIF_golden_copy
54930075OW2NQHOEIK12,Tata Steel Minerals Canada,en,1,GLEIF_golden_copy
54930077N24N414X4Z86,U.S. Steel Canada Inc.,en,1,GLEIF_golden_copy
5493007XE76S35N0VQ46,Strath Resources Ltd.,en,1,GLEIF_golden_copy
5493009981WBHS86CJ89,St. Marys Cement Inc.,en,1,GLEIF_golden_copy
5493009IDGFQJTJXVA51,Aquatera Utilities Inc,en,1,GLEIF_golden_copy
549300APL4UGWN8NM341,Razor Energy Corp.,en,1,GLEIF_golden_copy
549300AYJR0IZW296F03,Southshore Greenhouses Inc.,en,1,GLEIF_golden_copy
549300B808DC4IISJQ58,Tolko Industries Ltd.,en,1,GLEIF_golden_copy
549300BD403C81DXMP60,"Gaz Métro Gnl, S.E.C.",en,1,GLEIF_golden_copy
549300BMTQZ9WD8CE436,Thunder Bay Regional Health Sciences Centre,en,1,GLEIF_golden_copy
549300C86PFIA7TCKD56,Aitken Creek Gas Storage Ulc,en,1,GLEIF_golden_copy
549300CW1BIQY352BD50,Skookumchuck Pulp Inc.,en,1,GLEIF_golden_copy
549300DJBIZ5T0OC3F21,Fca Canada Inc.,en,1,GLEIF_golden_copy
549300ED6C93BGYAS129,"Glencore Canada Corporation, Sudbury Ino",en,1,GLEIF_golden_copy
549300EHYZ1MS2Q8Y379,Nature Fresh Farms,en,1,GLEIF_golden_copy
549300EV3W9Z0M4CIP05,Shell Canada Limited,en,1,GLEIF_golden_copy
549300F4XPHJ7NOSP309,Cenovus Energy Inc.,en,1,GLEIF_golden_copy
549300FQGFLAMSREF779,Dominion Diamond Ekati Ulc,en,1,GLEIF_golden_copy
549300FTKUHZK8OC7N74,Crescent Point Energy Corp.,en,1,GLEIF_golden_copy
549300GIEBY4GVO82P83,Saguaro Resources Ltd,en,1,GLEIF_golden_copy
549300HCJRI171KOSF72,Revolution Vsc Lp,en,1,GLEIF_golden_copy
549300I1AHR8KMMFIS52,"Kronos Canada, Inc.",en,1,GLEIF_golden_copy
549300IT8CIDW8V5KX72,Northland Power Inc.,en,1,GLEIF_golden_copy
549300JKT5KTWQGH8W42,Kruger Inc.,en,1,GLEIF_golden_copy
549300JWU3X8ACCIGH87,Arcelormittal Canada Inc.,en,1,GLEIF_golden_copy
549300K14DXXMNZDCC47,Coastland Wood Industries Ltd.,en,1,GLEIF_golden_copy
549300K9GD47N5IXZQ65,Mount Polley Mining Corporation,en,1,GLEIF_golden_copy
549300KM1GF5JP05UJ64,"Stackpole International Powder Metal, Ltd",en,1,GLEIF_golden_copy
549300L37VJWNG2OCH14,Perpetual Energy Inc.,en,1,GLEIF_golden_copy
549300LB21L42P0HSR70,The University Of Western Ontario,en,1,GLEIF_golden_copy
549300OWG39NVI2E5198,Expert Manufacturing Inc.,en,1,GLEIF_golden_copy
549300P106XO5XQU2A71,Cargill Limited,en,1,GLEIF_golden_copy
549300PGU4F3PE780370,Dépôt Rive-Nord Inc.,en,1,GLEIF_golden_copy
549300Q0VR82VBFVR156,Basf Canada Inc.,en,1,GLEIF_golden_copy
549300QRMPP908M8SI98,Modern Resources Inc.,en,1,GLEIF_golden_copy
549300R0OET5HG74PT78,Weyerhaeuser Company Limited,en,1,GLEIF_golden_copy
549300S36NT8WUBVX990,Iberdrola Canada Energy Services Ltd.,en,1,GLEIF_golden_copy
