actor_id,identifier,namespace,datasource_id
CA:ECCC:G10001,CA:ECCC:G10001,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10002,CA:ECCC:G10002,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10003,CA:ECCC:G10003,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10004,CA:ECCC:G10004,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10005,CA:ECCC:G10005,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10006,CA:ECCC:G10006,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10007,CA:ECCC:G10007,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10008,CA:ECCC:G10008,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10009,CA:ECCC:G10009,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10010,CA:ECCC:G10010,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10011,CA:ECCC:G10011,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10012,CA:ECCC:G10012,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10013,CA:ECCC:G10013,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10014,CA:ECCC:G10014,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10015,CA:ECCC:G10015,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10016,CA:ECCC:G10016,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10017,CA:ECCC:G10017,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10018,CA:ECCC:G10018,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10019,CA:ECCC:G10019,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10020,CA:ECCC:G10020,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10021,CA:ECCC:G10021,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10022,CA:ECCC:G10022,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10023,CA:ECCC:G10023,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10024,CA:ECCC:G10024,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10025,CA:ECCC:G10025,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10026,CA:ECCC:G10026,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10027,CA:ECCC:G10027,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10028,CA:ECCC:G10028,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
