emissions_id,actor_id,year,total_emissions,datasource_id
ECCC_GHG_inventory:CA-AB:1990,CA-AB,1990,165481775,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:1991,CA-AB,1991,166377968,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:1992,CA-AB,1992,173879977,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:1993,CA-AB,1993,179317423,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:1994,CA-AB,1994,188595891,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:1995,CA-AB,1995,193829506,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:1996,CA-AB,1996,200409673,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:1997,CA-AB,1997,205202786,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:1998,CA-AB,1998,206279602,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:1999,CA-AB,1999,213357226,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:2000,CA-AB,2000,221980593,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:2001,CA-AB,2001,221547144,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:2002,CA-AB,2002,223040774,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:2003,CA-AB,2003,231834512,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:2004,CA-AB,2004,230900671,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:2005,CA-AB,2005,235890242,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:2006,CA-AB,2006,243684527,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:2007,CA-AB,2007,252061957,ECCC:GHG_inventory:2023-11-10
ECCC_GHG_inventory:CA-AB:2008,CA-AB,2008,250594021,ECCC:GHG_inventory:2023-11-10
