emissions_id,actor_id,year,total_emissions,datasource_id
EDGARv8.0:ghg:AE:2009,AE,2009,215945817,EDGARv8.0:ghg
EDGARv8.0:ghg:AE:2010,AE,2010,224915544,EDGARv8.0:ghg
EDGARv8.0:ghg:AE:2011,AE,2011,232816210,EDGARv8.0:ghg
EDGARv8.0:ghg:AE:2012,AE,2012,243673608,EDGARv8.0:ghg
EDGARv8.0:ghg:AE:2013,AE,2013,255457765,EDGARv8.0:ghg
EDGARv8.0:ghg:AE:2014,AE,2014,258795828,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1970,AS,1970,6087,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1971,AS,1971,6053,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1972,AS,1972,6061,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1973,AS,1973,6104,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1974,AS,1974,6147,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1975,AS,1975,6193,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1976,AS,1976,6234,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1977,AS,1977,6387,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1978,AS,1978,6350,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1979,AS,1979,6307,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1980,AS,1980,6349,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1981,AS,1981,6483,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1982,AS,1982,6787,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1983,AS,1983,7091,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1984,AS,1984,7388,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1985,AS,1985,7601,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1986,AS,1986,7781,EDGARv8.0:ghg
EDGARv8.0:ghg:AS:1987,AS,1987,7998,EDGARv8.0:ghg
