emissions_id,actor_id,year,total_emissions,datasource_id
EIA:US-AK:1970,US-AK,1970,11348909,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1971,US-AK,1971,12636422,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1972,US-AK,1972,13420588,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1973,US-AK,1973,12490564,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1974,US-AK,1974,12779109,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1975,US-AK,1975,14524476,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1976,US-AK,1976,15969357,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1977,US-AK,1977,17950301,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1978,US-AK,1978,19482874,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1979,US-AK,1979,17473269,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1980,US-AK,1980,17382719,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1981,US-AK,1981,17044339,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1982,US-AK,1982,23916105,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1983,US-AK,1983,25921467,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1984,US-AK,1984,28630906,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1985,US-AK,1985,28984220,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1986,US-AK,1986,31397269,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1987,US-AK,1987,29749660,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1988,US-AK,1988,30230217,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1989,US-AK,1989,33303295,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1990,US-AK,1990,33928237,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1991,US-AK,1991,34454185,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1992,US-AK,1992,35834044,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1993,US-AK,1993,35692886,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1994,US-AK,1994,35546770,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1995,US-AK,1995,40038119,EIA:state_energy_co2_emissions:2022
EIA:US-AK:1996,US-AK,1996,41115701,EIA:state_energy_co2_emissions:2022
