actor_id,identifier,namespace,datasource_id
254900BLZ1MCZ5JLK411,254900BLZ1MCZ5JLK411,LEI,GLEIF_golden_copy
5E2UPK5SW04M13XY7I38,5E2UPK5SW04M13XY7I38,LEI,GLEIF_golden_copy
5493000ZV80R2F1EOT02,5493000ZV80R2F1EOT02,LEI,GLEIF_golden_copy
549300Z5JELCNPPRY228,549300Z5JELCNPPRY228,LEI,GLEIF_golden_copy
W8J5WZB5IY3K0NDQT671,W8J5WZB5IY3K0NDQT671,LEI,GLEIF_golden_copy
549300GISNPTLYMWIL89,549300GISNPTLYMWIL89,LEI,GLEIF_golden_copy
549300YJCTPJBTK7IJ81,549300YJCTPJBTK7IJ81,LEI,GLEIF_golden_copy
02VFQXG2D1LR5ZH3K186,02VFQXG2D1LR5ZH3K186,LEI,GLEIF_golden_copy
7NUG80E5OSRJXHJL2M92,7NUG80E5OSRJXHJL2M92,LEI,GLEIF_golden_copy
549300IBZIX0M6W75Q58,549300IBZIX0M6W75Q58,LEI,GLEIF_golden_copy
5493008MR7TV2T9NX211,5493008MR7TV2T9NX211,LEI,GLEIF_golden_copy
549300QKVO8WP7Z0BF05,549300QKVO8WP7Z0BF05,LEI,GLEIF_golden_copy
1LTUIZEFFT7MUIERI838,1LTUIZEFFT7MUIERI838,LEI,GLEIF_golden_copy
549300N07FMPTRZO0044,549300N07FMPTRZO0044,LEI,GLEIF_golden_copy
254900PH44D8BB632E53,254900PH44D8BB632E53,LEI,GLEIF_golden_copy
549300M7F1TPJ8L7UX20,549300M7F1TPJ8L7UX20,LEI,GLEIF_golden_copy
N134NUJDWN8UEFA8B673,N134NUJDWN8UEFA8B673,LEI,GLEIF_golden_copy
5493003GBMF80MRDEL71,5493003GBMF80MRDEL71,LEI,GLEIF_golden_copy
5493001UYHG3UMYXNS32,5493001UYHG3UMYXNS32,LEI,GLEIF_golden_copy
254900UAXWIXASBMIZ25,254900UAXWIXASBMIZ25,LEI,GLEIF_golden_copy
JM1I5YUAURL6DC8N1468,JM1I5YUAURL6DC8N1468,LEI,GLEIF_golden_copy
549300JM2J6RABTTMJ05,549300JM2J6RABTTMJ05,LEI,GLEIF_golden_copy
54930038KX6K0EPJO665,54930038KX6K0EPJO665,LEI,GLEIF_golden_copy
549300HF8FB80HEGOT74,549300HF8FB80HEGOT74,LEI,GLEIF_golden_copy
9676005J1153YYSQ1047,9676005J1153YYSQ1047,LEI,GLEIF_golden_copy
5493000ZP35JPH3P9055,5493000ZP35JPH3P9055,LEI,GLEIF_golden_copy
5493005THBS2A4IJDY87,5493005THBS2A4IJDY87,LEI,GLEIF_golden_copy
5493000A5TOTQWQT4C39,5493000A5TOTQWQT4C39,LEI,GLEIF_golden_copy
549300OWQJ48ZGBB3N47,549300OWQJ48ZGBB3N47,LEI,GLEIF_golden_copy
549300WZ3ORQ2BVKBD96,549300WZ3ORQ2BVKBD96,LEI,GLEIF_golden_copy
5493003QENHHS261UR94,5493003QENHHS261UR94,LEI,GLEIF_golden_copy
CRLHI4NQM7QVQCYK6073,CRLHI4NQM7QVQCYK6073,LEI,GLEIF_golden_copy
549300CWPHOJZJUR6C24,549300CWPHOJZJUR6C24,LEI,GLEIF_golden_copy
254900NTYEJ0ZI2HRI51,254900NTYEJ0ZI2HRI51,LEI,GLEIF_golden_copy
549300MK7PGCJ6O2KN32,549300MK7PGCJ6O2KN32,LEI,GLEIF_golden_copy
2549009Z4CY5KLRB5G84,2549009Z4CY5KLRB5G84,LEI,GLEIF_golden_copy
549300UMWGY6HF2XY059,549300UMWGY6HF2XY059,LEI,GLEIF_golden_copy
54930045NFZVVIO5NW52,54930045NFZVVIO5NW52,LEI,GLEIF_golden_copy
549300KQ9RRTET7Y9O17,549300KQ9RRTET7Y9O17,LEI,GLEIF_golden_copy
549300Q5XM94M7U07T45,549300Q5XM94M7U07T45,LEI,GLEIF_golden_copy
FPD41G4F3GH7OJ38TS94,FPD41G4F3GH7OJ38TS94,LEI,GLEIF_golden_copy
549300474L1ZLXZY2P98,549300474L1ZLXZY2P98,LEI,GLEIF_golden_copy
254900LF8022CIBTEB23,254900LF8022CIBTEB23,LEI,GLEIF_golden_copy
549300BYG0BBYQLHFL02,549300BYG0BBYQLHFL02,LEI,GLEIF_golden_copy
549300LYT6GPW17VBI94,549300LYT6GPW17VBI94,LEI,GLEIF_golden_copy
5493001ZG2JM32YY6367,5493001ZG2JM32YY6367,LEI,GLEIF_golden_copy
3LB2NG8VUULSCV2NO430,3LB2NG8VUULSCV2NO430,LEI,GLEIF_golden_copy
549300C841GHSUPKR373,549300C841GHSUPKR373,LEI,GLEIF_golden_copy
2549009SLV9L2AAN3089,2549009SLV9L2AAN3089,LEI,GLEIF_golden_copy
549300QGIXJHJ17I1786,549300QGIXJHJ17I1786,LEI,GLEIF_golden_copy
549300BRAHDO0UZOU423,549300BRAHDO0UZOU423,LEI,GLEIF_golden_copy
VJ5WLTHARBSDR14KIZ98,VJ5WLTHARBSDR14KIZ98,LEI,GLEIF_golden_copy
EWRDABCN7XBHM37LIA98,EWRDABCN7XBHM37LIA98,LEI,GLEIF_golden_copy
549300XES1K0YOKSX194,549300XES1K0YOKSX194,LEI,GLEIF_golden_copy
549300M42WZ9F88ULC83,549300M42WZ9F88ULC83,LEI,GLEIF_golden_copy
549300SBJRGQDWLZB344,549300SBJRGQDWLZB344,LEI,GLEIF_golden_copy
549300XD4YCB6WWY1892,549300XD4YCB6WWY1892,LEI,GLEIF_golden_copy
5493002CLOJ5KYT5GB16,5493002CLOJ5KYT5GB16,LEI,GLEIF_golden_copy
5493004IMOP9K5T0LL15,5493004IMOP9K5T0LL15,LEI,GLEIF_golden_copy
254900P4PRERNYDPGG14,254900P4PRERNYDPGG14,LEI,GLEIF_golden_copy
5493007CIM8IF8LIUC91,5493007CIM8IF8LIUC91,LEI,GLEIF_golden_copy
EWIQBU4ZGZNBDL3LRS69,EWIQBU4ZGZNBDL3LRS69,LEI,GLEIF_golden_copy
549300I1AHR8KMMFIS52,549300I1AHR8KMMFIS52,LEI,GLEIF_golden_copy
549300R22LSX6OHWEN64,549300R22LSX6OHWEN64,LEI,GLEIF_golden_copy
213800LNTVF6SKJGHP33,213800LNTVF6SKJGHP33,LEI,GLEIF_golden_copy
FJSUNZKFNQ5YPJ5OT455,FJSUNZKFNQ5YPJ5OT455,LEI,GLEIF_golden_copy
549300WHWX5TZ5O15D48,549300WHWX5TZ5O15D48,LEI,GLEIF_golden_copy
549300Y0VDFCXWCB6945,549300Y0VDFCXWCB6945,LEI,GLEIF_golden_copy
549300MPIZ5WB4CNE181,549300MPIZ5WB4CNE181,LEI,GLEIF_golden_copy
549300JBI5X6M4B5RD97,549300JBI5X6M4B5RD97,LEI,GLEIF_golden_copy
549300YDHBHYB3M53114,549300YDHBHYB3M53114,LEI,GLEIF_golden_copy
529900F5HBTXISQBA074,529900F5HBTXISQBA074,LEI,GLEIF_golden_copy
549300SR83NN6613Q926,549300SR83NN6613Q926,LEI,GLEIF_golden_copy
549300YY6M2VJM3HWK70,549300YY6M2VJM3HWK70,LEI,GLEIF_golden_copy
549300LLUHHPY6FB3Z13,549300LLUHHPY6FB3Z13,LEI,GLEIF_golden_copy
RDAX5L6VO866KXNLZX89,RDAX5L6VO866KXNLZX89,LEI,GLEIF_golden_copy
549300MSF85F860FWE36,549300MSF85F860FWE36,LEI,GLEIF_golden_copy
OZ8GM8L4AHPKSWZMW205,OZ8GM8L4AHPKSWZMW205,LEI,GLEIF_golden_copy
5493006HR6M5KRM8LU65,5493006HR6M5KRM8LU65,LEI,GLEIF_golden_copy
54930060I7TAPV3M2R44,54930060I7TAPV3M2R44,LEI,GLEIF_golden_copy
54930001NJU8E40NQ561,54930001NJU8E40NQ561,LEI,GLEIF_golden_copy
549300L6YL85F12SZJ35,549300L6YL85F12SZJ35,LEI,GLEIF_golden_copy
549300IDZ63TTZ7W1I90,549300IDZ63TTZ7W1I90,LEI,GLEIF_golden_copy
