actor_id,type,name,is_part_of,is_owned_by,datasource_id
US DEN:EPA_1000355,site,#540 BONANZA CREEK ENERGY - DENVER BASIN,US DEN,,EPA_GHGRP:2021
US VMJ:EPA_1004377,site,121 REGIONAL DISPOSAL FACILITY,US VMJ,,EPA_GHGRP:2021
US UJL:EPA_1010040,site,15-18565/15-18662,US UJL,,EPA_GHGRP:2021
US UJL:EPA_1010085,site,15-19015,US UJL,,EPA_GHGRP:2021
US MK4:EPA_1012147,site,17Z Gas Plant - Chevron USA Inc.,US MK4,,EPA_GHGRP:2021
US OKC:EPA_1009263,site,220 Gulf Coast,US OKC,,EPA_GHGRP:2021
US HOU:EPA_1012507,site,220 Gulf Coast Basin,US HOU,,EPA_GHGRP:2021
US OKC:EPA_1009238,site,220 Gulf Coast Basin DEC,US OKC,,EPA_GHGRP:2021
US OKC:EPA_1008121,site,230 Arkla Basin DEC,US OKC,,EPA_GHGRP:2021
US DEN:EPA_1009283,site,230 Arkla Basin QEP Energy Company,US DEN,,EPA_GHGRP:2021
US-NY:EPA_1000112,site,23rd and 3rd,US-NY,,EPA_GHGRP:2021
US HOU:EPA_1012156,site,260 - East Texas Basin Gathering/Boosting,US HOU,,EPA_GHGRP:2021
US OKC:EPA_1009117,site,260 East Texas Basin,US OKC,,EPA_GHGRP:2021
US HOU:EPA_1009170,site,260 East Texas Basin - BP America Production Company,US HOU,,EPA_GHGRP:2021
US-NM:EPA_1006394,site,29-6 #2 Central Delivery Point,US-NM,,EPA_GHGRP:2021
US PLJ:EPA_1013701,site,30-30 Gas Plant,US PLJ,,EPA_GHGRP:2021
US ZZT:EPA_1002885,site,30-5 Central Delivery Point Compressor Station,US ZZT,,EPA_GHGRP:2021
US B9F:EPA_1002707,site,31-6 Central Delivery Point,US B9F,,EPA_GHGRP:2021
US ES3:EPA_1003742,site,31st Street Landfill,US ES3,,EPA_GHGRP:2021
US-NM:EPA_1002718,site,32-7 Central Delivery Point,US-NM,,EPA_GHGRP:2021
US-NM:EPA_1002721,site,32-8 #2 CDP COMPRESSOR STATION,US-NM,,EPA_GHGRP:2021
US TUL:EPA_1009284,site,340 Arkoma Basin QEP Energy Company,US TUL,,EPA_GHGRP:2021
US HOU:EPA_1012155,site,345 - Arkoma Basin Gathering/Boosting,US HOU,,EPA_GHGRP:2021
US HOU:EPA_1012472,site,345 Arkoma Basin,US HOU,,EPA_GHGRP:2021
US HOU:EPA_1009169,site,345 Arkoma Basin - BP America Production Company,US HOU,,EPA_GHGRP:2021
US OKC:EPA_1008285,site,345 Arkoma Basin DEC,US OKC,,EPA_GHGRP:2021
US TUL:EPA_1011963,site,345 Arkoma Bravo NR,US TUL,,EPA_GHGRP:2021
US OKC:EPA_1009119,site,350 South Oklahoma Folded Belt,US OKC,,EPA_GHGRP:2021
US HOU:EPA_1012466,site,350 South Oklahoma Folded Belt,US HOU,,EPA_GHGRP:2021
