actor_id,name,language,preferred,datasource_id
US DEN:EPA_1000355,#540 BONANZA CREEK ENERGY - DENVER BASIN,en,1,EPA_GHGRP:2021
US VMJ:EPA_1004377,121 REGIONAL DISPOSAL FACILITY,en,1,EPA_GHGRP:2021
US UJL:EPA_1010040,15-18565/15-18662,en,1,EPA_GHGRP:2021
US UJL:EPA_1010085,15-19015,en,1,EPA_GHGRP:2021
US MK4:EPA_1012147,17Z Gas Plant - Chevron USA Inc.,en,1,EPA_GHGRP:2021
US OKC:EPA_1009263,220 Gulf Coast,en,1,EPA_GHGRP:2021
US HOU:EPA_1012507,220 Gulf Coast Basin,en,1,EPA_GHGRP:2021
US OKC:EPA_1009238,220 Gulf Coast Basin DEC,en,1,EPA_GHGRP:2021
US OKC:EPA_1008121,230 Arkla Basin DEC,en,1,EPA_GHGRP:2021
US DEN:EPA_1009283,230 Arkla Basin QEP Energy Company,en,1,EPA_GHGRP:2021
US-NY:EPA_1000112,23rd and 3rd,en,1,EPA_GHGRP:2021
US HOU:EPA_1012156,260 - East Texas Basin Gathering/Boosting,en,1,EPA_GHGRP:2021
US OKC:EPA_1009117,260 East Texas Basin,en,1,EPA_GHGRP:2021
US HOU:EPA_1009170,260 East Texas Basin - BP America Production Company,en,1,EPA_GHGRP:2021
US-NM:EPA_1006394,29-6 #2 Central Delivery Point,en,1,EPA_GHGRP:2021
US PLJ:EPA_1013701,30-30 Gas Plant,en,1,EPA_GHGRP:2021
US ZZT:EPA_1002885,30-5 Central Delivery Point Compressor Station,en,1,EPA_GHGRP:2021
US B9F:EPA_1002707,31-6 Central Delivery Point,en,1,EPA_GHGRP:2021
US ES3:EPA_1003742,31st Street Landfill,en,1,EPA_GHGRP:2021
US-NM:EPA_1002718,32-7 Central Delivery Point,en,1,EPA_GHGRP:2021
US-NM:EPA_1002721,32-8 #2 CDP COMPRESSOR STATION,en,1,EPA_GHGRP:2021
US TUL:EPA_1009284,340 Arkoma Basin QEP Energy Company,en,1,EPA_GHGRP:2021
US HOU:EPA_1012155,345 - Arkoma Basin Gathering/Boosting,en,1,EPA_GHGRP:2021
US HOU:EPA_1012472,345 Arkoma Basin,en,1,EPA_GHGRP:2021
US HOU:EPA_1009169,345 Arkoma Basin - BP America Production Company,en,1,EPA_GHGRP:2021
US OKC:EPA_1008285,345 Arkoma Basin DEC,en,1,EPA_GHGRP:2021
US TUL:EPA_1011963,345 Arkoma Bravo NR,en,1,EPA_GHGRP:2021
US OKC:EPA_1009119,350 South Oklahoma Folded Belt,en,1,EPA_GHGRP:2021
US HOU:EPA_1012466,350 South Oklahoma Folded Belt,en,1,EPA_GHGRP:2021
US OKC:EPA_1009264,355 Chatauque Platform,en,1,EPA_GHGRP:2021
US OKC:EPA_1008286,355 Chautauqua Platform DEC,en,1,EPA_GHGRP:2021
US OKC:EPA_1009265,360 Anadarko Basin,en,1,EPA_GHGRP:2021
US HOU:EPA_1012522,360 Anadarko Basin,en,1,EPA_GHGRP:2021
US HOU:EPA_1008558,360 Anadarko Basin - BP America Production Company,en,1,EPA_GHGRP:2021
US OKC:EPA_1008287,360 Anadarko Basin DEC,en,1,EPA_GHGRP:2021
US TUL:EPA_1009285,360 Anadarko Basin QEP Energy Company,en,1,EPA_GHGRP:2021
US DEN:EPA_1013331,360 Anadarko Camino Production,en,1,EPA_GHGRP:2021
US HOU:EPA_1012523,375 Sedgwick Basin,en,1,EPA_GHGRP:2021
US HOU:EPA_1012526,395 Williston Basin,en,1,EPA_GHGRP:2021
US DEN:EPA_1009281,395 Williston Basin QEP Energy Company,en,1,EPA_GHGRP:2021
US HOB:EPA_1013937,3Bear - 430 - Permian Basin Gathering and Boosting,en,1,EPA_GHGRP:2021
US HOB:EPA_1013621,3Bear Libby Gas Plant,en,1,EPA_GHGRP:2021
US BWD:EPA_1003188,3M BROWNWOOD,en,1,EPA_GHGRP:2021
US NPQ:EPA_1005043,3M CO,en,1,EPA_GHGRP:2021
US GWU:EPA_1003739,3M CO - GUIN,en,1,EPA_GHGRP:2021
US AUW:EPA_1007698,3M CO - WAUSAU DOWNTOWN,en,1,EPA_GHGRP:2021
US DCU:EPA_1004206,3M COMPANY,en,1,EPA_GHGRP:2021
US ODV:EPA_1006665,3M CORDOVA,en,1,EPA_GHGRP:2021
US AGG:EPA_1004836,3M Cottage Grove Center - Site,en,1,EPA_GHGRP:2021
US LIT:EPA_1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,en,1,EPA_GHGRP:2021
US HCH:EPA_1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,en,1,EPA_GHGRP:2021
US NVD:EPA_1004804,3M NEVADA PLANT,en,1,EPA_GHGRP:2021
US MCP:EPA_1013282,3M Pittsboro,en,1,EPA_GHGRP:2021
US-PA:EPA_1007408,4 West Mine,en,1,EPA_GHGRP:2021
US DRB:EPA_1009276,415 Strawn Basin BKV,en,1,EPA_GHGRP:2021
