actor_id,identifier,namespace,datasource_id
US DEN:EPA_1000355,US DEN:EPA_1000355,EPA GHGRP facility code,EPA_GHGRP:2021
US VMJ:EPA_1004377,US VMJ:EPA_1004377,EPA GHGRP facility code,EPA_GHGRP:2021
US UJL:EPA_1010040,US UJL:EPA_1010040,EPA GHGRP facility code,EPA_GHGRP:2021
US UJL:EPA_1010085,US UJL:EPA_1010085,EPA GHGRP facility code,EPA_GHGRP:2021
US MK4:EPA_1012147,US MK4:EPA_1012147,EPA GHGRP facility code,EPA_GHGRP:2021
US OKC:EPA_1009263,US OKC:EPA_1009263,EPA GHGRP facility code,EPA_GHGRP:2021
US HOU:EPA_1012507,US HOU:EPA_1012507,EPA GHGRP facility code,EPA_GHGRP:2021
US OKC:EPA_1009238,US OKC:EPA_1009238,EPA GHGRP facility code,EPA_GHGRP:2021
US OKC:EPA_1008121,US OKC:EPA_1008121,EPA GHGRP facility code,EPA_GHGRP:2021
US DEN:EPA_1009283,US DEN:EPA_1009283,EPA GHGRP facility code,EPA_GHGRP:2021
US-NY:EPA_1000112,US-NY:EPA_1000112,EPA GHGRP facility code,EPA_GHGRP:2021
US HOU:EPA_1012156,US HOU:EPA_1012156,EPA GHGRP facility code,EPA_GHGRP:2021
US OKC:EPA_1009117,US OKC:EPA_1009117,EPA GHGRP facility code,EPA_GHGRP:2021
US HOU:EPA_1009170,US HOU:EPA_1009170,EPA GHGRP facility code,EPA_GHGRP:2021
US-NM:EPA_1006394,US-NM:EPA_1006394,EPA GHGRP facility code,EPA_GHGRP:2021
US PLJ:EPA_1013701,US PLJ:EPA_1013701,EPA GHGRP facility code,EPA_GHGRP:2021
US ZZT:EPA_1002885,US ZZT:EPA_1002885,EPA GHGRP facility code,EPA_GHGRP:2021
US B9F:EPA_1002707,US B9F:EPA_1002707,EPA GHGRP facility code,EPA_GHGRP:2021
US ES3:EPA_1003742,US ES3:EPA_1003742,EPA GHGRP facility code,EPA_GHGRP:2021
US-NM:EPA_1002718,US-NM:EPA_1002718,EPA GHGRP facility code,EPA_GHGRP:2021
US-NM:EPA_1002721,US-NM:EPA_1002721,EPA GHGRP facility code,EPA_GHGRP:2021
US TUL:EPA_1009284,US TUL:EPA_1009284,EPA GHGRP facility code,EPA_GHGRP:2021
