emissions_id,actor_id,year,total_emissions,datasource_id
GHGPI:IN-AN:2005,IN-AN,2005,398092,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2006,IN-AN,2006,460616,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2007,IN-AN,2007,520998,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2008,IN-AN,2008,428570,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2009,IN-AN,2009,493676,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2010,IN-AN,2010,549082,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2011,IN-AN,2011,592423,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2012,IN-AN,2012,632601,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2013,IN-AN,2013,720491,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2014,IN-AN,2014,764662,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2015,IN-AN,2015,777295,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2016,IN-AN,2016,803822,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2017,IN-AN,2017,840678,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AN:2018,IN-AN,2018,867513,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2005,IN-AP,2005,129517680,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2006,IN-AP,2006,137543969,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2007,IN-AP,2007,147012971,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2008,IN-AP,2008,156559226,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2009,IN-AP,2009,171275889,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2010,IN-AP,2010,185547537,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2011,IN-AP,2011,194861598,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2012,IN-AP,2012,211561572,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2013,IN-AP,2013,218662758,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2014,IN-AP,2014,170130736,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2015,IN-AP,2015,152778301,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2016,IN-AP,2016,164213330,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2017,IN-AP,2017,178788945,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AP:2018,IN-AP,2018,182556423,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2005,IN-AR,2005,436764,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2006,IN-AR,2006,458540,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2007,IN-AR,2007,487948,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2008,IN-AR,2008,519169,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2009,IN-AR,2009,568843,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2010,IN-AR,2010,601511,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2011,IN-AR,2011,638251,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2012,IN-AR,2012,656985,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2013,IN-AR,2013,716083,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2014,IN-AR,2014,797084,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2015,IN-AR,2015,826973,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2016,IN-AR,2016,859217,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2017,IN-AR,2017,925633,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AR:2018,IN-AR,2018,1003757,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2005,IN-AS,2005,14956914,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2006,IN-AS,2006,15425636,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2007,IN-AS,2007,16258363,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2008,IN-AS,2008,17222269,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2009,IN-AS,2009,17089844,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2010,IN-AS,2010,17061522,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2011,IN-AS,2011,17554492,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2012,IN-AS,2012,18128336,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2013,IN-AS,2013,18739404,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2014,IN-AS,2014,19831640,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2015,IN-AS,2015,19434564,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2016,IN-AS,2016,22221404,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2017,IN-AS,2017,25012081,GHGPI:economy_wide:2019-01-01
GHGPI:IN-AS:2018,IN-AS,2018,27867369,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2005,IN-BR,2005,22875186,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2006,IN-BR,2006,23427422,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2007,IN-BR,2007,24237740,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2008,IN-BR,2008,27911421,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2009,IN-BR,2009,32451460,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2010,IN-BR,2010,35978543,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2011,IN-BR,2011,37414929,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2012,IN-BR,2012,38287267,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2013,IN-BR,2013,40001849,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2014,IN-BR,2014,42987145,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2015,IN-BR,2015,46804332,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2016,IN-BR,2016,55020890,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2017,IN-BR,2017,60749692,GHGPI:economy_wide:2019-01-01
GHGPI:IN-BR:2018,IN-BR,2018,64468987,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2005,IN-CH,2005,728074,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2006,IN-CH,2006,751473,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2007,IN-CH,2007,753284,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2008,IN-CH,2008,738945,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2009,IN-CH,2009,768511,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2010,IN-CH,2010,804506,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2011,IN-CH,2011,1081176,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2012,IN-CH,2012,1047965,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2013,IN-CH,2013,1040244,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2014,IN-CH,2014,1082041,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2015,IN-CH,2015,1186250,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2016,IN-CH,2016,1014099,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2017,IN-CH,2017,1074337,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CH:2018,IN-CH,2018,1265789,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CT:2005,IN-CT,2005,77339913,GHGPI:economy_wide:2019-01-01
GHGPI:IN-CT:2006,IN-CT,2006,101171869,GHGPI:economy_wide:2019-01-01
