"actor_id","identifier","namespace","datasource_id"
"AF","AFG","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AL","ALB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"DZ","DZA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AS","ASM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AD","AND","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AO","AGO","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AI","AIA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AQ","ATA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AG","ATG","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AR","ARG","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AM","ARM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AW","ABW","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AU","AUS","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AT","AUT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AZ","AZE","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BS","BHS","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BH","BHR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BD","BGD","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BB","BRB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BY","BLR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BE","BEL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BZ","BLZ","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BJ","BEN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BM","BMU","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AX","ALA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BT","BTN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BO","BOL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BQ","BES","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BA","BIH","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BW","BWA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BV","BVT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BR","BRA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"IO","IOT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BN","BRN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BG","BGR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BF","BFA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BI","BDI","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CV","CPV","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KH","KHM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CM","CMR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CA","CAN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KY","CYM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CF","CAF","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TD","TCD","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CL","CHL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CN","CHN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CX","CXR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CC","CCK","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CO","COL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KM","COM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CD","COD","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CG","COG","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CK","COK","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CR","CRI","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"HR","HRV","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CU","CUB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CW","CUW","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CY","CYP","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CZ","CZE","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CI","CIV","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"DK","DNK","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"DJ","DJI","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"DM","DMA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"DO","DOM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"EC","ECU","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"EG","EGY","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SV","SLV","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GQ","GNQ","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"ER","ERI","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"EE","EST","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SZ","SWZ","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"ET","ETH","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"FK","FLK","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"FO","FRO","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"FJ","FJI","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"FI","FIN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"FR","FRA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GF","GUF","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PF","PYF","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TF","ATF","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GA","GAB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GM","GMB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GE","GEO","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"DE","DEU","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GH","GHA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GI","GIB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GR","GRC","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GL","GRL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GD","GRD","ISO-3166-1 alpha-3","ISO 3166-1:2020"
