actor_id,population,year,datasource_id
US-IL,12419293,2000,OEF:WD:subnational-population:20240322
US-IL,12830632,2010,OEF:WD:subnational-population:20240322
US-IL,11430602,1990,OEF:WD:subnational-population:20240322
US-IL,12812508,2020,OEF:WD:subnational-population:20240322
US-IL,12859995,2015,OEF:WD:subnational-population:20240322
IN-TR,3673917,2011,OEF:WD:subnational-population:20240322
MX-CMX,8918653,2015,OEF:WD:subnational-population:20240322
MX-CMX,8918653,2016,OEF:WD:subnational-population:20240322
MX-CMX,9209944,2020,OEF:WD:subnational-population:20240322
CA-NL,510550,2021,OEF:WD:subnational-population:20240322
CA-NL,512930,2001,OEF:WD:subnational-population:20240322
CA-NL,528430,2017,OEF:WD:subnational-population:20240322
CA-NL,551790,1996,OEF:WD:subnational-population:20240322
CA-NL,505469,2006,OEF:WD:subnational-population:20240322
CA-NL,514536,2011,OEF:WD:subnational-population:20240322
CA-NL,519716,2016,OEF:WD:subnational-population:20240322
CA-NL,526329,2015,OEF:WD:subnational-population:20240322
CA-NL,568475,1991,OEF:WD:subnational-population:20240322
RU-MUR,732864,2021,OEF:WD:subnational-population:20240322
RU-MUR,753557,2018,OEF:WD:subnational-population:20240322
RU-MUR,762371,2016,OEF:WD:subnational-population:20240322
RU-KGD,976569,2016,OEF:WD:subnational-population:20240322
RU-KGD,994599,2018,OEF:WD:subnational-population:20240322
RU-KGD,1018624,2021,OEF:WD:subnational-population:20240322
ID-BB,1372813,2015,OEF:WD:subnational-population:20240322
US-NM,1515069,1990,OEF:WD:subnational-population:20240322
US-NM,1819046,2000,OEF:WD:subnational-population:20240322
US-NM,2059179,2010,OEF:WD:subnational-population:20240322
US-NM,2085109,2015,OEF:WD:subnational-population:20240322
US-NM,2117522,2020,OEF:WD:subnational-population:20240322
ID-BE,1828291,2014,OEF:WD:subnational-population:20240322
US-MS,2573216,1990,OEF:WD:subnational-population:20240322
US-MS,2844658,2000,OEF:WD:subnational-population:20240322
US-MS,2961279,2020,OEF:WD:subnational-population:20240322
US-MS,2967297,2010,OEF:WD:subnational-population:20240322
US-MS,2992333,2015,OEF:WD:subnational-population:20240322
US-PR,3193694,2019,OEF:WD:subnational-population:20240322
US-PR,3285874,2020,OEF:WD:subnational-population:20240322
US-PR,3411307,2016,OEF:WD:subnational-population:20240322
US-PR,3474182,2015,OEF:WD:subnational-population:20240322
US-PR,3585176,1992,OEF:WD:subnational-population:20240322
US-PR,3615086,2013,OEF:WD:subnational-population:20240322
US-PR,3615497,1993,OEF:WD:subnational-population:20240322
US-PR,3649237,1994,OEF:WD:subnational-population:20240322
US-PR,3651545,2012,OEF:WD:subnational-population:20240322
US-PR,3683103,1995,OEF:WD:subnational-population:20240322
US-PR,3725789,2010,OEF:WD:subnational-population:20240322
US-PR,3724655,1996,OEF:WD:subnational-population:20240322
US-PR,3760866,2008,OEF:WD:subnational-population:20240322
US-PR,3781101,1998,OEF:WD:subnational-population:20240322
US-PR,3782995,2007,OEF:WD:subnational-population:20240322
US-PR,3800081,1999,OEF:WD:subnational-population:20240322
US-PR,3805214,2006,OEF:WD:subnational-population:20240322
US-PR,3810605,2000,OEF:WD:subnational-population:20240322
US-PR,3818774,2001,OEF:WD:subnational-population:20240322
US-PR,3821362,2005,OEF:WD:subnational-population:20240322
US-PR,3823701,2002,OEF:WD:subnational-population:20240322
US-PR,3826095,2003,OEF:WD:subnational-population:20240322
US-PR,3826878,2004,OEF:WD:subnational-population:20240322
US-PR,3537000,1990,OEF:WD:subnational-population:20240322
US-PR,3562110,1991,OEF:WD:subnational-population:20240322
US-PR,3686580,2011,OEF:WD:subnational-population:20240322
US-PR,3740410,2009,OEF:WD:subnational-population:20240322
US-PR,3759430,1997,OEF:WD:subnational-population:20240322
NL-ZH,3577032,2013,OEF:WD:subnational-population:20240322
NO-03,711300,2023,OEF:WD:subnational-population:20240322
NO-03,623966,2013,OEF:WD:subnational-population:20240322
NO-03,634463,2014,OEF:WD:subnational-population:20240322
NO-03,673469,2018,OEF:WD:subnational-population:20240322
NO-03,681071,2019,OEF:WD:subnational-population:20240322
NO-03,693494,2020,OEF:WD:subnational-population:20240322
IT-VE,254850,2021,OEF:WD:subnational-population:20240322
IT-VE,250369,2023,OEF:WD:subnational-population:20240322
IT-VE,261321,2018,OEF:WD:subnational-population:20240322
IT-VE,261905,2017,OEF:WD:subnational-population:20240322
IT-VE,264579,2014,OEF:WD:subnational-population:20240322
IT-VE,857841,2013,OEF:WD:subnational-population:20240322
DE-SL,986887,2019,OEF:WD:subnational-population:20240322
DE-SL,995597,2015,OEF:WD:subnational-population:20240322
DE-SL,1017567,2010,OEF:WD:subnational-population:20240322
NL-LI,1120006,2013,OEF:WD:subnational-population:20240322
