actor_id,type,name,is_part_of,datasource_id
72450039D2LOPG0Z2I07,organizaton,2degrees,NZ,GLEIF_golden_copy
529900UNERQOV61CA912,organizaton,3B-Fibreglass,BE,GLEIF_golden_copy
743700WWG9QFS8KQ7R79,organizaton,A-Insinöörit Oy,FI,GLEIF_golden_copy
549300I9OR0MMWWMBB61,organizaton,A. Espersen A/S,DK,GLEIF_golden_copy
213800QWTXXXF8BNEC87,organizaton,A.G. Barr plc,GB,GLEIF_golden_copy
549300N63MEJFY9FIZ04,organizaton,A/S Vestfrost,DK,GLEIF_golden_copy
529900KCNFQU5OJH7L33,organizaton,A1 Telekom Austria Group,AT,GLEIF_golden_copy
81560076E3944316DB24,organizaton,A2A S.p.A.,IT,GLEIF_golden_copy
5493005ICF9YGUIDQY33,organizaton,AAK AB,SE,GLEIF_golden_copy
549300G9NPD8LSJLMP91,organizaton,AB Fagerhult,SE,GLEIF_golden_copy
5493008H3828EMEXB082,organizaton,AB InBev,BE,GLEIF_golden_copy
549300B6HWYEE57O8J84,organizaton,AB SKF,SE,GLEIF_golden_copy
5299000EAMGGBEYP7J33,organizaton,AB Volvo,SE,GLEIF_golden_copy
5493000LKVGOO9PELI61,organizaton,ABB,CH,GLEIF_golden_copy
QF02R89VEIOROM77J447,organizaton,ABM Industries Inc,US,GLEIF_golden_copy
BFXS5XCH7N0Y05NIXW11,organizaton,ABN Amro Bank N.V.,NL,GLEIF_golden_copy
894500DKEE3GY8870322,organizaton,ABOUT YOU,DE,GLEIF_golden_copy
635400VGOT3YFWRGK673,organizaton,ABP Food Group,IE,GLEIF_golden_copy
335800569A6H12LH4677,organizaton,ACC Limited,IN,GLEIF_golden_copy
98450014B0B4E0A07505,organizaton,ACCEDO BROADBAND AB,SE,GLEIF_golden_copy
54930002KP75TLLLNO21,organizaton,ACCIONA S.A.,ES,GLEIF_golden_copy
213800BAFDZZRC82OA11,organizaton,ACO Technologies Ltd,GB,GLEIF_golden_copy
5493002QLDY8O75RTR78,organizaton,ADIENT plc,US,GLEIF_golden_copy
549300LO13MQ9HYSTR83,organizaton,ADM,US,GLEIF_golden_copy
549300XWTHXJVGKWU616,organizaton,"ADTRAN, Inc.",US,GLEIF_golden_copy
0EEB8GF0W0NPCIHZX097,organizaton,AECOM,US,GLEIF_golden_copy
959800R7QMXKF0NFMT29,organizaton,AENA S.M.E. S.A.,ES,GLEIF_golden_copy
353800IDE3ULLSB2R846,organizaton,"AEON MALL Co., Ltd.",JP,GLEIF_golden_copy
8156004CC118B7885065,organizaton,AEROPORTO GUGLIELMO MARCONI DI BOLOGNA S.P.A.,IT,GLEIF_golden_copy
549300Q87LKPPD4X9R30,organizaton,AFRY (ÅF Pöyry),SE,GLEIF_golden_copy
5299006C0EVA5LAYOR30,organizaton,AGRANA Beteiligungs-AG,AT,GLEIF_golden_copy
ZP5ILWVSYE4LJGMMVD57,organizaton,AIA Group Limited,HK,GLEIF_golden_copy
635400AKJBGNS5WNQL34,organizaton,AIB Group Plc,IE,GLEIF_golden_copy
549300TZP5T5Z1E7IT03,organizaton,AIRINC,US,GLEIF_golden_copy
3538004IOK08PDY6I723,organizaton,AISIN CORPORATION,JP,GLEIF_golden_copy
969500E7V019H9NP7427,organizaton,ALD,FR,GLEIF_golden_copy
529900ABFE0Z5Y9PG783,organizaton,ALDI Einkauf SE & Co. oHG,DE,GLEIF_golden_copy
549300XQDLHZFBR78I67,organizaton,ALDO Group Inc.,CA,GLEIF_golden_copy
9695000UVVH809ZNWM50,organizaton,ALE INTERNATIONAL SASU (GROUP),FR,GLEIF_golden_copy
529900SGCREUZCZ7P020,organizaton,ALK-Abelló,DK,GLEIF_golden_copy
894500C14C3EVQ5AJ139,organizaton,ALPHA INDO NUSA,ID,GLEIF_golden_copy
529900MM8TKUHQR3I631,organizaton,ALPLA Werke Alvin Lehner GmbH & Co KG,AT,GLEIF_golden_copy
969500Y7G9TY7Y24GN07,organizaton,ALTEN,FR,GLEIF_golden_copy
529900QF5O6TQGCPDX85,organizaton,"AMADA CO.,LTD.",JP,GLEIF_golden_copy
5067002WGS7U6BS2ZI54,organizaton,AMAG Group,CH,GLEIF_golden_copy
959800WD46KQF1JHY294,organizaton,AMC Natural Drinks,ES,GLEIF_golden_copy
5493008IRKIY0G3TE305,organizaton,ANA Holdings Inc.,JP,GLEIF_golden_copy
789000W9CMLD3UGQST21,organizaton,ANADOLU ISUZU OTOMOTİV SAN. VE TİC. A.Ş.,TR,GLEIF_golden_copy
549300VZKC61IR5U8G96,organizaton,ANDRITZ,AT,GLEIF_golden_copy
5493001136GE6L4R7M63,organizaton,APERAM S.A.,LU,GLEIF_golden_copy
335800ZU4GXSB7Q4IU95,organizaton,APL Apollo Tubes Limited,IN,GLEIF_golden_copy
5493007OBZ8YTJ6O7E92,organizaton,APTIM,US,GLEIF_golden_copy
789000748KTQCUMJ0R25,organizaton,ARÇELİK A.Ş.,TR,GLEIF_golden_copy
254900W5BZM5ILCPWL43,organizaton,"ASE Technology Holding, Co., Ltd.",TW,GLEIF_golden_copy
3538002LJMRZ83SU0B85,organizaton,ASICS Corporation,JP,GLEIF_golden_copy
7245001I22ND6ZFHX623,organizaton,ASM International N.V.,NL,GLEIF_golden_copy
724500Y6DUVHQD6OXN27,organizaton,ASML Holdings,NL,GLEIF_golden_copy
724500BIDCUGRAIG8681,organizaton,ASN Bank,NL,GLEIF_golden_copy
213800H8DBB8JSKDW630,organizaton,ASOS plc,GB,GLEIF_golden_copy
5493003S3G1GLFLXGX69,organizaton,ASR Group International Inc.,US,GLEIF_golden_copy
8156003F2286CFA55E20,organizaton,ASTM S.p.A.,IT,GLEIF_golden_copy
254900B3WB4OGRB7HM13,organizaton,ASUSTEK COMPUTER INC.,TW,GLEIF_golden_copy
2549009UT2Q3C06VRA56,organizaton,ASX Limited,AU,GLEIF_golden_copy
529900EVOKN4LCCD9321,organizaton,AT & S (Austria Technologie und Systemtechnik AG),AT,GLEIF_golden_copy
549300Z40J86GGSTL398,organizaton,AT&T Inc.,US,GLEIF_golden_copy
391200L7PIS4QXYJUQ72,organizaton,AU Optronics Corporation,TW,GLEIF_golden_copy
48510000P2S3LHJPX414,organizaton,"AUGA group, AB",LT,GLEIF_golden_copy
213800XHATUM2LFMKG16,organizaton,AVEVA Group,GB,GLEIF_golden_copy
F5WCUMTUM4RKZ1MAIE39,organizaton,AXA Group,FR,GLEIF_golden_copy
9845009C50EDA74OA532,organizaton,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,TR,GLEIF_golden_copy
FR5LCKFTG8054YNNRU85,organizaton,AbbVie,US,GLEIF_golden_copy
HQD377W2YR662HK5JX27,organizaton,Abbott,US,GLEIF_golden_copy
213800YESNPSQEYUQR35,organizaton,Abel & Cole Ltd.,GB,GLEIF_golden_copy
549300GKFVWI02JQ5332,organizaton,Abertis Infraestructuras,ES,GLEIF_golden_copy
254900BQVM5V0IY7RQ62,organizaton,AcBel Polytech Inc.,TW,GLEIF_golden_copy
549300W2Y1W28LCPZG20,organizaton,Accent Equity AB,SE,GLEIF_golden_copy
969500QZC2Q0TK11NV07,organizaton,Accor S.A.,FR,GLEIF_golden_copy
2221000MD2YP7WLTNC52,organizaton,AccorInvest Group S.A.,LU,GLEIF_golden_copy
2549006Z3IVAZIQEUM25,organizaton,Acer Inc.,TW,GLEIF_golden_copy
95980020140005582721,organizaton,"Acerinox,S.A.",ES,GLEIF_golden_copy
815600E6A018AAE91A76,organizaton,Acque Bresciane,IT,GLEIF_golden_copy
724500WRBHAIP5DV7I77,organizaton,Actiam NV,NL,GLEIF_golden_copy
335800ZBBU81OH211H17,organizaton,Adani Green Energy Ltd.,IN,GLEIF_golden_copy
335800QOAXP5TM7OYP69,organizaton,Adani Ports and Special Economic Zone Limited,IN,GLEIF_golden_copy
549300PLH866JQ6LXE52,organizaton,Adani Transmission Limited,IN,GLEIF_golden_copy
549300QZ5U2IDRHPWL60,organizaton,Addtech AB,SE,GLEIF_golden_copy
549300JSX0Z4CW0V5023,organizaton,Adidas AG,DE,GLEIF_golden_copy
FU4LY2G4933NH2E1CP29,organizaton,"Adobe, Inc.",US,GLEIF_golden_copy
5299001QZNN0TKI9J120,organizaton,Adva Optical Networking SE,DE,GLEIF_golden_copy
529900UCNQ5H9FSL0Y70,organizaton,"Advance Auto Parts, Inc",US,GLEIF_golden_copy
6QQTOZ5MF5DHM7K92I60,organizaton,"Advanced Drainage Systems, Inc.",US,GLEIF_golden_copy
R2I72C950HOYXII45366,organizaton,"Advanced Micro Devices, Inc",US,GLEIF_golden_copy
549300S9T52L01ONJH60,organizaton,Advania Sweden AB,SE,GLEIF_golden_copy
6488HY4H72ZRH3X65450,organizaton,Advania Ísland ehf.,IS,GLEIF_golden_copy
2549002OSTKE9HB9IY03,organizaton,"Advantech Co., Ltd.",TW,GLEIF_golden_copy
353800EMK32PDKS9XR54,organizaton,Advantest Corporation,JP,GLEIF_golden_copy
549300VROCXVWXFR8B83,organizaton,Aecon Group Inc.,CA,GLEIF_golden_copy
O4QK7KMMK83ITNTHUG69,organizaton,Aegon Nederland N.V.,NL,GLEIF_golden_copy
5299009MXFL34SA71416,organizaton,"Aeon Co., Ltd.",JP,GLEIF_golden_copy
549300NUQ6SAINRW8Q86,organizaton,Agder Energi,NO,GLEIF_golden_copy
QUIX8Y7A2WP0XRMW7G29,organizaton,"Agilent Technologies, Inc",US,GLEIF_golden_copy
969500CIV6V451G2DU77,organizaton,Agrial,FR,GLEIF_golden_copy
549300WQ6VZ30NE1T488,organizaton,Agropur Cooperative,CA,GLEIF_golden_copy
213800F2MJ5Z2TAQ1726,organizaton,Ahlstrom-Munksjö Oyj,FI,GLEIF_golden_copy
969500T1L5O1UQMH8U82,organizaton,Aigle International SA,FR,GLEIF_golden_copy
549300EYJYN8LA85HE50,organizaton,"Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l'Aigua, S.A.",ES,GLEIF_golden_copy
969500AQW31GYO8JZD66,organizaton,Air France - KLM Group,FR,GLEIF_golden_copy
969500TQO0037942GI28,organizaton,Air France Group,FR,GLEIF_golden_copy
969500MMPQVHK671GT54,organizaton,Air Liquide Group S.A.,FR,GLEIF_golden_copy
549300HMUDNO0RY56D37,organizaton,"Airbnb, Inc",US,GLEIF_golden_copy
MINO79WLOO247M1IL051,organizaton,Airbus,NL,GLEIF_golden_copy
353800UT0TLROREPIC92,organizaton,"Ajinomoto Co., Inc.",JP,GLEIF_golden_copy
OC1LZNN2LF5WTJ5RIL89,organizaton,Akamai Technologies INC,US,GLEIF_golden_copy
549300SX4Z9T612Q0N59,organizaton,Aker Horizons ASA,NO,GLEIF_golden_copy
724500MAIT576RXEVK63,organizaton,AkzoNobel,NL,GLEIF_golden_copy
789000EJPSW14F8KVG81,organizaton,Albaraka Türk Participation Bank,TR,GLEIF_golden_copy
213800EM4QMH4VDQ8G17,organizaton,Albert Bartlett and Sons (Airdrie) Ltd.,GB,GLEIF_golden_copy
549300YKWOC0AOR16R51,organizaton,"Albertsons Companies, Inc",US,GLEIF_golden_copy
549300CES3SHROJ4Y335,organizaton,Alchem International Private Limited,IN,GLEIF_golden_copy
213800418PVH3Q9FVF19,organizaton,Alcumus,GB,GLEIF_golden_copy
