emissions_id,actor_id,year,total_emissions,datasource_id
BLEIS:GB:2005,GB,2005,560226719,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2006,GB,2006,557542654,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2007,GB,2007,547856454,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2008,GB,2008,533500630,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2009,GB,2009,482552775,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2010,GB,2010,500189329,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2011,GB,2011,458183165,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2012,GB,2012,478082080,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2013,GB,2013,468994148,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2014,GB,2014,430616839,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2015,GB,2015,415066011,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2016,GB,2016,390878119,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2017,GB,2017,379107368,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2018,GB,2018,427817094,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2019,GB,2019,412148074,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB:2020,GB,2020,374020734,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2005,GB-ENG,2005,451885620,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2006,GB-ENG,2006,449503650,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2007,GB-ENG,2007,440124328,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2008,GB-ENG,2008,428586851,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2009,GB-ENG,2009,387286603,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2010,GB-ENG,2010,400009586,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2011,GB-ENG,2011,366998741,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2012,GB-ENG,2012,384827639,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2013,GB-ENG,2013,375594358,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2014,GB-ENG,2014,343114154,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2015,GB-ENG,2015,332218534,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2016,GB-ENG,2016,312550501,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2017,GB-ENG,2017,302465586,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2018,GB-ENG,2018,332934337,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2019,GB-ENG,2019,320499909,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-ENG:2020,GB-ENG,2020,289552757,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2005,GB-NIR,2005,18892119,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2006,GB-NIR,2006,18861750,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2007,GB-NIR,2007,18953833,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2008,GB-NIR,2008,18201522,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2009,GB-NIR,2009,17061028,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2010,GB-NIR,2010,17959296,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2011,GB-NIR,2011,16353062,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2012,GB-NIR,2012,16170755,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2013,GB-NIR,2013,16188313,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2014,GB-NIR,2014,15671342,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2015,GB-NIR,2015,15109178,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2016,GB-NIR,2016,14735777,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2017,GB-NIR,2017,14499782,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2018,GB-NIR,2018,19976319,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2019,GB-NIR,2019,19197093,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-NIR:2020,GB-NIR,2020,18758494,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2005,GB-SCT,2005,48213520,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2006,GB-SCT,2006,48713184,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2007,GB-SCT,2007,48059290,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2008,GB-SCT,2008,47128865,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2009,GB-SCT,2009,43047366,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2010,GB-SCT,2010,44829290,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2011,GB-SCT,2011,41396994,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2012,GB-SCT,2012,42542837,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2013,GB-SCT,2013,41096766,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2014,GB-SCT,2014,36831927,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2015,GB-SCT,2015,36085848,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2016,GB-SCT,2016,34300497,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2017,GB-SCT,2017,33690191,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2018,GB-SCT,2018,41123390,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2019,GB-SCT,2019,39475364,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-SCT:2020,GB-SCT,2020,35721418,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2005,GB-WLS,2005,34711159,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2006,GB-WLS,2006,35261191,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2007,GB-WLS,2007,34879355,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2008,GB-WLS,2008,33815334,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2009,GB-WLS,2009,29434660,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2010,GB-WLS,2010,32441858,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2011,GB-WLS,2011,29554954,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2012,GB-WLS,2012,28728112,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2013,GB-WLS,2013,31245781,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2014,GB-WLS,2014,29731414,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2015,GB-WLS,2015,28254122,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2016,GB-WLS,2016,26551002,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2017,GB-WLS,2017,26056077,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2018,GB-WLS,2018,30592051,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2019,GB-WLS,2019,30288269,BEIS:UK_regional_GHG:2022-06-30
BLEIS:GB-WLS:2020,GB-WLS,2020,27707380,BEIS:UK_regional_GHG:2022-06-30
