emissions_id,actor_id,year,total_emissions,datasource_id
UNFCCC-annex1-GHG:AT:1990,AT,1990,79047231,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1991,AT,1991,82711156,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1992,AT,1992,76142809,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1993,AT,1993,76517864,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1994,AT,1994,76725966,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1995,AT,1995,79953237,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1996,AT,1996,83112927,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1997,AT,1997,82719627,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1998,AT,1998,82012900,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:1999,AT,1999,80455150,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2000,AT,2000,80619361,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2001,AT,2001,84514047,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2002,AT,2002,86267538,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2003,AT,2003,91636303,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2004,AT,2004,91427896,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2005,AT,2005,92588579,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2006,AT,2006,90158666,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2007,AT,2007,87377950,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2008,AT,2008,86770818,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2009,AT,2009,80137031,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2010,AT,2010,84693292,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2011,AT,2011,82505756,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2012,AT,2012,79788324,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2013,AT,2013,80228517,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2014,AT,2014,76662661,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2015,AT,2015,78884464,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2016,AT,2016,79821263,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2017,AT,2017,82132492,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2018,AT,2018,78854374,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2019,AT,2019,79994137,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2020,AT,2020,73910842,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AT:2021,AT,2021,77532351,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1990,AU,1990,425624307,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1991,AU,1991,425686444,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1992,AU,1992,429473084,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1993,AU,1993,430381730,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1994,AU,1994,430848497,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1995,AU,1995,439269877,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1996,AU,1996,445847225,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1997,AU,1997,457864510,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1998,AU,1998,472145831,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:1999,AU,1999,478136874,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2000,AU,2000,489528649,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2001,AU,2001,497352025,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2002,AU,2002,501000842,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2003,AU,2003,501128976,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2004,AU,2004,518408437,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2005,AU,2005,524811845,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2006,AU,2006,529240641,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2007,AU,2007,535807551,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2008,AU,2008,538590714,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2009,AU,2009,541475792,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2010,AU,2010,536893737,UNFCCC:GHG_ANNEX1:2019-11-08
UNFCCC-annex1-GHG:AU:2011,AU,2011,538663877,UNFCCC:GHG_ANNEX1:2019-11-08
