actor_id,lat,lng,datasource_id
AD ALV,425000,15167,UNLOCODE:2023-2
AD CAN,425667,15833,UNLOCODE:2023-2
AD ENC,425333,15667,UNLOCODE:2023-2
AD ESC,425167,15500,UNLOCODE:2023-2
AD EAC,425500,15167,UNLOCODE:2023-2
AD LMA,425667,14833,UNLOCODE:2023-2
AD ORD,425500,15167,UNLOCODE:2023-2
AD PAS,425500,17333,UNLOCODE:2023-2
AD SJL,424667,15000,UNLOCODE:2023-2
AD SCO,425000,15000,UNLOCODE:2023-2
AE ABU,254833,531333,UNLOCODE:2023-2
AE AUH,244667,543667,UNLOCODE:2023-2
AE AMU,258667,550167,UNLOCODE:2023-2
AE ALB,251000,551833,UNLOCODE:2023-2
AE DHF,242333,545333,UNLOCODE:2023-2
AE FJR,251167,563333,UNLOCODE:2023-2
AE HAM,254833,555000,UNLOCODE:2023-2
AE DBI,243000,546000,UNLOCODE:2023-2
AE ALQ,251167,552167,UNLOCODE:2023-2
AE ALS,251167,551833,UNLOCODE:2023-2
AE RUW,241167,527333,UNLOCODE:2023-2
AE DER,252667,553167,UNLOCODE:2023-2
AE DBP,256167,562667,UNLOCODE:2023-2
AE DXB,252500,552667,UNLOCODE:2023-2
AE END,243167,544500,UNLOCODE:2023-2
AE HAB,239333,536333,UNLOCODE:2023-2
AE HIL,350000,335000,UNLOCODE:2023-2
AE HSN,249000,549000,UNLOCODE:2023-2
AE HAT,247833,561167,UNLOCODE:2023-2
AE QWE,250000,550500,UNLOCODE:2023-2
AE SZE,249500,551167,UNLOCODE:2023-2
AE IDA,250000,551167,UNLOCODE:2023-2
AE JYH,251667,552167,UNLOCODE:2023-2
AE KLB,250667,563500,UNLOCODE:2023-2
AE KLF,253333,563500,UNLOCODE:2023-2
AE MKH,253500,553667,UNLOCODE:2023-2
AE KHL,248333,546667,UNLOCODE:2023-2
AE MSA,259667,560667,UNLOCODE:2023-2
AE MZD,245167,543667,UNLOCODE:2023-2
AE RFA,254667,534833,UNLOCODE:2023-2
AE AMF,243833,544833,UNLOCODE:2023-2
AE OFJ,252500,566667,UNLOCODE:2023-2
AE RMC,259500,560500,UNLOCODE:2023-2
AE RKT,257833,559500,UNLOCODE:2023-2
AE RAK,252833,555667,UNLOCODE:2023-2
AE REI,244833,544000,UNLOCODE:2023-2
AE SID,245333,544000,UNLOCODE:2023-2
AE SZS,253333,554833,UNLOCODE:2023-2
AE SHJ,253500,553833,UNLOCODE:2023-2
AE SIL,240667,517500,UNLOCODE:2023-2
AE SRT,259667,560500,UNLOCODE:2023-2
AE SWE,244500,553333,UNLOCODE:2023-2
AE ULR,244333,545000,UNLOCODE:2023-2
AE QIW,255833,555833,UNLOCODE:2023-2
AE YAS,243167,526000,UNLOCODE:2023-2
AE ZUR,248833,530667,UNLOCODE:2023-2
AF ASH,328667,660500,UNLOCODE:2023-2
AF BAG,349500,692500,UNLOCODE:2023-2
