emissions_id,actor_id,year,total_emissions,datasource_id
US_WA_GHG_facilities:US CRA:EPA_1010897:2012,US CRA:EPA_1010897,2012,809,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US CRA:EPA_1010897:2013,US CRA:EPA_1010897,2013,559,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US CRA:EPA_1010897:2014,US CRA:EPA_1010897,2014,605,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US CRA:EPA_1010897:2015,US CRA:EPA_1010897,2015,530,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US CRA:EPA_1010897:2016,US CRA:EPA_1010897,2016,561,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US CRA:EPA_1010897:2017,US CRA:EPA_1010897,2017,582,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US CRA:EPA_1010897:2018,US CRA:EPA_1010897,2018,559,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US CRA:EPA_1010897:2019,US CRA:EPA_1010897,2019,769,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US CRA:EPA_1010897:2020,US CRA:EPA_1010897,2020,520,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US GHR:EPA_1010895:2012,US GHR:EPA_1010895,2012,7204,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US GHR:EPA_1010895:2013,US GHR:EPA_1010895,2013,3852,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US GHR:EPA_1010895:2014,US GHR:EPA_1010895,2014,3621,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US GHR:EPA_1010895:2015,US GHR:EPA_1010895,2015,3603,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US GHR:EPA_1010895:2016,US GHR:EPA_1010895,2016,4601,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US GHR:EPA_1010895:2017,US GHR:EPA_1010895,2017,3833,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US GHR:EPA_1010895:2018,US GHR:EPA_1010895,2018,3968,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US GHR:EPA_1010895:2019,US GHR:EPA_1010895,2019,5541,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US GHR:EPA_1010895:2020,US GHR:EPA_1010895,2020,4813,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US PAE:EPA_1000640:2012,US PAE:EPA_1000640,2012,71463,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US PAE:EPA_1000640:2013,US PAE:EPA_1000640,2013,73643,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US PAE:EPA_1000640:2014,US PAE:EPA_1000640,2014,73522,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US PAE:EPA_1000640:2015,US PAE:EPA_1000640,2015,66276,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US PAE:EPA_1000640:2016,US PAE:EPA_1000640,2016,76191,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US PAE:EPA_1000640:2017,US PAE:EPA_1000640,2017,80529,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US PAE:EPA_1000640:2018,US PAE:EPA_1000640,2018,72308,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US PAE:EPA_1000640:2019,US PAE:EPA_1000640,2019,77572,US_WA_ecology:GHG_facility_reporting
US_WA_GHG_facilities:US PAE:EPA_1000640:2020,US PAE:EPA_1000640,2020,67553,US_WA_ecology:GHG_facility_reporting
