actor_id,type,name,is_part_of,datasource_id
8I5DZWZKVSZI1NUHU748,organization,JPMORGAN CHASE & CO.,US-NY,GLEIF_golden_copy
HWUPKR0MPOU8FGXBT394,organization,APPLE INC.,US-CA,GLEIF_golden_copy
9DJT3UXIJIZJI4WXO774,organization,BANK OF AMERICA CORPORATION,US-NC,GLEIF_golden_copy
549300MXYHQ7ZLRMHA29,organization,"AMAZON TECHNOLOGIES, INC.",US-WA,GLEIF_golden_copy
5493006MHB84DD0ZWV18,organization,ALPHABET INC.,US-CA,GLEIF_golden_copy
INR2EJN1ERAN0W5ZP974,organization,MICROSOFT CORPORATION,US-WA,GLEIF_golden_copy
6SHGI4ZSSLCXXQSBB395,organization,CITIGROUP INC.,US-DE,GLEIF_golden_copy
Y87794H0US1R65VBXU25,organization,WALMART INC.,US-AR,GLEIF_golden_copy
54930004W6Z9H2LPE588,organization,WELLS FARGO & COMPANY,US-CA,GLEIF_golden_copy
549300GHBMY8T5GXDE41,organization,UNITEDHEALTH GROUP INCORPORATED,US-MN,GLEIF_golden_copy
51M0QTTNCGUN7KFCFZ59,organization,COMCAST CORPORATION,US-PA,GLEIF_golden_copy
784F5XWPLTWKTBV3E584,organization,"THE GOLDMAN SACHS GROUP, INC.",US-NY,GLEIF_golden_copy
549300BACZP326UOBH06,organization,"FACEBOOK OPERATIONS, LLC",US-CA,GLEIF_golden_copy
KNX4USFCNGPY45LOCE31,organization,INTEL CORPORATION,US-CA,GLEIF_golden_copy
549300EJG376EN5NQE29,organization,CVS HEALTH CORPORATION,US-RI,GLEIF_golden_copy
3C7474T6CDKPR9K6YT90,organization,GENERAL ELECTRIC COMPANY,US-MA,GLEIF_golden_copy
54930070NSV60J38I987,organization,GENERAL MOTORS COMPANY,US-DE,GLEIF_golden_copy
549300LU2LK48YNURC51,organization,IBM Global Financing,US-NY,GLEIF_golden_copy
549300JKLDKK88YJNK84,organization,MetLife Foundation,US-NY,GLEIF_golden_copy
549300FEMQDH6Q0NT330,organization,"HOME DEPOT U.S.A., INC.",US-GA,GLEIF_golden_copy
FJSUNZKFNQ5YPJ5OT455,organization,"PepsiCo, Inc.",US-NY,GLEIF_golden_copy
1Z4GXXU7ZHVWFCD8TV52,organization,ORACLE CORPORATION,US-TX,GLEIF_golden_copy
549300QN7I3K57E52Y66,organization,AbbVie Foundation,US-IL,GLEIF_golden_copy
549300LKFJ962MZ46593,organization,"CISCO SYSTEMS, INC.",US-CA,GLEIF_golden_copy
25490051M2RUUJKJIZ28,organization,"Fleetscape Anthem, LLC",US-CA,GLEIF_golden_copy
549300UI22ZOTUUWGQ21,organization,AMERICAN EXPRESS LIMITED,US-NY,GLEIF_golden_copy
33580051H1YGY6G27694,organization,COCA COLA INDIA INC,US-GA,GLEIF_golden_copy
549300IONFNO3BOFLO73,organization,Capital One Prop LLC,US-IA,GLEIF_golden_copy
CFGNEKW0P8842LEUIA51,organization,"THE PNC FINANCIAL SERVICES GROUP, INC.",US-PA,GLEIF_golden_copy
549300E707U7WNPZN687,organization,FEDEX CORPORATION,US-TN,GLEIF_golden_copy
HQD377W2YR662HK5JX27,organization,ABBOTT LABORATORIES,US-IL,GLEIF_golden_copy
549300JZ4OKEHW3DPJ59,organization,VISA INC.,US-CA,GLEIF_golden_copy
549300CZ3L4QRJRDYK11,organization,"Loral Lowe's Property, LLC",US-OH,GLEIF_golden_copy
549300OZUEVJZHOBFP42,organization,BLACKROCK FUNDS,US-DE,GLEIF_golden_copy
