actor_id,identifier,namespace,datasource_id
8I5DZWZKVSZI1NUHU748,8I5DZWZKVSZI1NUHU748,LEI,GLEIF_golden_copy
HWUPKR0MPOU8FGXBT394,HWUPKR0MPOU8FGXBT394,LEI,GLEIF_golden_copy
9DJT3UXIJIZJI4WXO774,9DJT3UXIJIZJI4WXO774,LEI,GLEIF_golden_copy
549300MXYHQ7ZLRMHA29,549300MXYHQ7ZLRMHA29,LEI,GLEIF_golden_copy
5493006MHB84DD0ZWV18,5493006MHB84DD0ZWV18,LEI,GLEIF_golden_copy
INR2EJN1ERAN0W5ZP974,INR2EJN1ERAN0W5ZP974,LEI,GLEIF_golden_copy
6SHGI4ZSSLCXXQSBB395,6SHGI4ZSSLCXXQSBB395,LEI,GLEIF_golden_copy
Y87794H0US1R65VBXU25,Y87794H0US1R65VBXU25,LEI,GLEIF_golden_copy
54930004W6Z9H2LPE588,54930004W6Z9H2LPE588,LEI,GLEIF_golden_copy
549300GHBMY8T5GXDE41,549300GHBMY8T5GXDE41,LEI,GLEIF_golden_copy
51M0QTTNCGUN7KFCFZ59,51M0QTTNCGUN7KFCFZ59,LEI,GLEIF_golden_copy
784F5XWPLTWKTBV3E584,784F5XWPLTWKTBV3E584,LEI,GLEIF_golden_copy
549300BACZP326UOBH06,549300BACZP326UOBH06,LEI,GLEIF_golden_copy
KNX4USFCNGPY45LOCE31,KNX4USFCNGPY45LOCE31,LEI,GLEIF_golden_copy
549300EJG376EN5NQE29,549300EJG376EN5NQE29,LEI,GLEIF_golden_copy
3C7474T6CDKPR9K6YT90,3C7474T6CDKPR9K6YT90,LEI,GLEIF_golden_copy
54930070NSV60J38I987,54930070NSV60J38I987,LEI,GLEIF_golden_copy
549300LU2LK48YNURC51,549300LU2LK48YNURC51,LEI,GLEIF_golden_copy
549300JKLDKK88YJNK84,549300JKLDKK88YJNK84,LEI,GLEIF_golden_copy
549300FEMQDH6Q0NT330,549300FEMQDH6Q0NT330,LEI,GLEIF_golden_copy
FJSUNZKFNQ5YPJ5OT455,FJSUNZKFNQ5YPJ5OT455,LEI,GLEIF_golden_copy
1Z4GXXU7ZHVWFCD8TV52,1Z4GXXU7ZHVWFCD8TV52,LEI,GLEIF_golden_copy
549300QN7I3K57E52Y66,549300QN7I3K57E52Y66,LEI,GLEIF_golden_copy
549300LKFJ962MZ46593,549300LKFJ962MZ46593,LEI,GLEIF_golden_copy
25490051M2RUUJKJIZ28,25490051M2RUUJKJIZ28,LEI,GLEIF_golden_copy
549300UI22ZOTUUWGQ21,549300UI22ZOTUUWGQ21,LEI,GLEIF_golden_copy
33580051H1YGY6G27694,33580051H1YGY6G27694,LEI,GLEIF_golden_copy
549300IONFNO3BOFLO73,549300IONFNO3BOFLO73,LEI,GLEIF_golden_copy
CFGNEKW0P8842LEUIA51,CFGNEKW0P8842LEUIA51,LEI,GLEIF_golden_copy
549300E707U7WNPZN687,549300E707U7WNPZN687,LEI,GLEIF_golden_copy
HQD377W2YR662HK5JX27,HQD377W2YR662HK5JX27,LEI,GLEIF_golden_copy
549300JZ4OKEHW3DPJ59,549300JZ4OKEHW3DPJ59,LEI,GLEIF_golden_copy
549300CZ3L4QRJRDYK11,549300CZ3L4QRJRDYK11,LEI,GLEIF_golden_copy
549300OZUEVJZHOBFP42,549300OZUEVJZHOBFP42,LEI,GLEIF_golden_copy
WRJR7GS4GTRECRRTVX92,WRJR7GS4GTRECRRTVX92,LEI,GLEIF_golden_copy
ISRPG12PN4EIEOEMW547,ISRPG12PN4EIEOEMW547,LEI,GLEIF_golden_copy
62QBXGPJ34PQ72Z12S66,62QBXGPJ34PQ72Z12S66,LEI,GLEIF_golden_copy
549300224L7MSXPY6481,549300224L7MSXPY6481,LEI,GLEIF_golden_copy
LBQ3CAGQB6M55WHL3G85,LBQ3CAGQB6M55WHL3G85,LEI,GLEIF_golden_copy
549300SP4NN84DX79E85,549300SP4NN84DX79E85,LEI,GLEIF_golden_copy
5493008F4ZOQFNG3WN54,5493008F4ZOQFNG3WN54,LEI,GLEIF_golden_copy
549300FC3G3YU2FBZD92,549300FC3G3YU2FBZD92,LEI,GLEIF_golden_copy
HL3H1H2BGXWVG3BSWR90,HL3H1H2BGXWVG3BSWR90,LEI,GLEIF_golden_copy
549300LMMRSZZCZ8CL11,549300LMMRSZZCZ8CL11,LEI,GLEIF_golden_copy
LUZQVYP4VS22CLWDAR65,LUZQVYP4VS22CLWDAR65,LEI,GLEIF_golden_copy
549300NMVO8OGSH9WW39,549300NMVO8OGSH9WW39,LEI,GLEIF_golden_copy
549300VB1EUTLVEO8566,549300VB1EUTLVEO8566,LEI,GLEIF_golden_copy
HPFHU0OQ28E4N0NFVK49,HPFHU0OQ28E4N0NFVK49,LEI,GLEIF_golden_copy
5493000D4UVMBETS1506,5493000D4UVMBETS1506,LEI,GLEIF_golden_copy
UE2136O97NLB5BYP9H04,UE2136O97NLB5BYP9H04,LEI,GLEIF_golden_copy
787RXPR0UX0O0XUXPZ81,787RXPR0UX0O0XUXPZ81,LEI,GLEIF_golden_copy
H1J8DDZKZP6H7RWC0H53,H1J8DDZKZP6H7RWC0H53,LEI,GLEIF_golden_copy
549300Z7JJ4TQSQGT333,549300Z7JJ4TQSQGT333,LEI,GLEIF_golden_copy
B3DXGBC8GAIYWI2Z0172,B3DXGBC8GAIYWI2Z0172,LEI,GLEIF_golden_copy
XSGZFLO9YTNO9VCQV219,XSGZFLO9YTNO9VCQV219,LEI,GLEIF_golden_copy
529900YLDW34GJAO4J06,529900YLDW34GJAO4J06,LEI,GLEIF_golden_copy
549300Y7VHGU0I7CE873,549300Y7VHGU0I7CE873,LEI,GLEIF_golden_copy
RIMU48P07456QXSO0R61,RIMU48P07456QXSO0R61,LEI,GLEIF_golden_copy
6CPEOKI6OYJ13Q6O7870,6CPEOKI6OYJ13Q6O7870,LEI,GLEIF_golden_copy
254900I8UQY3NF7A5L53,254900I8UQY3NF7A5L53,LEI,GLEIF_golden_copy
AR5L2ODV9HN37376R084,AR5L2ODV9HN37376R084,LEI,GLEIF_golden_copy
5493003S21INSLK2IP73,5493003S21INSLK2IP73,LEI,GLEIF_golden_copy
549300LO13MQ9HYSTR83,549300LO13MQ9HYSTR83,LEI,GLEIF_golden_copy
ICE2EP6D98PQUILVRZ91,ICE2EP6D98PQUILVRZ91,LEI,GLEIF_golden_copy
2549006EHFY98CQJZN84,2549006EHFY98CQJZN84,LEI,GLEIF_golden_copy
529900M9MC28JLN35U89,529900M9MC28JLN35U89,LEI,GLEIF_golden_copy
254900DOHD6ZQSF7GZ43,254900DOHD6ZQSF7GZ43,LEI,GLEIF_golden_copy
549300ZBZQ6M21ZGGY79,549300ZBZQ6M21ZGGY79,LEI,GLEIF_golden_copy
529900N9JOX4C108MA40,529900N9JOX4C108MA40,LEI,GLEIF_golden_copy
529900JXXCCUCX634T88,529900JXXCCUCX634T88,LEI,GLEIF_golden_copy
549300CUF7B1LAB15T90,549300CUF7B1LAB15T90,LEI,GLEIF_golden_copy
254900AL64IANZYI1E02,254900AL64IANZYI1E02,LEI,GLEIF_golden_copy
25490061U8AL49462B58,25490061U8AL49462B58,LEI,GLEIF_golden_copy
2549009X2TZQEBVVI963,2549009X2TZQEBVVI963,LEI,GLEIF_golden_copy
529900HWPVQ42PJZBV22,529900HWPVQ42PJZBV22,LEI,GLEIF_golden_copy
5299008BFMZJMZHC5G85,5299008BFMZJMZHC5G85,LEI,GLEIF_golden_copy
391200NE04DA1X1S2B28,391200NE04DA1X1S2B28,LEI,GLEIF_golden_copy
39120001XNXTQQ1TQC32,39120001XNXTQQ1TQC32,LEI,GLEIF_golden_copy
Q9MAIUP40P25UFBFG033,Q9MAIUP40P25UFBFG033,LEI,GLEIF_golden_copy
391200FODE3VB6OIFD34,391200FODE3VB6OIFD34,LEI,GLEIF_golden_copy
5493003BZYYYCDIO0R13,5493003BZYYYCDIO0R13,LEI,GLEIF_golden_copy
5299003FU7V4I45FU310,5299003FU7V4I45FU310,LEI,GLEIF_golden_copy
KVIPTY4PULAPGC1VVD26,KVIPTY4PULAPGC1VVD26,LEI,GLEIF_golden_copy
254900PZW4RCVE0YL732,254900PZW4RCVE0YL732,LEI,GLEIF_golden_copy
549300HS3WTRS6D88H32,549300HS3WTRS6D88H32,LEI,GLEIF_golden_copy
2549009DTHEB5ODGNP48,2549009DTHEB5ODGNP48,LEI,GLEIF_golden_copy
529900U2JJ7GK68NI589,529900U2JJ7GK68NI589,LEI,GLEIF_golden_copy
ZP5ILWVSYE4LJGMMVD57,ZP5ILWVSYE4LJGMMVD57,LEI,GLEIF_golden_copy
549300J187NDTQDG2833,549300J187NDTQDG2833,LEI,GLEIF_golden_copy
L3I9ZG2KFGXZ61BMYR72,L3I9ZG2KFGXZ61BMYR72,LEI,GLEIF_golden_copy
549300LO6O8KWQXMMO44,549300LO6O8KWQXMMO44,LEI,GLEIF_golden_copy
NQQ6HPCNCCU6TUTQYE16,NQQ6HPCNCCU6TUTQYE16,LEI,GLEIF_golden_copy
2IGI19DL77OX0HC3ZE78,2IGI19DL77OX0HC3ZE78,LEI,GLEIF_golden_copy
KY37LUS27QQX7BB93L28,KY37LUS27QQX7BB93L28,LEI,GLEIF_golden_copy
5493007HIVTX6SY6XD66,5493007HIVTX6SY6XD66,LEI,GLEIF_golden_copy
529900QVNRBND50TXP03,529900QVNRBND50TXP03,LEI,GLEIF_golden_copy
E0JAN6VLUDI1HITHT809,E0JAN6VLUDI1HITHT809,LEI,GLEIF_golden_copy
