emissions_id,actor_id,year,total_emissions,datasource_id
carbon_gap:1Z4GXXU7ZHVWFCD8TV52:2020,1Z4GXXU7ZHVWFCD8TV52,2020,429577,profit_and_emissions_database:2021
carbon_gap:2138003RO792PNFC2X40:2020,2138003RO792PNFC2X40,2020,16080000,profit_and_emissions_database:2021
carbon_gap:213800LBQA1Y9L22JB70:2020,213800LBQA1Y9L22JB70,2020,170170,profit_and_emissions_database:2021
carbon_gap:213800XCXOXMW1AFMJ64:2020,213800XCXOXMW1AFMJ64,2020,1950000,profit_and_emissions_database:2021
carbon_gap:25490051M2RUUJKJIZ28:2020,25490051M2RUUJKJIZ28,2020,103991,profit_and_emissions_database:2021
carbon_gap:254900546I2NCE7MN106:2020,254900546I2NCE7MN106,2020,11230598,profit_and_emissions_database:2021
carbon_gap:25490061U8AL49462B58:2020,25490061U8AL49462B58,2020,14805000,profit_and_emissions_database:2021
carbon_gap:2549006EHFY98CQJZN84:2020,2549006EHFY98CQJZN84,2020,351076,profit_and_emissions_database:2021
carbon_gap:2549009DTHEB5ODGNP48:2020,2549009DTHEB5ODGNP48,2020,3868000,profit_and_emissions_database:2021
carbon_gap:2549009X2TZQEBVVI963:2020,2549009X2TZQEBVVI963,2020,2396316,profit_and_emissions_database:2021
carbon_gap:254900AL64IANZYI1E02:2020,254900AL64IANZYI1E02,2020,474219,profit_and_emissions_database:2021
carbon_gap:254900DOHD6ZQSF7GZ43:2020,254900DOHD6ZQSF7GZ43,2020,63676,profit_and_emissions_database:2021
carbon_gap:254900I8UQY3NF7A5L53:2020,254900I8UQY3NF7A5L53,2020,254200,profit_and_emissions_database:2021
carbon_gap:254900LKYWI0SHD85V92:2020,254900LKYWI0SHD85V92,2020,562000,profit_and_emissions_database:2021
carbon_gap:254900PZW4RCVE0YL732:2020,254900PZW4RCVE0YL732,2020,2037000,profit_and_emissions_database:2021
carbon_gap:2IGI19DL77OX0HC3ZE78:2020,2IGI19DL77OX0HC3ZE78,2020,57190,profit_and_emissions_database:2021
carbon_gap:33580051H1YGY6G27694:2020,33580051H1YGY6G27694,2020,340930,profit_and_emissions_database:2021
carbon_gap:335800CO2E555Q1ZEY28:2020,335800CO2E555Q1ZEY28,2020,45920000,profit_and_emissions_database:2021
carbon_gap:39120001XNXTQQ1TQC32:2020,39120001XNXTQQ1TQC32,2020,96038,profit_and_emissions_database:2021
carbon_gap:391200FODE3VB6OIFD34:2020,391200FODE3VB6OIFD34,2020,1521000,profit_and_emissions_database:2021
carbon_gap:391200NE04DA1X1S2B28:2020,391200NE04DA1X1S2B28,2020,6780000,profit_and_emissions_database:2021
carbon_gap:3C7474T6CDKPR9K6YT90:2020,3C7474T6CDKPR9K6YT90,2020,2080000,profit_and_emissions_database:2021
carbon_gap:51M0QTTNCGUN7KFCFZ59:2020,51M0QTTNCGUN7KFCFZ59,2020,2290084,profit_and_emissions_database:2021
carbon_gap:5299003FU7V4I45FU310:2020,5299003FU7V4I45FU310,2020,1056126,profit_and_emissions_database:2021
carbon_gap:5299008BFMZJMZHC5G85:2020,5299008BFMZJMZHC5G85,2020,677000,profit_and_emissions_database:2021
carbon_gap:529900HWPVQ42PJZBV22:2020,529900HWPVQ42PJZBV22,2020,2519000,profit_and_emissions_database:2021
carbon_gap:529900JXXCCUCX634T88:2020,529900JXXCCUCX634T88,2020,13760000,profit_and_emissions_database:2021
carbon_gap:529900LR7R5HK22JWD36:2020,529900LR7R5HK22JWD36,2020,37216000,profit_and_emissions_database:2021
carbon_gap:529900M9MC28JLN35U89:2020,529900M9MC28JLN35U89,2020,480401,profit_and_emissions_database:2021
carbon_gap:529900N9JOX4C108MA40:2020,529900N9JOX4C108MA40,2020,134900000,profit_and_emissions_database:2021
carbon_gap:529900ODI3047E2LIV03:2020,529900ODI3047E2LIV03,2020,6248,profit_and_emissions_database:2021
carbon_gap:529900QVNRBND50TXP03:2020,529900QVNRBND50TXP03,2020,27715,profit_and_emissions_database:2021
carbon_gap:529900U2JJ7GK68NI589:2020,529900U2JJ7GK68NI589,2020,18180000,profit_and_emissions_database:2021
carbon_gap:529900X2VMAQT2PE0V24:2020,529900X2VMAQT2PE0V24,2020,31500000,profit_and_emissions_database:2021
carbon_gap:529900YLDW34GJAO4J06:2020,529900YLDW34GJAO4J06,2020,80181,profit_and_emissions_database:2021
carbon_gap:54930004W6Z9H2LPE588:2020,54930004W6Z9H2LPE588,2020,776414,profit_and_emissions_database:2021
carbon_gap:5493000D4UVMBETS1506:2020,5493000D4UVMBETS1506,2020,39030,profit_and_emissions_database:2021
carbon_gap:549300224L7MSXPY6481:2020,549300224L7MSXPY6481,2020,98667,profit_and_emissions_database:2021
carbon_gap:5493003BZYYYCDIO0R13:2020,5493003BZYYYCDIO0R13,2020,620929,profit_and_emissions_database:2021
carbon_gap:5493003S21INSLK2IP73:2020,5493003S21INSLK2IP73,2020,33100000,profit_and_emissions_database:2021
carbon_gap:549300506SI9CRFV9Z86:2020,549300506SI9CRFV9Z86,2020,89310,profit_and_emissions_database:2021
carbon_gap:5493006MHB84DD0ZWV18:2020,5493006MHB84DD0ZWV18,2020,5903694,profit_and_emissions_database:2021
carbon_gap:54930070NSV60J38I987:2020,54930070NSV60J38I987,2020,4301940,profit_and_emissions_database:2021
carbon_gap:5493007HIVTX6SY6XD66:2020,5493007HIVTX6SY6XD66,2020,788600,profit_and_emissions_database:2021
carbon_gap:5493008F4ZOQFNG3WN54:2020,5493008F4ZOQFNG3WN54,2020,43326107,profit_and_emissions_database:2021
