emissions_id,actor_id,year,total_emissions,datasource_id
carbon_monitor:BR:2019,BR,2019,434705026,carbon_monitor:2022_12_14
carbon_monitor:BR:2020,BR,2020,385354796,carbon_monitor:2022_12_14
carbon_monitor:BR:2021,BR,2021,462163315,carbon_monitor:2022_12_14
carbon_monitor:BR:2022,BR,2022,330791971,carbon_monitor:2022_12_14
carbon_monitor:CN:2019,CN,2019,10492997819,carbon_monitor:2022_12_14
carbon_monitor:CN:2020,CN,2020,10595874925,carbon_monitor:2022_12_14
carbon_monitor:CN:2021,CN,2021,11223895840,carbon_monitor:2022_12_14
carbon_monitor:CN:2022,CN,2022,9095711627,carbon_monitor:2022_12_14
carbon_monitor:DE:2019,DE,2019,686885906,carbon_monitor:2022_12_14
carbon_monitor:DE:2020,DE,2020,615107802,carbon_monitor:2022_12_14
carbon_monitor:DE:2021,DE,2021,676540357,carbon_monitor:2022_12_14
carbon_monitor:DE:2022,DE,2022,550752945,carbon_monitor:2022_12_14
carbon_monitor:ES:2019,ES,2019,268747867,carbon_monitor:2022_12_14
carbon_monitor:ES:2020,ES,2020,220399835,carbon_monitor:2022_12_14
carbon_monitor:ES:2021,ES,2021,242436093,carbon_monitor:2022_12_14
carbon_monitor:ES:2022,ES,2022,215986359,carbon_monitor:2022_12_14
carbon_monitor:FR:2019,FR,2019,310027303,carbon_monitor:2022_12_14
carbon_monitor:FR:2020,FR,2020,272852150,carbon_monitor:2022_12_14
carbon_monitor:FR:2021,FR,2021,301714242,carbon_monitor:2022_12_14
carbon_monitor:FR:2022,FR,2022,248071584,carbon_monitor:2022_12_14
carbon_monitor:GB:2019,GB,2019,380112676,carbon_monitor:2022_12_14
carbon_monitor:GB:2020,GB,2020,332767698,carbon_monitor:2022_12_14
carbon_monitor:GB:2021,GB,2021,360322425,carbon_monitor:2022_12_14
carbon_monitor:GB:2022,GB,2022,307055130,carbon_monitor:2022_12_14
carbon_monitor:IN:2019,IN,2019,2471686467,carbon_monitor:2022_12_14
carbon_monitor:IN:2020,IN,2020,2266555384,carbon_monitor:2022_12_14
carbon_monitor:IN:2021,IN,2021,2488803986,carbon_monitor:2022_12_14
carbon_monitor:IN:2022,IN,2022,2200028611,carbon_monitor:2022_12_14
carbon_monitor:IT:2019,IT,2019,331219398,carbon_monitor:2022_12_14
carbon_monitor:IT:2020,IT,2020,296659425,carbon_monitor:2022_12_14
carbon_monitor:IT:2021,IT,2021,321115014,carbon_monitor:2022_12_14
carbon_monitor:IT:2022,IT,2022,271870918,carbon_monitor:2022_12_14
carbon_monitor:JP:2019,JP,2019,1108487399,carbon_monitor:2022_12_14
carbon_monitor:JP:2020,JP,2020,1048466078,carbon_monitor:2022_12_14
carbon_monitor:JP:2021,JP,2021,1050951242,carbon_monitor:2022_12_14
carbon_monitor:JP:2022,JP,2022,881985658,carbon_monitor:2022_12_14
carbon_monitor:RU:2019,RU,2019,1557867861,carbon_monitor:2022_12_14
carbon_monitor:RU:2020,RU,2020,1674012643,carbon_monitor:2022_12_14
carbon_monitor:RU:2021,RU,2021,1908610301,carbon_monitor:2022_12_14
carbon_monitor:RU:2022,RU,2022,1517538289,carbon_monitor:2022_12_14
carbon_monitor:US:2019,US,2019,5111445643,carbon_monitor:2022_12_14
carbon_monitor:US:2020,US,2020,4597576522,carbon_monitor:2022_12_14
carbon_monitor:US:2021,US,2021,4881723758,carbon_monitor:2022_12_14
carbon_monitor:US:2022,US,2022,4190693281,carbon_monitor:2022_12_14
