target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,URL,datasource_id
US_climate_mayors:US AEV:2050.0,US AEV,Absolute emission reduction,2002,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US ARB:2025.0,US ARB,Absolute emission reduction,2000,2025,25,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US ARB:2050.0,US ARB,Absolute emission reduction,2000,2050,90,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US ASE:2010.0,US ASE,Absolute emission reduction,2004,2010,30,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US ASE:2050.0,US ASE,Absolute emission reduction,2004,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US ATL:2020.0,US ATL,Absolute emission reduction,2009,2020,20,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US ATL:2030.0,US ATL,Absolute emission reduction,2009,2030,40,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US ATL:2035.0,US ATL,Absolute emission reduction,2009,2035,100,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CHI:2020.0,US CHI,Absolute emission reduction,1990,2020,25,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CHI:2050.0,US CHI,Absolute emission reduction,1990,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CLE:2016.0,US CLE,Absolute emission reduction,2010,2016,10,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CLE:2020.0,US CLE,Absolute emission reduction,2010,2020,20,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CLE:2020.0,US CLE,Absolute emission reduction,2010,2020,16,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CLE:2030.0,US CLE,Absolute emission reduction,2010,2030,45,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CLE:2030.0,US CLE,Absolute emission reduction,2010,2030,40,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CLE:2050.0,US CLE,Absolute emission reduction,2010,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CMH:2020.0,US CMH,Absolute emission reduction,2005,2020,30,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CMH:2020.0,US CMH,Absolute emission reduction,2013,2020,20,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US CMH:2030.0,US CMH,Absolute emission reduction,2005,2030,40,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US DBQ:2030.0,US DBQ,Absolute emission reduction,2003,2030,50,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US DUR:2030.0,US DUR,Absolute emission reduction,2006,2030,50,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US EUG:2030.0,US EUG,Absolute emission reduction,2010,2030,50,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US JBK:2020.0,US JBK,Absolute emission reduction,2000,2020,33,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US JBK:2050.0,US JBK,Absolute emission reduction,2000,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US LAX:2025.0,US LAX,Absolute emission reduction,1990,2025,45,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US LAX:2030.0,US LAX,Absolute emission reduction,1990,2030,60,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US LAX:2050.0,US LAX,Absolute emission reduction,1990,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US PAO:2030.0,US PAO,Absolute emission reduction,1990,2030,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US PHL:2015.0,US PHL,Absolute emission reduction,1990,2015,20,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US PHL:2050.0,US PHL,Absolute emission reduction,2003,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US PHX:2015.0,US PHX,Absolute emission reduction,2009,2015,15,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US PHX:2020.0,US PHX,Absolute emission reduction,2009,2020,20,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US PHX:2050.0,US PHX,Absolute emission reduction,2005,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US RNO:2050.0,US RNO,Absolute emission reduction,2008,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US SAC:2020.0,US SAC,Absolute emission reduction,2005,2020,15,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US SAC:2020.0,US SAC,Absolute emission reduction,2005,2020,22,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US SAC:2035.0,US SAC,Absolute emission reduction,2005,2035,49,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US SAC:2050.0,US SAC,Absolute emission reduction,2005,2050,83,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US SEA:2030.0,US SEA,Absolute emission reduction,2008,2030,58,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US SMO:2020.0,US SMO,Absolute emission reduction,1990,2020,20,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US SMO:2030.0,US SMO,Absolute emission reduction,1990,2030,30,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US SOY:2020.0,US SOY,Absolute emission reduction,1990,2020,25,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US SOY:2030.0,US SOY,Absolute emission reduction,1990,2030,40,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US SOY:2050.0,US SOY,Absolute emission reduction,1990,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US WBU:2030.0,US WBU,Absolute emission reduction,2008,2030,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
US_climate_mayors:US WBU:2050.0,US WBU,Absolute emission reduction,2005,2050,80,percent,https://climatemayors.org/wp-content/uploads/2020/12/Cities_Climate_Action_Compendium_180105-1.pdf,climate_mayors:compendium_2020
