emissions_id,actor_id,year,total_emissions,datasource_id
climateTRACE:AD:2015,AD,2015,111000,climateTRACE:country_inventory
climateTRACE:AD:2016,AD,2016,111000,climateTRACE:country_inventory
climateTRACE:AD:2017,AD,2017,115000,climateTRACE:country_inventory
climateTRACE:AD:2018,AD,2018,115000,climateTRACE:country_inventory
climateTRACE:AD:2019,AD,2019,115000,climateTRACE:country_inventory
climateTRACE:AD:2020,AD,2020,115000,climateTRACE:country_inventory
climateTRACE:AD:2021,AD,2021,115000,climateTRACE:country_inventory
climateTRACE:AE:2015,AE,2015,382045352,climateTRACE:country_inventory
climateTRACE:AE:2016,AE,2016,394903901,climateTRACE:country_inventory
climateTRACE:AE:2017,AE,2017,387723166,climateTRACE:country_inventory
climateTRACE:AE:2018,AE,2018,369112008,climateTRACE:country_inventory
climateTRACE:AE:2019,AE,2019,384217190,climateTRACE:country_inventory
climateTRACE:AE:2020,AE,2020,352191797,climateTRACE:country_inventory
climateTRACE:AE:2021,AE,2021,359242200,climateTRACE:country_inventory
climateTRACE:AF:2015,AF,2015,31061162,climateTRACE:country_inventory
climateTRACE:AF:2016,AF,2016,30364997,climateTRACE:country_inventory
climateTRACE:AF:2017,AF,2017,30812532,climateTRACE:country_inventory
climateTRACE:AF:2018,AF,2018,32856265,climateTRACE:country_inventory
climateTRACE:AF:2019,AF,2019,32390772,climateTRACE:country_inventory
climateTRACE:AF:2020,AF,2020,32880895,climateTRACE:country_inventory
climateTRACE:AF:2021,AF,2021,33163479,climateTRACE:country_inventory
climateTRACE:AG:2015,AG,2015,8025089,climateTRACE:country_inventory
climateTRACE:AG:2016,AG,2016,8281965,climateTRACE:country_inventory
climateTRACE:AG:2017,AG,2017,8231602,climateTRACE:country_inventory
climateTRACE:AG:2018,AG,2018,8249839,climateTRACE:country_inventory
climateTRACE:AG:2019,AG,2019,9246148,climateTRACE:country_inventory
climateTRACE:AG:2020,AG,2020,12807848,climateTRACE:country_inventory
climateTRACE:AG:2021,AG,2021,10420168,climateTRACE:country_inventory
climateTRACE:AI:2015,AI,2015,128455,climateTRACE:country_inventory
climateTRACE:AI:2016,AI,2016,131854,climateTRACE:country_inventory
climateTRACE:AI:2017,AI,2017,132224,climateTRACE:country_inventory
climateTRACE:AI:2018,AI,2018,129416,climateTRACE:country_inventory
climateTRACE:AI:2019,AI,2019,128055,climateTRACE:country_inventory
climateTRACE:AI:2020,AI,2020,123284,climateTRACE:country_inventory
climateTRACE:AI:2021,AI,2021,125462,climateTRACE:country_inventory
climateTRACE:AL:2015,AL,2015,10177043,climateTRACE:country_inventory
climateTRACE:AL:2016,AL,2016,9777909,climateTRACE:country_inventory
