emissions_id,actor_id,year,total_emissions,datasource_id
climate_watch_GHG:AD:1990,AD,1990,430000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:1991,AD,1991,430000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:1992,AD,1992,430000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:1993,AD,1993,440000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:1994,AD,1994,440000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:1995,AD,1995,460000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:1996,AD,1996,490000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:1997,AD,1997,510000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:1998,AD,1998,540000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:1999,AD,1999,570000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2000,AD,2000,590000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2001,AD,2001,590000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2002,AD,2002,600000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2003,AD,2003,610000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2004,AD,2004,640000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2005,AD,2005,660000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2006,AD,2006,640000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2007,AD,2007,640000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2008,AD,2008,640000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2009,AD,2009,620000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2010,AD,2010,630000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2011,AD,2011,600000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2012,AD,2012,600000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2013,AD,2013,590000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2014,AD,2014,570000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2015,AD,2015,580000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2016,AD,2016,590000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2017,AD,2017,590000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2018,AD,2018,620000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AD:2019,AD,2019,630000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AE:1990,AE,1990,73250000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AE:1991,AE,1991,81070000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AE:1992,AE,1992,79190000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AE:1993,AE,1993,83620000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AE:1994,AE,1994,92200000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AE:1995,AE,1995,97340000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AE:1996,AE,1996,101710000,WRI:climate_watch_historical_ghg:2022
climate_watch_GHG:AE:1997,AE,1997,104950000,WRI:climate_watch_historical_ghg:2022
