emissions_id,actor_id,year,total_emissions,datasource_id
cui_et_al_2021:CN-AH:2019,CN-AH,2019,513071039,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-AH:2020,CN-AH,2020,506257343,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-BJ:2019,CN-BJ,2019,65996820,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-BJ:2020,CN-BJ,2020,62767694,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-CQ:2019,CN-CQ,2019,186916501,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-CQ:2020,CN-CQ,2020,179629572,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-FJ:2019,CN-FJ,2019,316862911,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-FJ:2020,CN-FJ,2020,336202573,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-GD:2019,CN-GD,2019,676076918,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-GD:2020,CN-GD,2020,694696040,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-GS:2019,CN-GS,2019,157979495,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-GS:2020,CN-GS,2020,166440835,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-GX:2019,CN-GX,2019,329720437,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-GX:2020,CN-GX,2020,335178777,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-GZ:2019,CN-GZ,2019,330437434,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-GZ:2020,CN-GZ,2020,327206328,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-HA:2019,CN-HA,2019,468234400,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-HA:2020,CN-HA,2020,476117279,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-HB:2019,CN-HB,2019,365031765,cui_etal_2021:CO2_china_provinces:v1
cui_et_al_2021:CN-HB:2020,CN-HB,2020,309976891,cui_etal_2021:CO2_china_provinces:v1
