emissions_id,actor_id,year,total_emissions,datasource_id
energy_institute_statistical_review_2023:AE:1990,AE,1990,99094002,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:1991,AE,1991,117914011,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:1992,AE,1992,115711995,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:1993,AE,1993,119159798,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:1994,AE,1994,129871184,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:1995,AE,1995,134752232,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:1996,AE,1996,138055166,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:1997,AE,1997,144771317,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:1998,AE,1998,147757928,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:1999,AE,1999,147109071,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2000,AE,2000,146733248,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2001,AE,2001,147706531,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2002,AE,2002,154768810,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2003,AE,2003,166692661,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2004,AE,2004,178286961,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2005,AE,2005,185851266,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2006,AE,2006,196914696,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2007,AE,2007,214655782,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2008,AE,2008,242973064,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2009,AE,2009,233915732,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2010,AE,2010,243898664,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2011,AE,2011,251780266,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2012,AE,2012,263513189,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2013,AE,2013,280676377,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2014,AE,2014,277174192,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2015,AE,2015,301325440,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2016,AE,2016,311202916,energy_institute_statistical_review_2023
energy_institute_statistical_review_2023:AE:2017,AE,2017,301445417,energy_institute_statistical_review_2023
