emissions_id,actor_id,year,total_emissions,datasource_id
Long_et_al_(2020):JP-01:2007,JP-01,2007,58944229,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-01:2008,JP-01,2008,57176820,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-01:2009,JP-01,2009,50378691,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-01:2010,JP-01,2010,47535454,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-01:2011,JP-01,2011,51160732,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-01:2012,JP-01,2012,52634955,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-01:2013,JP-01,2013,55161141,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-01:2014,JP-01,2014,55361808,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-01:2015,JP-01,2015,53412075,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-02:2007,JP-02,2007,9729771,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-02:2008,JP-02,2008,8875071,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-02:2009,JP-02,2009,8933359,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-02:2010,JP-02,2010,8018470,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-02:2011,JP-02,2011,7108907,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-02:2012,JP-02,2012,7220186,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-02:2013,JP-02,2013,8281167,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-02:2014,JP-02,2014,8524802,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-02:2015,JP-02,2015,8178135,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-03:2007,JP-03,2007,6314461,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-03:2008,JP-03,2008,5893723,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-03:2009,JP-03,2009,5482776,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-03:2010,JP-03,2010,4828063,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-03:2011,JP-03,2011,3514369,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-03:2012,JP-03,2012,3741889,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-03:2013,JP-03,2013,4525287,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-03:2014,JP-03,2014,4910300,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-03:2015,JP-03,2015,4366416,long_etal_2020:JP_prefectural:v1
Long_et_al_(2020):JP-04:2007,JP-04,2007,18611214,long_etal_2020:JP_prefectural:v1
