emissions_id,actor_id,year,total_emissions,datasource_id
openGHGmap:AT:2018,AT,2018,89738817,openGHGmap:R2021A
openGHGmap:BE:2018,BE,2018,147355998,openGHGmap:R2021A
openGHGmap:BG:2018,BG,2018,36098555,openGHGmap:R2021A
openGHGmap:CH:2018,CH,2018,41699430,openGHGmap:R2021A
openGHGmap:CY:2018,CY,2018,4648340,openGHGmap:R2021A
openGHGmap:CZ:2018,CZ,2018,114950893,openGHGmap:R2021A
openGHGmap:DE:2018,DE,2018,856877354,openGHGmap:R2021A
openGHGmap:DK:2018,DK,2018,54827909,openGHGmap:R2021A
openGHGmap:EE:2018,EE,2018,16134102,openGHGmap:R2021A
openGHGmap:ES:2018,ES,2018,319762270,openGHGmap:R2021A
openGHGmap:FI:2018,FI,2018,85087024,openGHGmap:R2021A
openGHGmap:FR:2018,FR,2018,401584935,openGHGmap:R2021A
openGHGmap:GB:2018,GB,2018,456223983,openGHGmap:R2021A
openGHGmap:GB:2018,GB,2018,42701243,openGHGmap:R2021A
openGHGmap:GR:2018,GR,2018,75949716,openGHGmap:R2021A
openGHGmap:HR:2018,HR,2018,25142350,openGHGmap:R2021A
openGHGmap:HU:2018,HU,2018,60374737,openGHGmap:R2021A
openGHGmap:IS:2018,IS,2018,5150339,openGHGmap:R2021A
openGHGmap:IT:2018,IT,2018,397583558,openGHGmap:R2021A
openGHGmap:LI:2018,LI,2018,150608,openGHGmap:R2021A
openGHGmap:LT:2018,LT,2018,20297730,openGHGmap:R2021A
openGHGmap:LU:2018,LU,2018,12080429,openGHGmap:R2021A
openGHGmap:LV:2018,LV,2018,14910068,openGHGmap:R2021A
openGHGmap:MT:2018,MT,2018,8487200,openGHGmap:R2021A
openGHGmap:NL:2018,NL,2018,213140798,openGHGmap:R2021A
openGHGmap:NO:2018,NO,2018,51559726,openGHGmap:R2021A
openGHGmap:PL:2018,PL,2018,334587503,openGHGmap:R2021A
openGHGmap:PT:2018,PT,2018,64210648,openGHGmap:R2021A
openGHGmap:RO:2018,RO,2018,88591092,openGHGmap:R2021A
openGHGmap:SE:2018,SE,2018,84314289,openGHGmap:R2021A
openGHGmap:SI:2018,SI,2018,17525055,openGHGmap:R2021A
openGHGmap:SK:2018,SK,2018,38229949,openGHGmap:R2021A
openGHGmap:TR:2018,TR,2018,104255880,openGHGmap:R2021A
openGHGmap:UA:2018,UA,2018,342922840,openGHGmap:R2021A
openGHGmap:AT-1:2018,AT-1,2018,2607531,openGHGmap:R2021A
openGHGmap:AT-2:2018,AT-2,2018,5621641,openGHGmap:R2021A
openGHGmap:AT-3:2018,AT-3,2018,20859706,openGHGmap:R2021A
openGHGmap:AT-4:2018,AT-4,2018,24114124,openGHGmap:R2021A
openGHGmap:AT-5:2018,AT-5,2018,4546720,openGHGmap:R2021A
openGHGmap:AT-5:2018,AT-5,2018,780743,openGHGmap:R2021A
openGHGmap:AT-6:2018,AT-6,2018,17714574,openGHGmap:R2021A
openGHGmap:AT-7:2018,AT-7,2018,6353135,openGHGmap:R2021A
openGHGmap:AT-8:2018,AT-8,2018,2098976,openGHGmap:R2021A
openGHGmap:AT-9:2018,AT-9,2018,4992282,openGHGmap:R2021A
openGHGmap:BE-BRU:2018,BE-BRU,2018,3117166,openGHGmap:R2021A
openGHGmap:BE-VAN:2018,BE-VAN,2018,34004042,openGHGmap:R2021A
openGHGmap:BE-VAN:2018,BE-VAN,2018,26075632,openGHGmap:R2021A
openGHGmap:BE-VBR:2018,BE-VBR,2018,11299628,openGHGmap:R2021A
openGHGmap:BE-VLG:2018,BE-VLG,2018,103652045,openGHGmap:R2021A
openGHGmap:BE-VLI:2018,BE-VLI,2018,8065239,openGHGmap:R2021A
openGHGmap:BE-VOV:2018,BE-VOV,2018,19024812,openGHGmap:R2021A
openGHGmap:BE-VWV:2018,BE-VWV,2018,31258748,openGHGmap:R2021A
openGHGmap:BE-WAL:2018,BE-WAL,2018,36357969,openGHGmap:R2021A
openGHGmap:BE-WBR:2018,BE-WBR,2018,2197657,openGHGmap:R2021A
openGHGmap:BE-WHT:2018,BE-WHT,2018,14700603,openGHGmap:R2021A
openGHGmap:BE-WLG:2018,BE-WLG,2018,9575901,openGHGmap:R2021A
openGHGmap:BE-WLG:2018,BE-WLG,2018,4350448,openGHGmap:R2021A
openGHGmap:BE-WLX:2018,BE-WLX,2018,3730258,openGHGmap:R2021A
openGHGmap:BE-WNA:2018,BE-WNA,2018,2817121,openGHGmap:R2021A
openGHGmap:BE-WNA:2018,BE-WNA,2018,4203928,openGHGmap:R2021A
openGHGmap:BG-01:2018,BG-01,2018,659450,openGHGmap:R2021A
openGHGmap:BG-02:2018,BG-02,2018,4199082,openGHGmap:R2021A
openGHGmap:BG-03:2018,BG-03,2018,1173709,openGHGmap:R2021A
