actor_id,year,population,datasource_id
EARTH,1950,2477675000,UNPD:WPP:2022
EARTH,1951,2520970000,UNPD:WPP:2022
EARTH,1952,2565291000,UNPD:WPP:2022
EARTH,1953,2615251000,UNPD:WPP:2022
EARTH,1954,2665307000,UNPD:WPP:2022
EARTH,1955,2718652000,UNPD:WPP:2022
EARTH,1956,2773493000,UNPD:WPP:2022
EARTH,1957,2828513000,UNPD:WPP:2022
EARTH,1958,2887221000,UNPD:WPP:2022
EARTH,1959,2944995000,UNPD:WPP:2022
EARTH,1960,2995589000,UNPD:WPP:2022
EARTH,1961,3042878000,UNPD:WPP:2022
EARTH,1962,3093864000,UNPD:WPP:2022
EARTH,1963,3159510000,UNPD:WPP:2022
EARTH,1964,3232049000,UNPD:WPP:2022
EARTH,1965,3302376000,UNPD:WPP:2022
EARTH,1966,3371848000,UNPD:WPP:2022
EARTH,1967,3440986000,UNPD:WPP:2022
EARTH,1968,3509910000,UNPD:WPP:2022
EARTH,1969,3583711000,UNPD:WPP:2022
EARTH,1970,3657599000,UNPD:WPP:2022
EARTH,1971,3733182000,UNPD:WPP:2022
EARTH,1972,3807145000,UNPD:WPP:2022
EARTH,1973,3882457000,UNPD:WPP:2022
EARTH,1974,3958046000,UNPD:WPP:2022
EARTH,1975,4032988000,UNPD:WPP:2022
EARTH,1976,4105886000,UNPD:WPP:2022
EARTH,1977,4179126000,UNPD:WPP:2022
EARTH,1978,4252419000,UNPD:WPP:2022
EARTH,1979,4326896000,UNPD:WPP:2022
EARTH,1980,4404270000,UNPD:WPP:2022
EARTH,1981,4483746000,UNPD:WPP:2022
EARTH,1982,4565510000,UNPD:WPP:2022
EARTH,1983,4650460000,UNPD:WPP:2022
EARTH,1984,4733308000,UNPD:WPP:2022
EARTH,1985,4818364000,UNPD:WPP:2022
EARTH,1986,4905097000,UNPD:WPP:2022
EARTH,1987,4995029000,UNPD:WPP:2022
EARTH,1988,5086940000,UNPD:WPP:2022
EARTH,1989,5177648000,UNPD:WPP:2022
EARTH,1990,5269760000,UNPD:WPP:2022
EARTH,1991,5362591000,UNPD:WPP:2022
EARTH,1992,5449900000,UNPD:WPP:2022
EARTH,1993,5535472000,UNPD:WPP:2022
EARTH,1994,5619395000,UNPD:WPP:2022
EARTH,1995,5702061000,UNPD:WPP:2022
EARTH,1996,5784378000,UNPD:WPP:2022
EARTH,1997,5865912000,UNPD:WPP:2022
EARTH,1998,5947050000,UNPD:WPP:2022
EARTH,1999,6027575000,UNPD:WPP:2022
EARTH,2000,6107942000,UNPD:WPP:2022
EARTH,2001,6189856000,UNPD:WPP:2022
EARTH,2002,6271638000,UNPD:WPP:2022
EARTH,2003,6353177000,UNPD:WPP:2022
EARTH,2004,6434620000,UNPD:WPP:2022
EARTH,2005,6516883000,UNPD:WPP:2022
EARTH,2006,6599469000,UNPD:WPP:2022
EARTH,2007,6683363000,UNPD:WPP:2022
EARTH,2008,6768534000,UNPD:WPP:2022
EARTH,2009,6854661000,UNPD:WPP:2022
EARTH,2010,6941951000,UNPD:WPP:2022
EARTH,2011,7029255000,UNPD:WPP:2022
EARTH,2012,7116996000,UNPD:WPP:2022
EARTH,2013,7206400000,UNPD:WPP:2022
EARTH,2014,7294787000,UNPD:WPP:2022
EARTH,2015,7383240000,UNPD:WPP:2022
EARTH,2016,7469955000,UNPD:WPP:2022
EARTH,2017,7556993000,UNPD:WPP:2022
EARTH,2018,7642651000,UNPD:WPP:2022
EARTH,2019,7724928000,UNPD:WPP:2022
EARTH,2020,7804974000,UNPD:WPP:2022
EARTH,2021,7876932000,UNPD:WPP:2022
