actor_id,year,total_emissions,datasource_id,emissions_id
RU-AD,2005,1044366,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2005
RU-AD,2005,319274,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2005
RU-AD,2006,854250,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2006
RU-AD,2006,318249,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2006
RU-AD,2007,773888,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2007
RU-AD,2007,338896,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2007
RU-AD,2008,742636,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2008
RU-AD,2008,374791,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2008
RU-AD,2009,631247,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2009
RU-AD,2009,490096,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2009
RU-AD,2010,519792,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2010
RU-AD,2010,634645,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2010
RU-AD,2011,487744,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2011
RU-AD,2011,897585,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2011
RU-AD,2012,489650,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2012
RU-AD,2012,1006544,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2012
RU-AD,2013,147516,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2013
RU-AD,2013,998788,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2013
RU-AD,2014,341348,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2014
RU-AD,2014,753254,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2014
RU-AD,2015,287355,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2015
RU-AD,2015,665496,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2015
RU-AD,2016,271203,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2016
RU-AD,2016,835229,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2016
RU-AD,2017,978813,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2017
RU-AD,2018,794373,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2018
RU-AD,2019,903805,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AD:2019
RU-AL,2017,328314,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AL:2017
RU-AL,2018,354601,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AL:2018
RU-AL,2019,334979,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AL:2019
RU-ALT,2005,11715219,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2005
RU-ALT,2006,11815135,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2006
RU-ALT,2007,12219115,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2007
RU-ALT,2008,12561446,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2008
RU-ALT,2009,11625541,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2009
RU-ALT,2010,11328663,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2010
RU-ALT,2011,12257237,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2011
RU-ALT,2012,12762203,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2012
RU-ALT,2013,15878682,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2013
RU-ALT,2014,11674867,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2014
RU-ALT,2015,11594697,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2015
RU-ALT,2016,11847158,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2016
RU-ALT,2017,12162614,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2017
RU-ALT,2018,11861560,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2018
RU-ALT,2019,9675182,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ALT:2019
RU-AMU,2005,11873114,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2005
RU-AMU,2006,11509666,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2006
RU-AMU,2007,10355443,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2007
RU-AMU,2008,10306923,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2008
RU-AMU,2009,9603267,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2009
RU-AMU,2010,8835255,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2010
RU-AMU,2011,9342231,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2011
RU-AMU,2012,9896020,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2012
RU-AMU,2013,8784802,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2013
RU-AMU,2014,9500515,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2014
RU-AMU,2015,10116536,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2015
RU-AMU,2016,9323196,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2016
RU-AMU,2017,9875120,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2017
RU-AMU,2018,9318820,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2018
RU-AMU,2019,10387385,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2019
RU-ARK,2005,21395538,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2005
RU-ARK,2006,20421536,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2006
RU-ARK,2007,19890136,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2007
RU-ARK,2008,20845548,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2008
RU-ARK,2009,19696116,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2009
RU-ARK,2010,19145342,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2010
RU-ARK,2011,18593339,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2011
RU-ARK,2012,16986689,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2012
RU-ARK,2013,15496777,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2013
RU-ARK,2014,17117206,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2014
RU-ARK,2015,17286609,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2015
RU-ARK,2016,19994723,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2016
