state,actor_id,target_type,target_value,target_unit,baseline_year,target_year,actual_range,URL
California,US-CA,Absolute emission reduction,0,percent,1990,2020,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=200520060AB32
California,US-CA,Absolute emission reduction,40,percent,1990,2030,,https://www.ca.gov/archive/gov39/wp-content/uploads/2018/09/9.10.18-Executive-Order.pdf
California,US-CA,Absolute emission reduction,80,percent,1990,2050,,https://www.ca.gov/archive/gov39/wp-content/uploads/2018/09/9.10.18-Executive-Order.pdf
Colorado,US-CO,Absolute emission reduction,26,percent,2005,2025,,https://leg.colorado.gov/sites/default/files/2019a_1261_signed.pdf
Colorado,US-CO,Absolute emission reduction,50,percent,2005,2030,,https://leg.colorado.gov/sites/default/files/2019a_1261_signed.pdf
Colorado,US-CO,Absolute emission reduction,90,percent,2005,2050,,https://leg.colorado.gov/sites/default/files/2019a_1261_signed.pdf
Connecticut,US-CT,Absolute emission reduction,45,percent,2001,2030,,https://www.cga.ct.gov/2018/act/pa/pdf/2018PA-00082-R00SB-00007-PA.pdf
Connecticut,US-CT,Absolute emission reduction,80,percent,2001,2050,,https://www.cga.ct.gov/2018/act/pa/pdf/2018PA-00082-R00SB-00007-PA.pdf
Delaware,US-DE,Absolute emission reduction,26,percent,2005,2025,26-28,https://documents.dnrec.delaware.gov/energy/Documents/Climate/Plan/Delaware-Climate-Action-Plan-2021.pdf
Hawaii,US-HI,Absolute emission reduction,50,percent,2005,2030,,https://trackbill.com/bill/hawaii-governor-message-1340-act-238/2266076/
Illinois,US-IL,Absolute emission reduction,26,percent,2005,2030,26-28,https://www2.illinois.gov/epa/topics/climate/Pages/default.aspx
Louisiana,US-LA,Absolute emission reduction,26,percent,2005,2025,26-28,https://gov.louisiana.gov/assets/ExecutiveOrders/2020/JBE-2020-18-Climate-Initiatives-Task-Force.pdf
Louisiana,US-LA,Absolute emission reduction,40,percent,2005,2030,40-50,https://gov.louisiana.gov/assets/ExecutiveOrders/2020/JBE-2020-18-Climate-Initiatives-Task-Force.pdf
Louisiana,US-LA,Absolute emission reduction,100,percent,2005,2050,,https://gov.louisiana.gov/assets/ExecutiveOrders/2020/JBE-2020-18-Climate-Initiatives-Task-Force.pdf
Maine,US-ME,Absolute emission reduction,45,percent,1990,2030,,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Executive%20Order%209-23-2019_0.pdf
