"name","type","iso","locode"
"Tadotsu","City","JPN",NA
"Satte","City","JPN",NA
"Kato","City","JPN",NA
"Swale Borough","City","GBR",NA
"Treze Tílias","City","BRA",NA
"Jammerbugt","City","DNK",NA
"Regional District of Central Kootenay, BC","City","CAN",NA
"Bradford","City","GBR","GB-BRD"
"Suwa","City","JPN",NA
"Okaya","City","JPN",NA
"Matsue","City","JPN",NA
"Asakura","City","JPN",NA
"Takeo","City","JPN",NA
"Princeton, NJ","City","USA",NA
"Cuyahoga County, OH","City","USA",NA
"Borlänge kommun","City","SWE",NA
"Bizerte","City","TUN","TN-23"
"Longmont, CO","City","USA",NA
"Atsuma","City","JPN",NA
"Trenggalek Regency","City","IDN",NA
"Busan","City","KOR",NA
"Noda ","City","JPN",NA
"Ferndale, MI","City","USA",NA
"Sayama","City","JPN",NA
"Høje-Taastrup","City","DNK",NA
"Vantaa","City","FIN",NA
"Setouchi","City","JPN",NA
"Jammerbugt","City","DNK",NA
"Chitré","City","PAN",NA
"Mbabane","City","SWZ",NA
"Tumwater, WA","City","USA",NA
"Hillerød","City","DNK",NA
"Hanamaki","City","JPN",NA
"Nagakute","City","JPN",NA
"Rio das Flores","City","BRA",NA
"Saku","City","JPN",NA
"Noboribetsu","City","JPN",NA
"Bacolod","City","PHL",NA
"Blacktown Council","City","AUS",NA
"Pasig","City","PHL",NA
"Shimada","City","JPN",NA
"Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN)","City","MEX",NA
"Iheya ","City","JPN",NA
"Masaki","City","JPN",NA
"Panevežys","City","LTU",NA
"Murakami","City","JPN",NA
"Kolkata","City","IND",NA
"Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS)","City","MEX",NA
"Wako","City","JPN",NA
"JISOC","City","MEX",NA
"Oyamazaki","City","JPN",NA
"Miyakojima","City","JPN",NA
"Abasan Al-Kabira","City","PSE",NA
"Port Coquitlam, BC","City","CAN",NA
"Sobral","City","BRA",NA
"Enfield, UK","City","GBR",NA
"Kutchan","City","JPN",NA
"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)","City","IRL",NA
"San Fernando","City","PHL",NA
"Maneiro","City","VEN",NA
"Teshio","City","JPN",NA
"San Carlos Sud","City","ARG",NA
"St. Catharines, ON","City","CAN",NA
"Cocal do Sul","City","BRA",NA
"Nagaizumi","City","JPN",NA
"Aka ","City","JPN",NA
"León, Mexico","City","MEX",NA
"Yosano","City","JPN",NA
"Yaoundé 4","City","CMR",NA
"Yahaba","City","JPN",NA
"Goyang","City","KOR",NA
"Saiki","City","JPN",NA
"Kani","City","JPN",NA
"Oberlin, OH","City","USA",NA
"Ashoro-Town","City","JPN",NA
"Ekurhuleni","City","ZAF",NA
"Ureshino","City","JPN",NA
"Tumba","City","SWE",NA
"Reihoku","City","JPN",NA
"St. Paul, MN","City","USA",NA
"Neuquén","City","ARG","AR-Q"
"Järfälla","City","SWE",NA
"Yamanashi","City","JPN","JP-19"
"Seberang Perai","City","MYS",NA
"Knysna","City","ZAF",NA
"Ambato","City","ECU",NA
"Nagaizumi","City","JPN",NA
"Hiezu ","City","JPN",NA
"Goyang","City","KOR",NA
"Grande Prairie, AB","City","CAN",NA
"Hua-Hin","City","THA",NA
"Westminster Council","City","GBR",NA
"Eau Claire, WI","City","USA",NA
"Ate","City","PER",NA
"Zarcero","City","CRI",NA
"Ferndale, MI","City","USA",NA
"Yomitan ","City","JPN",NA
"Richmond","City","AUS",NA
"Ekurhuleni","City","ZAF",NA
"Lampung Barat Regency","City","IDN",NA
"Shosanbetsu ","City","JPN",NA
"Chikuma","City","JPN",NA
"Kamiamakusa","City","JPN",NA
"Monte Verde","City","CRI",NA
"Guabiruba","City","BRA",NA
"Sanggau Regency","City","IDN",NA
"Tonalá","City","MEX",NA
"Canápolis","City","BRA",NA
"Izumo","City","JPN",NA
"Abasan Al-Kabira","City","PSE",NA
"Akaiwa","City","JPN",NA
"Tweed Shire","City","AUS",NA
"Nagomi","City","JPN",NA
"San Rafael de Heredia","City","CRI",NA
"Oxford, OH","City","USA",NA
"Shinano","City","JPN",NA
"General Pueyrredon","City","ARG",NA
"Nueva Concepción","City","GTM",NA
"Vigan","City","PHL",NA
"Port Coquitlam, BC","City","CAN",NA
"Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR)","City","MEX",NA
"Commune di Maga","City","CMR",NA
"St. John’s","City","CAN",NA
"Mosquera","City","COL",NA
"Busbanza","City","COL",NA
"Beira","City","MOZ",NA
"Torreón","City","MEX",NA
"São José dos Pinhais","City","BRA",NA
"Seberang Perai","City","MYS",NA
"Engenheiro Coelho","City","BRA",NA
"Machu Picchu","City","PER",NA
"Takashima","City","JPN",NA
"Independencia","City","PER",NA
"Kan-onji","City","JPN",NA
"Lahti","City","FIN",NA
"San Carlos","City","PHL",NA
"Kikugawa","City","JPN",NA
"Regional District of Central Kootenay, BC","City","CAN",NA
"Corrales","City","COL",NA
"Rafard","City","BRA",NA
"Alcaldía de Florencia","City","COL",NA
"Higashiura","City","JPN",NA
"Washington D.C.","City","USA",NA
"Onojo","City","JPN",NA
"Yonago","City","JPN",NA
"West Midlands","City","GBR",NA
"Rourkela","City","IND",NA
"Koshigaya","City","JPN",NA
"Tagajo","City","JPN",NA
"Muğla","City","TUR","TR-48"
"Kan-onji","City","JPN",NA
"Shihoro","City","JPN",NA
