Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2021,834096,"City of Richmond, BC",,Canada,North America,public,Yes,2017-01-01 - 2017-12-31,Local government area within a greater city / metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,CO2,,,,,,,,,,,,,,129.66,224380,2020,,10/04/2021 09:23:47 AM
2021,859138,Shima City,,Japan,East Asia,public,Yes,2013-04-01 - 2014-03-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,Do not know,,,,0,,10/04/2021 09:23:47 AM
2021,863330,Rourkela,,India,South and West Asia,public,In progress,-,City / Municipality,,,,,,,,,,,,,,,,,,209,483629,2011,,10/04/2021 09:23:47 AM
2021,54354,City Government of Makati,Makati,Philippines,Southeast Asia and Oceania,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,CO2,514091.61,782045.75,,,,,,,,,,Increased,Increased energy/electricity consumption,27.36,582602,2015,POINT (121.024 14.5547),10/04/2021 09:23:47 AM
2021,859081,City of Sakuragawa,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,50364,Municipalidad de La Paz,La Paz (Bolivia),Bolivia (Plurinational State of),Latin America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,472,798,2017,POINT (-68.15 -16.5),10/04/2021 09:23:47 AM
2021,859068,Hanamaki City,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,852524,Westminster City Council,,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2018-01-01 - 2018-12-31,Local government area within a greater city / metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),We have calculated Westminster's city-wide GHG emissions using the SCATTER methodology developed by Anthesis.,"CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,,21.5,255324,2018,,10/04/2021 09:23:47 AM
2021,8242,City of Helsinki,Helsinki,Finland,Europe,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",3233000,824063,,1785915,,,,,,,,Increased,Change in weather conditions,214.25,655395,2020,POINT (24.941 60.1733),10/04/2021 09:23:47 AM
2021,859166,Tadotsu Town,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,859089,Satte City,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,54537,Sunderland City Council,Sunderland,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The GPC provides a robust framework for accounting and reporting city-wide greenhouse gas emissions. It seeks to:-Help cities develop a comprehensive and robust greenhouse gas inventory in order to support climate action planning.-Help cities establish a base year emissions inventory, set reduction targets and track their performance.-Ensure consistent and transparent measurement and reporting of greenhouse gas emissions between cities, following internationally recognized greenhouse gas accounting and reporting principles.-Enable city inventories to be aggregated at subnational and national levels.-Demonstrate the important role that cities play in tackling climate change and facilitate insight through benchmarking and aggregation of comparable data.","CH4, CO2, N20",2.82,1091482.57,0,346387.56,0,427857.14,,,,,,This is our first year of calculation,"Other, please specify: Calculating an emissions inventory was a natural step on a proactive basis, following on from the adoption of the citywide Low Carbon Framework in December 2020.",139.5,277417,2018,,10/04/2021 09:23:47 AM
2021,35874,"City of Phoenix, AZ",Phoenix,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",1391552,8666375,,7383288,,465360,,,,,,Decreased,Technological change,1339,1660272,2018,POINT (-112.074 33.4484),10/04/2021 09:23:47 AM
2021,73701,San Carlos Sud,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.","CH4, CO2, N20",0,35803.01,0,2937.32,0,531.49,,,,,,Increased,Change in available data,95,2233,2018,,10/04/2021 09:23:47 AM
2021,60387,Alcaldía de Sincelejo,Sincelejo,Colombia,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,284,277773,2020,POINT (-75.3906 9.30457),10/04/2021 09:23:47 AM
