Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,MtCO2e,3240.29,3387.71,3516.61,3746.36,3905.93,4309.24,4330.23,4325.69,4443.77,4376.50,4568.81,4761.56,5068.78,5718.04,6503.95,7266.53,7946.14,8555.80,8810.97,9386.58,10218.51,11098.19,11385.46,11878.03,11938.03,11818.47,11800.83,12035.27,12471.09,12705.09
United States,MtCO2e,5834.14,5788.89,5872.94,5984.36,6078.52,6146.51,6316.45,6578.05,6624.45,6625.28,6787.48,6736.03,6582.64,6645.61,6732.26,6752.84,6660.82,6767.47,6583.85,6158.40,6427.13,6229.60,6011.12,6152.16,6197.43,6082.16,5974.20,5918.76,6121.63,6001.21
India,MtCO2e,1219.55,1273.25,1298.28,1331.22,1375.47,1440.61,1492.17,1551.53,1581.96,1658.41,1697.23,1719.69,1738.53,1779.37,1866.49,1940.03,2037.30,2180.79,2281.00,2423.80,2533.99,2645.63,2795.86,2863.84,3044.96,3064.54,3106.34,3242.17,3388.91,3394.87
Russia,MtCO2e,3015.02,2951.94,2795.39,2601.07,2363.09,2285.60,2229.07,2090.16,2085.05,2124.20,2176.12,2188.88,2186.66,2259.72,2252.26,2278.88,2316.55,2325.78,2327.75,2191.80,2285.03,2375.29,2354.33,2317.63,2302.34,2287.29,2285.75,2324.57,2419.47,2476.84
Japan,MtCO2e,1181.92,1197.37,1210.48,1203.90,1261.68,1277.00,1291.86,1279.89,1233.53,1259.83,1276.56,1254.13,1286.69,1294.59,1286.31,1287.65,1266.30,1302.14,1235.21,1176.71,1234.73,1293.44,1336.09,1348.19,1305.83,1270.47,1261.87,1246.64,1204.37,1166.51
Brazil,MtCO2e,590.34,611.49,621.45,632.78,649.59,676.20,679.29,708.07,732.05,748.83,767.75,792.38,820.65,835.74,880.98,891.00,890.57,914.65,929.71,905.87,991.49,1010.71,1049.94,1080.71,1118.10,1095.30,1063.57,1079.31,1046.58,1057.26
Indonesia,MtCO2e,476.19,495.64,516.35,531.72,552.09,586.50,607.89,633.00,640.55,660.12,666.47,680.43,681.90,703.79,709.52,705.58,727.47,738.27,731.76,747.67,768.88,829.89,834.26,799.10,844.30,849.51,847.58,893.59,958.08,1002.37
Iran,MtCO2e,324.62,352.98,374.79,382.81,415.22,425.73,440.68,459.71,462.13,499.73,527.42,541.86,557.00,593.18,629.77,668.61,711.48,747.39,755.56,778.67,781.82,793.62,793.95,815.31,844.13,844.14,880.99,912.71,925.52,893.72
Germany,MtCO2e,1128.09,1100.76,1055.38,1046.88,1037.32,1032.96,1063.07,1025.93,1002.90,965.06,957.53,976.27,960.15,961.38,944.90,922.93,931.73,903.29,906.16,849.69,880.16,850.46,863.68,880.05,839.19,843.88,846.94,829.68,800.96,749.71
Canada,MtCO2e,540.38,536.29,550.63,546.63,564.72,579.71,597.67,611.93,620.15,625.31,644.89,636.84,657.76,679.15,676.03,690.54,679.22,712.79,688.19,653.14,669.98,686.50,686.65,698.68,706.32,704.48,704.75,721.01,737.99,736.93
Saudi Arabia,MtCO2e,241.01,274.22,291.77,289.62,289.30,288.63,304.34,310.73,327.05,330.98,347.62,351.28,369.76,391.35,408.20,428.81,451.62,471.68,511.98,524.11,569.68,601.75,638.88,654.85,698.29,731.89,739.82,729.31,715.23,723.15
South Korea,MtCO2e,280.75,308.96,334.39,366.08,394.33,427.29,455.41,481.34,416.08,453.99,511.98,528.82,521.37,529.15,553.06,548.41,556.74,566.66,579.55,593.48,645.52,669.57,673.01,673.44,662.92,683.86,694.68,708.43,715.50,698.46
