LOCODE,wikidata_id,distance
ADALV,Q1863,1.3699835278803008
ADENC,Q989558,1.1178686891273806
ADORD,Q3885480,1.4564518494476961
AEAUH,Q1519,3.520284220956622
AEAJM,Q530171,
AEAAN,Q234600,
AEDXB,Q612,4.831480434202732
AEJEA,Q665502,
AESHJ,Q289693,1.2006700796320047
AFBAG,Q814388,2.3951877982995518
AFCCN,Q958621,0.6649508796603845
AFFAH,Q593156,
AFGZI,Q173731,
AFHRT,Q3364500,
AFHEA,Q45313,
AFJAA,Q183303,
AFKBL,Q5838,
AFKDH,Q45604,
AFKHT,Q386682,
AFLAG,Q476800,2.3577852438858016
AFMZR,Q130469,1.4893357320325986
AFQLT,Q527318,2.329339326361423
AFSBF,Q5667883,
AFSDD,Q2497882,3.10452241392624e-07
AFSBK,Q594501,0.9122160624763378
AFTOW,Q5198313,0.0030336549594930837
AFZAJ,Q475802,
AGSJO,Q36262,0.7465851128835188
ALBQE,Q463384,1.8510570529656158
ALDRZ,Q83285,
ALFIE,Q190897,2.3255418347628822
ALMIL,Q1241501,1.915057659954411
ALTIA,Q19689,
AMA3A,Q39618,1.451477734519505
AMARA,Q39504,3.7590012188527173
AMARV,Q15771,1.88805398785739
AMASH,Q39510,4.2509490284172005
AMBRD,Q1886688,1.7229345639725029
AMBYU,Q1752731,1.8535974174892824
AMDIL,Q39569,0.8869648869539453
AMGRS,Q319735,1.4267059502086121
AMLWN,Q199500,1.8508314224609952
AMHRA,Q31610,3.7014859166111913
AMJER,Q39556,
AMKPN,Q31583,1.301578375132568
AMARM,Q2001643,6.7972277155542615
AMSPI,Q280755,0.437546208428784
AMVZR,Q62337,2.3143025395448262
AMVED,Q750689,1.591475922220791
AMEVN,Q1953,0.2871146605672703
AOBDD,Q17122408,
AOBUG,Q214248,
AOCAB,Q459360,
AOKNP,Q65173580,
AODUE,Q2425651,
AONOV,Q207322,
AOJMB,Q6127774,
AOLOB,Q223914,
AOLAD,Q3897,
AOSDD,Q122044,
AOLUO,Q618643,
AONDF,Q985803,3.66219630736669e-07
