actor_id,area,datasource_id
US BOS,232140634,OEF:WD:city-area:20221105
BR SAO,1523,OEF:WD:city-area:20221105
IT ROM,1287,OEF:WD:city-area:20221105
BE BRU,33,OEF:WD:city-area:20221105
US NYC,1213,OEF:WD:city-area:20221105
US WAS,259,OEF:WD:city-area:20221105
DE BER,892,OEF:WD:city-area:20221105
CH BRN,52,OEF:WD:city-area:20221105
CH ZRH,88,OEF:WD:city-area:20221105
GB LON,1572,OEF:WD:city-area:20221105
EG CAI,528,OEF:WD:city-area:20221105
EG ALY,2679,OEF:WD:city-area:20221105
US AXR,40,OEF:WD:city-area:20221105
FR PAR,105,OEF:WD:city-area:20221105
IT BBI,21,OEF:WD:city-area:20221105
IT BGA,12,OEF:WD:city-area:20221105
IT BPT,5,OEF:WD:city-area:20221105
IT BTG,10,OEF:WD:city-area:20221105
IT BOM,39,OEF:WD:city-area:20221105
IT CGA,36,OEF:WD:city-area:20221105
IT ECM,23,OEF:WD:city-area:20221105
IT RPI,132,OEF:WD:city-area:20221105
IT CFE,103,OEF:WD:city-area:20221105
IT ASR,22,OEF:WD:city-area:20221105
IT COM,50,OEF:WD:city-area:20221105
IT EAZ,27,OEF:WD:city-area:20221105
IT IUL,41,OEF:WD:city-area:20221105
IT FNO,90,OEF:WD:city-area:20221105
IT FIE,105,OEF:WD:city-area:20221105
IT FMD,26,OEF:WD:city-area:20221105
IT FMB,39,OEF:WD:city-area:20221105
IT FMG,47,OEF:WD:city-area:20221105
IT FSN,95,OEF:WD:city-area:20221105
IT GUL,48,OEF:WD:city-area:20221105
IT MAR,33,OEF:WD:city-area:20221105
IT ZOG,45,OEF:WD:city-area:20221105
IT DLL,27,OEF:WD:city-area:20221105
IT MID,137,OEF:WD:city-area:20221105
IT MFO,45,OEF:WD:city-area:20221105
IT MS9,81,OEF:WD:city-area:20221105
IT NON,55,OEF:WD:city-area:20221105
IT ZAQ,52,OEF:WD:city-area:20221105
IT PVO,144,OEF:WD:city-area:20221105
IT OAG,54,OEF:WD:city-area:20221105
IT USS,80,OEF:WD:city-area:20221105
IT RAV,29,OEF:WD:city-area:20221105
IT SCS,27,OEF:WD:city-area:20221105
IT SFP,52,OEF:WD:city-area:20221105
IT SP5,17,OEF:WD:city-area:20221105
IT SPQ,35,OEF:WD:city-area:20221105
IT SSP,26,OEF:WD:city-area:20221105
IT ZUY,94,OEF:WD:city-area:20221105
IT OLR,51,OEF:WD:city-area:20221105
IT SPI,30,OEF:WD:city-area:20221105
IT VIN,23,OEF:WD:city-area:20221105
IT ZXQ,69,OEF:WD:city-area:20221105
IT CCT,15,OEF:WD:city-area:20221105
IT CLC,16,OEF:WD:city-area:20221105
IT CLD,8,OEF:WD:city-area:20221105
IT CVO,7,OEF:WD:city-area:20221105
IT KDA,3,OEF:WD:city-area:20221105
IT CPI,6,OEF:WD:city-area:20221105
IT ZAB,9,OEF:WD:city-area:20221105
IT CVG,33,OEF:WD:city-area:20221105
IT CBX,7,OEF:WD:city-area:20221105
IT ARV,5,OEF:WD:city-area:20221105
IT CZA,7,OEF:WD:city-area:20221105
IT CSA,10,OEF:WD:city-area:20221105
IT CGI,14,OEF:WD:city-area:20221105
IT CZE,2,OEF:WD:city-area:20221105
IT CSK,10,OEF:WD:city-area:20221105
IT NRE,8,OEF:WD:city-area:20221105
IT CZS,2,OEF:WD:city-area:20221105
IT SOT,5,OEF:WD:city-area:20221105
IT ENE,9,OEF:WD:city-area:20221105
IT ERT,14,OEF:WD:city-area:20221105
IT CHG,6,OEF:WD:city-area:20221105
IT CHD,7,OEF:WD:city-area:20221105
IT CBG,8,OEF:WD:city-area:20221105
IT CQQ,5,OEF:WD:city-area:20221105
IT CLY,10,OEF:WD:city-area:20221105
IT CUE,26,OEF:WD:city-area:20221105
IT CGS,19,OEF:WD:city-area:20221105
IT CZT,7,OEF:WD:city-area:20221105
IT CMU,6,OEF:WD:city-area:20221105
IT OUA,7,OEF:WD:city-area:20221105
IT ZGT,19,OEF:WD:city-area:20221105
IT CMZ,5,OEF:WD:city-area:20221105
IT CWO,13,OEF:WD:city-area:20221105
IT CUR,5,OEF:WD:city-area:20221105
CA FSK,48,OEF:WD:city-area:20221105
IT ABO,104,OEF:WD:city-area:20221105
IT BDI,190,OEF:WD:city-area:20221105
IT BNI,170,OEF:WD:city-area:20221105
IT BVO,151,OEF:WD:city-area:20221105
IT BST,77,OEF:WD:city-area:20221105
IT CCH,59,OEF:WD:city-area:20221105
IT CRH,48,OEF:WD:city-area:20221105
IT CRN,166,OEF:WD:city-area:20221105
IT PPR,38,OEF:WD:city-area:20221105
IT FDZ,95,OEF:WD:city-area:20221105
IT ZBQ,54,OEF:WD:city-area:20221105
IT FVO,26,OEF:WD:city-area:20221105
IT ZIT,58,OEF:WD:city-area:20221105
IT GHO,71,OEF:WD:city-area:20221105
IT LGB,47,OEF:WD:city-area:20221105
IT MDZ,89,OEF:WD:city-area:20221105
IT HRG,48,OEF:WD:city-area:20221105
IT NCO,79,OEF:WD:city-area:20221105
IT PLZ,70,OEF:WD:city-area:20221105
IT RCN,40,OEF:WD:city-area:20221105
IT SBR,31,OEF:WD:city-area:20221105
IT 9GG,82,OEF:WD:city-area:20221105
IT SRS,38,OEF:WD:city-area:20221105
IT SIS,44,OEF:WD:city-area:20221105
IT SLG,73,OEF:WD:city-area:20221105
IT SOX,45,OEF:WD:city-area:20221105
IT SOR,39,OEF:WD:city-area:20221105
US YPD,137010371,OEF:WD:city-area:20221105
IT TIL,37,OEF:WD:city-area:20221105
IT ZVQ,55,OEF:WD:city-area:20221105
IT TCI,29,OEF:WD:city-area:20221105
IT ZXO,24,OEF:WD:city-area:20221105
IT DME,12,OEF:WD:city-area:20221105
IT END,21,OEF:WD:city-area:20221105
IT ETR,4,OEF:WD:city-area:20221105
IT FGD,11,OEF:WD:city-area:20221105
IT FCS,5,OEF:WD:city-area:20221105
IT FIL,5,OEF:WD:city-area:20221105
IT FIR,1,OEF:WD:city-area:20221105
IT FOQ,18,OEF:WD:city-area:20221105
IT ZJA,7,OEF:WD:city-area:20221105
IT DGD,25,OEF:WD:city-area:20221105
IT GND,29,OEF:WD:city-area:20221105
IT GDS,3,OEF:WD:city-area:20221105
IT GVR,5,OEF:WD:city-area:20221105
IT GZI,14,OEF:WD:city-area:20221105
IT GSB,11,OEF:WD:city-area:20221105
IT IOR,6,OEF:WD:city-area:20221105
IT GOE,3,OEF:WD:city-area:20221105
IT GRA,9,OEF:WD:city-area:20221105
IT GRO,8,OEF:WD:city-area:20221105
IT GMD,10,OEF:WD:city-area:20221105
AT KDT,3,OEF:WD:city-area:20221105
SE SL2,244,OEF:WD:city-area:20221105
IT LLO,2,OEF:WD:city-area:20221105
IT LFF,7,OEF:WD:city-area:20221105
IT LNZ,13,OEF:WD:city-area:20221105
IT LEE,6,OEF:WD:city-area:20221105
IT LVR,8,OEF:WD:city-area:20221105
IT LUA,4,OEF:WD:city-area:20221105
IT Z7G,3,OEF:WD:city-area:20221105
IT ADO,3,OEF:WD:city-area:20221105
IT MPL,9,OEF:WD:city-area:20221105
IT EGO,22,OEF:WD:city-area:20221105
IT DLO,4,OEF:WD:city-area:20221105
IT ZNF,6,OEF:WD:city-area:20221105
IT OTL,2,OEF:WD:city-area:20221105
IT MSR,7,OEF:WD:city-area:20221105
IT MOZ,9,OEF:WD:city-area:20221105
IT MZP,4,OEF:WD:city-area:20221105
IT NEM,15,OEF:WD:city-area:20221105
IT OLM,8,OEF:WD:city-area:20221105
IT OOR,12,OEF:WD:city-area:20221105
IT OAS,3,OEF:WD:city-area:20221105
IT ORF,5,OEF:WD:city-area:20221105
IT OSS,8,OEF:WD:city-area:20221105
CA SPG,32,OEF:WD:city-area:20221105
IT ZZN,5,OEF:WD:city-area:20221105
IT PAD,2,OEF:WD:city-area:20221105
US CTK,8340000,OEF:WD:city-area:20221105
IT AZG,14,OEF:WD:city-area:20221105
IT PLC,11,OEF:WD:city-area:20221105
IT ZQU,22,OEF:WD:city-area:20221105
US SWS,17,OEF:WD:city-area:20221105
IT PBO,4,OEF:WD:city-area:20221105
IT PEQ,4,OEF:WD:city-area:20221105
IT PZB,7,OEF:WD:city-area:20221105
IT PXC,3,OEF:WD:city-area:20221105
IT PNS,6,OEF:WD:city-area:20221105
GR PAL,5,OEF:WD:city-area:20221105
GR MDR,19,OEF:WD:city-area:20221105
IT PSP,5,OEF:WD:city-area:20221105
IT NTC,8,OEF:WD:city-area:20221105
IT OTD,10,OEF:WD:city-area:20221105
IT PUO,11,OEF:WD:city-area:20221105
