actor_id,identifier,namespace,datasource_id
US-PR,Q1183,Wikidata,OEF:WD:subnational-population:20221106
BE-VLG,Q234,Wikidata,OEF:WD:subnational-population:20221106
US-IL,Q1204,Wikidata,OEF:WD:subnational-population:20221106
NO-03,Q585,Wikidata,OEF:WD:subnational-population:20221106
DE-SL,Q1201,Wikidata,OEF:WD:subnational-population:20221106
US-MA,Q771,Wikidata,OEF:WD:subnational-population:20221106
SI-146,Q15932,Wikidata,OEF:WD:subnational-population:20221106
SI-040,Q15877,Wikidata,OEF:WD:subnational-population:20221106
SI-129,Q15925,Wikidata,OEF:WD:subnational-population:20221106
PH-QUI,Q13873,Wikidata,OEF:WD:subnational-population:20221106
IT-TE,Q16284,Wikidata,OEF:WD:subnational-population:20221106
IT-PG,Q16240,Wikidata,OEF:WD:subnational-population:20221106
PH-WSA,Q13876,Wikidata,OEF:WD:subnational-population:20221106
PH-ZAS,Q13900,Wikidata,OEF:WD:subnational-population:20221106
CA-NL,Q2003,Wikidata,OEF:WD:subnational-population:20221106
RU-MUR,Q1759,Wikidata,OEF:WD:subnational-population:20221106
RU-KGD,Q1749,Wikidata,OEF:WD:subnational-population:20221106
US-NM,Q1522,Wikidata,OEF:WD:subnational-population:20221106
US-MS,Q1494,Wikidata,OEF:WD:subnational-population:20221106
FR-59,Q12661,Wikidata,OEF:WD:subnational-population:20221106
PH-07,Q13669,Wikidata,OEF:WD:subnational-population:20221106
TJ-DU,Q9365,Wikidata,OEF:WD:subnational-population:20221106
FR-65,Q12700,Wikidata,OEF:WD:subnational-population:20221106
FR-74,Q12751,Wikidata,OEF:WD:subnational-population:20221106
FR-32,Q12517,Wikidata,OEF:WD:subnational-population:20221106
FR-82,Q12779,Wikidata,OEF:WD:subnational-population:20221106
FR-53,Q12620,Wikidata,OEF:WD:subnational-population:20221106
FR-86,Q12804,Wikidata,OEF:WD:subnational-population:20221106
CH-SG,Q12746,Wikidata,OEF:WD:subnational-population:20221106
FR-80,Q12770,Wikidata,OEF:WD:subnational-population:20221106
PH-ILS,Q12741,Wikidata,OEF:WD:subnational-population:20221106
FR-42,Q12569,Wikidata,OEF:WD:subnational-population:20221106
FR-49,Q12584,Wikidata,OEF:WD:subnational-population:20221106
GB-BBD,Q880782,Wikidata,OEF:WD:subnational-population:20221106
CZ-324,Q909754,Wikidata,OEF:WD:subnational-population:20221106
RU-BA,Q5710,Wikidata,OEF:WD:subnational-population:20221106
ES-GA,Q3908,Wikidata,OEF:WD:subnational-population:20221106
UA-40,Q7525,Wikidata,OEF:WD:subnational-population:20221106
FI-04,Q5693,Wikidata,OEF:WD:subnational-population:20221106
RU-MAG,Q7971,Wikidata,OEF:WD:subnational-population:20221106
RU-KK,Q6543,Wikidata,OEF:WD:subnational-population:20221106
RU-AST,Q3941,Wikidata,OEF:WD:subnational-population:20221106
ES-GI,Q7194,Wikidata,OEF:WD:subnational-population:20221106
RU-KHA,Q7788,Wikidata,OEF:WD:subnational-population:20221106
FI-18,Q5711,Wikidata,OEF:WD:subnational-population:20221106
ES-CN,Q5813,Wikidata,OEF:WD:subnational-population:20221106
ES-CR,Q54932,Wikidata,OEF:WD:subnational-population:20221106
AT-4,Q41967,Wikidata,OEF:WD:subnational-population:20221106
AU-SA,Q35715,Wikidata,OEF:WD:subnational-population:20221106
AR-H,Q44757,Wikidata,OEF:WD:subnational-population:20221106
CN-NM,Q41079,Wikidata,OEF:WD:subnational-population:20221106
JP-03,Q48326,Wikidata,OEF:WD:subnational-population:20221106
KR-46,Q41161,Wikidata,OEF:WD:subnational-population:20221106
CN-QH,Q45833,Wikidata,OEF:WD:subnational-population:20221106
JP-09,Q44843,Wikidata,OEF:WD:subnational-population:20221106
KR-41,Q20937,Wikidata,OEF:WD:subnational-population:20221106
BR-PI,Q42722,Wikidata,OEF:WD:subnational-population:20221106
CN-GZ,Q47097,Wikidata,OEF:WD:subnational-population:20221106
BR-AL,Q40885,Wikidata,OEF:WD:subnational-population:20221106
BR-MT,Q42824,Wikidata,OEF:WD:subnational-population:20221106
BR-RN,Q43255,Wikidata,OEF:WD:subnational-population:20221106
BR-PB,Q38088,Wikidata,OEF:WD:subnational-population:20221106
BN-TU,Q40398,Wikidata,OEF:WD:subnational-population:20221106
TR-08,Q43745,Wikidata,OEF:WD:subnational-population:20221106
EG-SHG,Q30669,Wikidata,OEF:WD:subnational-population:20221106
EG-GH,Q30835,Wikidata,OEF:WD:subnational-population:20221106
CO-AMA,Q44724,Wikidata,OEF:WD:subnational-population:20221106
EG-MN,Q30675,Wikidata,OEF:WD:subnational-population:20221106
HR-19,Q58289,Wikidata,OEF:WD:subnational-population:20221106
CZ-312,Q605208,Wikidata,OEF:WD:subnational-population:20221106
MA-CAS,Q7903,Wikidata,OEF:WD:subnational-population:20221106
TR-73,Q647378,Wikidata,OEF:WD:subnational-population:20221106
SI-079,Q670975,Wikidata,OEF:WD:subnational-population:20221106
LU-RM,Q691781,Wikidata,OEF:WD:subnational-population:20221106
RU-KO,Q2073,Wikidata,OEF:WD:subnational-population:20221106
FR-02,Q3093,Wikidata,OEF:WD:subnational-population:20221106
CL-AP,Q2109,Wikidata,OEF:WD:subnational-population:20221106
FR-13,Q3240,Wikidata,OEF:WD:subnational-population:20221106
CL-TA,Q2114,Wikidata,OEF:WD:subnational-population:20221106
FR-28,Q3377,Wikidata,OEF:WD:subnational-population:20221106
ID-JI,Q3586,Wikidata,OEF:WD:subnational-population:20221106
RU-KDA,Q3680,Wikidata,OEF:WD:subnational-population:20221106
RU-BRY,Q2810,Wikidata,OEF:WD:subnational-population:20221106
RU-BEL,Q3329,Wikidata,OEF:WD:subnational-population:20221106
PH-02,Q13615,Wikidata,OEF:WD:subnational-population:20221106
PH-12,Q13701,Wikidata,OEF:WD:subnational-population:20221106
FR-81,Q12772,Wikidata,OEF:WD:subnational-population:20221106
FR-46,Q12576,Wikidata,OEF:WD:subnational-population:20221106
PH-15,Q13606,Wikidata,OEF:WD:subnational-population:20221106
FR-36,Q12553,Wikidata,OEF:WD:subnational-population:20221106
RU-SAK,Q7797,Wikidata,OEF:WD:subnational-population:20221106
