"name","type","iso","locode"
"Swale Borough","City","GBR",NA
"Jammerbugt","City","DNK",NA
"Regional District of Central Kootenay, BC","City","CAN",NA
"Asakura","City","JPN",NA
"Takeo","City","JPN",NA
"Princeton, NJ","City","USA",NA
"Cuyahoga County, OH","City","USA",NA
"Borlänge kommun","City","SWE",NA
"Longmont, CO","City","USA",NA
"Atsuma","City","JPN",NA
"Trenggalek Regency","City","IDN",NA
"Noda ","City","JPN",NA
"Ferndale, MI","City","USA",NA
"Høje-Taastrup","City","DNK",NA
"Vantaa","City","FIN",NA
"Jammerbugt","City","DNK",NA
"Chitré","City","PAN",NA
"Tumwater, WA","City","USA",NA
"Hillerød","City","DNK",NA
"Nagakute","City","JPN",NA
"Saku","City","JPN",NA
"Bacolod","City","PHL",NA
"Blacktown Council","City","AUS",NA
"Pasig","City","PHL",NA
"Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN)","City","MEX",NA
"Iheya ","City","JPN",NA
"Panevežys","City","LTU",NA
"Kolkata","City","IND",NA
"Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS)","City","MEX",NA
"JISOC","City","MEX",NA
"Oyamazaki","City","JPN",NA
"Abasan Al-Kabira","City","PSE",NA
"Port Coquitlam, BC","City","CAN",NA
"Enfield, UK","City","GBR",NA
"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)","City","IRL",NA
"San Fernando","City","PHL",NA
"Maneiro","City","VEN",NA
"San Carlos Sud","City","ARG",NA
"St. Catharines, ON","City","CAN",NA
"Nagaizumi","City","JPN",NA
"Aka ","City","JPN",NA
"León, Mexico","City","MEX",NA
"Yosano","City","JPN",NA
"Yaoundé 4","City","CMR",NA
"Yahaba","City","JPN",NA
"Oberlin, OH","City","USA",NA
"Ashoro-Town","City","JPN",NA
"Ekurhuleni","City","ZAF",NA
"Ureshino","City","JPN",NA
"St. Paul, MN","City","USA",NA
"Seberang Perai","City","MYS",NA
"Nagaizumi","City","JPN",NA
"Hiezu ","City","JPN",NA
"Grande Prairie, AB","City","CAN",NA
"Hua-Hin","City","THA",NA
"Westminster Council","City","GBR",NA
"Eau Claire, WI","City","USA",NA
"Ate","City","PER",NA
"Zarcero","City","CRI",NA
"Ferndale, MI","City","USA",NA
"Yomitan ","City","JPN",NA
"Ekurhuleni","City","ZAF",NA
"Lampung Barat Regency","City","IDN",NA
"Shosanbetsu ","City","JPN",NA
"Chikuma","City","JPN",NA
"Kamiamakusa","City","JPN",NA
"Monte Verde","City","CRI",NA
"Sanggau Regency","City","IDN",NA
"Tonalá","City","MEX",NA
"Abasan Al-Kabira","City","PSE",NA
"Tweed Shire","City","AUS",NA
"Nagomi","City","JPN",NA
"San Rafael de Heredia","City","CRI",NA
"Oxford, OH","City","USA",NA
"Shinano","City","JPN",NA
"General Pueyrredon","City","ARG",NA
"Port Coquitlam, BC","City","CAN",NA
"Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR)","City","MEX",NA
"Commune di Maga","City","CMR",NA
"St. John’s","City","CAN",NA
"Busbanza","City","COL",NA
"Torreón","City","MEX",NA
"Seberang Perai","City","MYS",NA
"Independencia","City","PER",NA
"Kan-onji","City","JPN",NA
"Lahti","City","FIN",NA
"Regional District of Central Kootenay, BC","City","CAN",NA
"Corrales","City","COL",NA
"Alcaldía de Florencia","City","COL",NA
"Washington D.C.","City","USA",NA
"Tagajo","City","JPN",NA
"Muğla","City","TUR",NA
"Kan-onji","City","JPN",NA
"Shihoro","City","JPN",NA
"Ekurhuleni","City","ZAF",NA
"Pesisir Barat Regency","City","IDN",NA
"Perth and Kinross, UK","City","GBR",NA
"Minamiminowa","City","JPN",NA
"Uto","City","JPN",NA
"Jambi","City","IDN",NA
"KwaDukuza","City","ZAF",NA
"London Borough of Lewisham","City","GBR",NA
"South Gloucestershire, UK","City","GBR",NA
"Zarcero","City","CRI",NA
"Camilo Aldao","City","ARG",NA
"Oxford, OH","City","USA",NA
"Hanawa","City","JPN",NA
"Hallandale Beach, FL","City","USA",NA
"Itagüí","City","COL",NA
"Katashina ","City","JPN",NA
"Jambi","City","IDN",NA
"Ormoc","City","PHL",NA
"Muang Phichit","City","THA",NA
"Yotsukaido","City","JPN",NA
"Hang Tuah Jaya","City","MYS",NA
"Santiago de Surco","City","PER",NA
"Stadt St.Gallen","City","CHE",NA
"Oxford, OH","City","USA",NA
"Ramallah","City","PSE",NA
"Iwate","City","JPN",NA
"Jammerbugt","City","DNK",NA
"Tobishima ","City","JPN",NA
"Warsaw","City","POL",NA
"Gangdong-gu","City","KOR",NA
"Batangas","City","PHL",NA
"Acton, MA","City","USA",NA
"Guilford, VT","City","USA",NA
"Kyowa","City","JPN",NA
"Westminster Council","City","GBR",NA
"Arteaga","City","ARG",NA
"Egedal","City","DNK",NA
"Matsukawa","City","JPN",NA
"Montes de Oca","City","CRI",NA
"Sanyo-Onoda","City","JPN",NA
"Okagaki","City","JPN",NA
"Jesús María","City","PER",NA
"Ekurhuleni","City","ZAF",NA
"St. Catharines, ON","City","CAN",NA
"Shima","City","JPN",NA
"Junta intermunicipal para la gestión integral de la cuenca del Río Coahuayana (JIRCO)","City","MEX",NA
"Shiso","City","JPN",NA
"Yopal","City","COL",NA
"Stroud District","City","GBR",NA
"Durham, NH","City","USA",NA
"Kemi","City","FIN",NA
"Cuyahoga County, OH","City","USA",NA
"New Kolkata","City","IND",NA
"Mid-America Regional","City","USA",NA
"South Lakeland","City","GBR",NA
