actor_id,type
AD,country
AE,country
AF,country
AG,country
AL,country
AM,country
AO,country
AR,country
AT,country
AU,country
AZ,country
BA,country
BB,country
BD,country
BE,country
BF,country
BG,country
BH,country
BI,country
BJ,country
BN,country
BO,country
BQ,country
BR,country
BS,country
BT,country
BW,country
BY,country
BZ,country
CA,country
CD,country
CF,country
CG,country
CH,country
CI,country
CL,country
CM,country
CN,country
CO,country
CR,country
CU,country
CV,country
CY,country
CZ,country
DE,country
DJ,country
DK,country
DM,country
DO,country
DZ,country
EC,country
EE,country
EG,country
ER,country
ES,country
ET,country
FI,country
FJ,country
FM,country
FR,country
GA,country
GB,country
GD,country
GE,country
GH,country
GL,country
GM,country
GN,country
GQ,country
GR,country
GT,country
GW,country
GY,country
HN,country
HR,country
HT,country
HU,country
ID,country
IE,country
IL,country
IN,country
IQ,country
IR,country
IS,country
IT,country
JM,country
JO,country
JP,country
KE,country
KG,country
KH,country
KI,country
KM,country
KN,country
KP,country
KR,country
KW,country
KZ,country
LA,country
LB,country
LC,country
LI,country
LK,country
LR,country
LS,country
LT,country
LU,country
LV,country
LY,country
MA,country
MC,country
MD,country
ME,country
MG,country
MH,country
MK,country
ML,country
MM,country
MN,country
MR,country
MT,country
MU,country
MV,country
MW,country
MX,country
MY,country
MZ,country
NA,country
NE,country
NG,country
NI,country
NL,country
NO,country
NP,country
NR,country
NZ,country
OM,country
PA,country
PE,country
PG,country
PH,country
PK,country
PL,country
PS,country
PT,country
PW,country
PY,country
QA,country
RO,country
RS,country
RU,country
RW,country
SA,country
SB,country
SC,country
SD,country
SE,country
SG,country
SH,country
SI,country
SK,country
SL,country
SM,country
SN,country
SO,country
SR,country
SS,country
ST,country
SV,country
SY,country
SZ,country
TD,country
TG,country
TH,country
TJ,country
TL,country
TM,country
TN,country
TO,country
TR,country
TT,country
TV,country
TW,country
TZ,country
UA,country
UG,country
UM,country
US,country
UY,country
UZ,country
VC,country
VE,country
VN,country
VU,country
WF,country
WS,country
YE,country
ZA,country
ZM,country
ZW,country
