ISO-3166-1,name,ISO-3166-2
CN,Hainan,CN-HI
DE,Thuringia,DE-TH
DE,Federal State of Berlin,DE-BE
DE,Rhineland-Palatinate,DE-RP
DE,North Rhine-Westphalia,DE-NW
DE,Bavaria,DE-BY
ES,Catalonia,ES-CT
ES,Navarra,ES-NA
ES,Community of Madrid,ES-MD
ES,Basque Autonomous Community,ES-PV
ES,Aragon,ES-AR
ES,Canary Islands,ES-CN
ES,Chartered Community of Navarre,ES-NC
ES,Region of Murcia,ES-MC
FR,Normandy,FR-NOR
FR,Pays de la Loire,FR-PDL
GB,Scotland,GB-SCT
GB,Northern Ireland,GB-NIR
GB,Wales,GB-WLS
GB,England,GB-ENG
ID,Special Capital Region of Jakarta,ID-JK
JP,Hyogo Prefecture,JP-27
JP,Iwate Prefecture,JP-03
JP,Miyagi Prefecture,JP-04
JP,Gunma Prefecture,JP-10
JP,Tokyo Metropolitan Government,JP-13
JP,Nagano Prefecture,JP-20
JP,Mie Prefecture,JP-24
JP,Shiga Prefecture,JP-25
JP,Kyoto Prefecture,JP-26
JP,Osaka Prefecture,JP-27
JP,Tottori Prefecture,JP-31
JP,Okayama Prefecture,JP-33
JP,Tokushima Prefecture,JP-34
JP,Ehime Prefecture,JP-35
JP,Saga Prefecture,JP-36
JP,Nagasaki Prefecture,JP-37
JP,Kumamoto Prefecture,JP-38
JP,Kagoshima Prefecture,JP-39
JP,Aomori Prefecture,JP-01
JP,Yamagata Prefecture,JP-06
JP,Fukushima Prefecture,JP-07
JP,Tochigi Prefecture,JP-09
JP,Chiba Prefecture,JP-12
JP,Kanagawa Prefecture,JP-14
JP,Toyama Prefecture,JP-16
JP,Fukui Prefecture,JP-18
JP,Yamanashi Prefecture,JP-19
JP,Gifu Prefecture,JP-21
JP,Shizuoka Prefecture,JP-22
JP,Nara Prefecture,JP-29
JP,Wakayama Prefecture,JP-30
JP,Shimane Prefecture,JP-32
JP,Hiroshima Prefecture,JP-34
JP,Kōchi,JP-39
JP,Ōita Prefecture,JP-41
JP,Miyazaki Prefecture,JP-45
JP,Okinawa Prefecture,JP-47
JP,Niigata Prefecture,JP-15
KR,Jeju,KR-49
KR,South Chungcheong,KR-43
PL,Masovia,PL-MZ
TW,Taipei (city),TW-TPE
US,Montana,US-MT
US,New York State,US-NY
US,Washington State,US-WA
US,Maryland,US-MD
