"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Land area (sq. km)","AG.LND.TOTL.K2","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","",
"Africa Eastern and Southern","AFE","Land area (sq. km)","AG.LND.TOTL.K2","","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14571611","14720190.922","14720236.092","14720228.252","14720274.665","14720236.89","14720269.284","14720957.055","14721240.05","14845170.142","14845132.326","14845085.467","14845139.128","14845146.968","14845135.053","14845150.143","14845162.404","14845123.094","",
"Afghanistan","AFG","Land area (sq. km)","AG.LND.TOTL.K2","","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","",
"Africa Western and Central","AFW","Land area (sq. km)","AG.LND.TOTL.K2","","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046180","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045773","",
"Angola","AGO","Land area (sq. km)","AG.LND.TOTL.K2","","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","",
"Albania","ALB","Land area (sq. km)","AG.LND.TOTL.K2","","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","",
"Andorra","AND","Land area (sq. km)","AG.LND.TOTL.K2","","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","",
"Arab World","ARB","Land area (sq. km)","AG.LND.TOTL.K2","","13611451","13611451","13611451","13611451","13611451","13611451","13611451","13611451","13611451","13611451","13611451","13611451","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611411","13611431","13611431","13611431","13611431","13611431","13611431","13611431","13611431","13611431","13611431","13611431","13611251","13611241","13611251","13611311","13611331","13611341","13608831","13608823","13608828","13100831","13100639","13100520","13100528","13100529","13100530","13100530","13100547","13100549","",
"United Arab Emirates","ARE","Land area (sq. km)","AG.LND.TOTL.K2","","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","",
"Argentina","ARG","Land area (sq. km)","AG.LND.TOTL.K2","","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","",
