Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Annex-I Parties to the Convention,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,16343.11,16697.03,16558.1,16530.33,16682.09,16870.63,17075.77,17056.54,17270.62,17422.01,16922.16,18056.35,18463.61,18314.16,18327.41,18304.37,18149.97,17911.48,17908.44,17956.63,17729.3,17757.95,17829.08,17971.64,17681.78,17587.37,17835.3,18049.9,18615.02,19018.16
United States,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,6558.35,6671.45,6483.29,6520.34,6671.11,6824.96,6764.67,6585.91,6827.4,6991.11,6772.0,7224.65,7449.62,7344.46,7423.03,7415.47,7301.36,7244.3,7202.96,7313.62,7125.4,7083.27,7036.51,6981.17,6775.86,6691.82,6604.35,6486.34,6373.62,6442.65
European Union (27),UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,3615.27,3766.52,3854.04,3828.0,3824.59,3776.29,3912.61,3996.09,4071.42,4179.49,4088.77,4403.56,4501.26,4540.36,4544.35,4571.07,4565.78,4484.24,4498.28,4449.95,4459.23,4535.14,4574.25,4643.99,4551.34,4496.9,4516.64,4595.65,4747.83,4852.08
Russia,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,2119.43,2133.58,2071.54,2037.21,2035.89,2037.99,2037.76,2095.64,2070.53,2013.43,1921.61,2057.62,2022.73,2024.78,1965.38,1947.98,1936.36,1903.7,1926.3,1891.85,1897.3,1867.75,1899.55,2017.43,2068.33,2120.84,2382.41,2519.56,2997.93,3158.8
Japan,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,1209.49,1245.02,1288.53,1301.86,1318.52,1356.59,1405.89,1394.04,1351.25,1300.45,1247.1,1319.26,1391.88,1356.61,1377.91,1370.2,1378.77,1372.03,1348.11,1373.75,1353.96,1330.54,1378.93,1386.21,1373.76,1352.19,1291.28,1295.6,1283.39,1269.02
Germany,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,809.8,855.89,892.08,907.97,904.26,901.26,940.42,923.34,917.27,941.81,908.69,974.78,973.77,999.35,992.53,1017.53,1034.14,1037.23,1058.75,1042.61,1044.93,1078.78,1103.88,1138.79,1120.56,1124.86,1142.85,1152.18,1202.06,1248.58
Canada,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,730.24,728.48,716.09,706.93,723.1,722.56,725.37,717.17,714.08,702.8,693.6,735.69,751.66,730.1,738.72,745.92,744.83,726.56,722.94,733.51,709.6,696.9,691.2,678.71,656.3,638.0,616.8,613.6,595.78,601.52
Australia,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,545.15,549.73,549.33,542.29,533.06,524.71,530.31,539.51,537.21,535.55,540.38,537.26,534.42,528.04,524.21,517.73,500.6,499.19,495.6,487.78,476.39,469.75,456.02,443.93,437.28,428.82,428.34,427.43,423.73,423.67
Turkey,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,506.08,522.48,524.98,498.89,473.34,458.95,439.69,447.58,428.12,399.14,395.84,387.85,391.66,358.57,337.34,314.84,305.29,286.23,280.5,298.95,277.84,280.42,278.87,267.61,247.99,234.5,240.52,233.19,226.96,219.57
United Kingdom,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,453.1,466.67,473.39,484.15,509.05,526.56,566.55,580.42,563.66,608.73,594.42,650.48,671.47,683.13,690.11,697.61,701.37,694.79,714.6,711.97,712.88,742.7,744.64,770.31,748.48,754.89,764.12,783.56,804.23,794.87
France,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,442.98,452.03,470.56,467.06,464.21,461.19,491.5,490.29,488.9,513.46,506.42,528.37,535.69,545.44,555.96,554.92,556.03,551.77,557.72,552.42,558.54,564.79,551.32,558.54,540.26,534.18,541.99,562.72,573.27,547.13
Italy,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,MtCO₂e,418.28,428.55,432.71,437.7,440.44,427.93,449.18,484.22,503.65,516.47,505.22,560.12,573.01,578.51,589.07,587.93,582.41,563.14,557.2,555.47,551.76,546.49,534.06,526.38,532.0,505.63,511.62,518.7,519.79,518.72
